DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-08 23:00:00,94.9,94.9,94.9,20210900,20211200,20211200
2021-06-09 23:00:00,94.6,94.6,94.6,20210900,20211200,20211200
2021-06-10 23:00:00,94.9,94.9,94.9,20210900,20211200,20211200
2021-06-11 23:00:00,95.0,95.0,95.0,20210900,20211200,20211200
2021-06-14 23:00:00,94.2,94.2,94.2,20210900,20211200,20211200
2021-06-15 23:00:00,93.6,93.6,93.6,20210900,20211200,20211200
2021-06-16 23:00:00,92.9,92.9,92.9,20210900,20211200,20211200
2021-06-17 23:00:00,90.1,90.1,90.1,20210900,20211200,20211200
2021-06-18 23:00:00,91.1,91.1,91.1,20210900,20211200,20211200
2021-06-21 23:00:00,91.7,91.7,91.7,20210900,20211200,20211200
2021-06-22 23:00:00,91.7,91.7,91.7,20210900,20211200,20211200
2021-06-23 23:00:00,92.3,92.3,92.3,20210900,20211200,20211200
2021-06-24 23:00:00,92.4,92.4,92.4,20210900,20211200,20211200
2021-06-25 23:00:00,92.4,92.4,92.4,20210900,20211200,20211200
2021-06-28 23:00:00,93.2,93.2,93.2,20210900,20211200,20211200
2021-06-29 23:00:00,93.3,93.3,93.3,20210900,20211200,20211200
2021-06-30 23:00:00,94.4,94.4,94.4,20210900,20211200,20211200
2021-07-01 23:00:00,94.5,94.5,94.5,20210900,20211200,20211200
2021-07-02 23:00:00,95.2,95.2,95.2,20210900,20211200,20211200
2021-07-06 23:00:00,92.9,92.9,92.9,20210900,20211200,20211200
2021-07-07 23:00:00,92.6,92.6,92.6,20210900,20211200,20211200
2021-07-08 23:00:00,92.7,92.7,92.7,20210900,20211200,20211200
2021-07-09 23:00:00,93.5,93.5,93.5,20210900,20211200,20211200
2021-07-12 23:00:00,94.0,94.0,94.0,20210900,20211200,20211200
2021-07-13 23:00:00,94.6,94.6,94.6,20210900,20211200,20211200
2021-07-14 23:00:00,94.5,94.5,94.5,20210900,20211200,20211200
2021-07-15 23:00:00,94.1,94.1,94.1,20210900,20211200,20211200
2021-07-16 23:00:00,94.4,94.4,94.4,20210900,20211200,20211200
2021-07-19 23:00:00,92.0,92.0,92.0,20210900,20211200,20211200
2021-07-20 23:00:00,93.3,93.3,93.3,20210900,20211200,20211200
2021-07-21 23:00:00,94.7,94.7,94.7,20210900,20211200,20211200
2021-07-22 23:00:00,95.5,95.5,95.5,20210900,20211200,20211200
2021-07-23 23:00:00,95.8,95.8,95.8,20210900,20211200,20211200
2021-07-26 23:00:00,96.7,96.7,96.7,20210900,20211200,20211200
2021-07-27 23:00:00,96.0,96.0,96.0,20210900,20211200,20211200
2021-07-28 23:00:00,96.2,96.2,96.2,20210900,20211200,20211200
2021-07-29 23:00:00,97.6,97.6,97.6,20210900,20211200,20211200
2021-07-30 23:00:00,96.4,96.4,96.4,20210900,20211200,20211200
2021-08-02 23:00:00,95.7,95.7,95.7,20210900,20211200,20211200
2021-08-03 23:00:00,95.5,95.5,95.5,20210900,20211200,20211200
2021-08-04 23:00:00,94.7,94.7,94.7,20210900,20211200,20211200
2021-08-05 23:00:00,95.3,95.3,95.3,20210900,20211200,20211200
2021-08-06 23:00:00,94.6,94.6,94.6,20210900,20211200,20211200
2021-08-09 23:00:00,93.1,93.1,93.1,20210900,20211200,20211200
2021-08-10 23:00:00,94.4,94.4,94.4,20210900,20211200,20211200
2021-08-11 23:00:00,95.0,95.0,95.0,20210900,20211200,20211200
