DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-25 23:00:00,32200.0,32310.0,32310.0,20210700,20210800,20210800
2021-06-28 23:00:00,34525.0,34615.0,34615.0,20210700,20210800,20210800
2021-06-29 23:00:00,36430.0,36495.0,36495.0,20210700,20210800,20210800
2021-06-30 23:00:00,34725.0,34805.0,34805.0,20210700,20210800,20210800
2021-07-01 23:00:00,33030.0,33070.0,33070.0,20210700,20210800,20210800
2021-07-02 23:00:00,33285.0,33320.0,33320.0,20210700,20210800,20210800
2021-07-05 23:00:00,33635.0,33745.0,33745.0,20210700,20210800,20210800
2021-07-06 23:00:00,33975.0,34045.0,34045.0,20210700,20210800,20210800
2021-07-07 23:00:00,34700.0,34705.0,34705.0,20210700,20210800,20210800
2021-07-08 23:00:00,32960.0,33025.0,33025.0,20210700,20210800,20210800
2021-07-09 23:00:00,33455.0,33510.0,33510.0,20210700,20210800,20210800
2021-07-12 23:00:00,32760.0,32800.0,32800.0,20210700,20210800,20210800
2021-07-13 23:00:00,32215.0,32285.0,32285.0,20210700,20210800,20210800
2021-07-14 23:00:00,32740.0,32775.0,32775.0,20210700,20210800,20210800
2021-07-15 23:00:00,31410.0,31440.0,31440.0,20210700,20210800,20210800
2021-07-16 23:00:00,31925.0,31965.0,31965.0,20210700,20210800,20210800
2021-07-19 23:00:00,30690.0,30715.0,30715.0,20210700,20210800,20210800
2021-07-20 23:00:00,29715.0,29745.0,29745.0,20210700,20210800,20210800
2021-07-21 23:00:00,31620.0,31675.0,31675.0,20210700,20210800,20210800
2021-07-22 23:00:00,32415.0,32400.0,32400.0,20210700,20210800,20210800
2021-07-23 23:00:00,32270.0,32270.0,32270.0,20210700,20210800,20210800
2021-07-26 23:00:00,39480.0,39460.0,39460.0,20210700,20210800,20210800
2021-07-27 23:00:00,37890.0,37905.0,37905.0,20210700,20210800,20210800
2021-07-28 23:00:00,40370.0,40455.0,40455.0,20210700,20210800,20210800
2021-07-29 23:00:00,39675.0,39760.0,39760.0,20210700,20210800,20210800
2021-07-30 23:00:00,39020.0,39955.0,39955.0,20210700,20210800,20210800
2021-08-02 23:00:00,39020.0,39180.0,39180.0,20210700,20210800,20210800
2021-08-03 23:00:00,39020.0,37965.0,37965.0,20210700,20210800,20210800
2021-08-04 23:00:00,39840.0,39885.0,39885.0,20210800,20210900,20210900
2021-08-05 23:00:00,40755.0,40770.0,40770.0,20210800,20210900,20210900
2021-08-06 23:00:00,42970.0,42990.0,42990.0,20210800,20210900,20210900
2021-08-09 23:00:00,46045.0,46090.0,46090.0,20210800,20210900,20210900
2021-08-10 23:00:00,45495.0,45585.0,45585.0,20210800,20210900,20210900
2021-08-11 23:00:00,46455.0,46525.0,46525.0,20210800,20210900,20210900
2021-08-12 23:00:00,44360.0,44455.0,44455.0,20210800,20210900,20210900
2021-08-13 23:00:00,46505.0,46565.0,46565.0,20210800,20210900,20210900
2021-08-16 23:00:00,46095.0,46125.0,46125.0,20210800,20210900,20210900
2021-08-17 23:00:00,45520.0,45500.0,45500.0,20210800,20210900,20210900
2021-08-18 23:00:00,44855.0,44870.0,44870.0,20210800,20210900,20210900
2021-08-19 23:00:00,46700.0,46750.0,46750.0,20210800,20210900,20210900
2021-08-20 23:00:00,48730.0,48815.0,48815.0,20210800,20210900,20210900
2021-08-23 23:00:00,49280.0,49300.0,49300.0,20210800,20210900,20210900
2021-08-24 23:00:00,48210.0,48285.0,48285.0,20210800,20210900,20210900
2021-08-25 23:00:00,48705.0,48855.0,48855.0,20210800,20210900,20210900
2021-08-26 23:00:00,46940.0,46955.0,46955.0,20210800,20210900,20210900
2021-08-27 23:00:00,48455.0,48530.0,48530.0,20210900,20211000,20211000
2021-08-30 23:00:00,48765.0,48820.0,48820.0,20210900,20211000,20211000
2021-08-31 23:00:00,47390.0,47420.0,47420.0,20210900,20211000,20211000
2021-09-01 23:00:00,48320.0,48340.0,48340.0,20210900,20211000,20211000
2021-09-02 23:00:00,49375.0,49435.0,49435.0,20210900,20211000,20211000
2021-09-03 23:00:00,50710.0,50775.0,50775.0,20210900,20211000,20211000
2021-09-06 23:00:00,51700.0,51950.0,51950.0,20210900,20211000,20211000
2021-09-07 23:00:00,46780.0,46795.0,46795.0,20210900,20211000,20211000
2021-09-08 23:00:00,46520.0,46625.0,46625.0,20210900,20211000,20211000
2021-09-09 23:00:00,46645.0,46735.0,46735.0,20210900,20211000,20211000
2021-09-10 23:00:00,45675.0,45785.0,45785.0,20210900,20211000,20211000
2021-09-13 23:00:00,44815.0,44905.0,44905.0,20210900,20211000,20211000
2021-09-14 23:00:00,46515.0,46605.0,46605.0,20210900,20211000,20211000
2021-09-15 23:00:00,48190.0,48325.0,48325.0,20210900,20211000,20211000
2021-09-16 23:00:00,47495.0,47665.0,47665.0,20210900,20211000,20211000
2021-09-17 23:00:00,47490.0,47615.0,47615.0,20210900,20211000,20211000
2021-09-20 23:00:00,43780.0,43880.0,43880.0,20210900,20211000,20211000
2021-09-21 23:00:00,42120.0,42300.0,42300.0,20211000,20211100,20211100
2021-09-22 23:00:00,43520.0,43660.0,43660.0,20211000,20211100,20211100
2021-09-23 23:00:00,44925.0,44955.0,44955.0,20211000,20211100,20211100
2021-09-24 23:00:00,42520.0,42585.0,42585.0,20211000,20211100,20211100
2021-09-27 23:00:00,43150.0,43220.0,43220.0,20211000,20211100,20211100
2021-09-28 23:00:00,41600.0,41715.0,41715.0,20211000,20211100,20211100
2021-09-29 23:00:00,41155.0,41215.0,41215.0,20211000,20211100,20211100
2021-09-30 23:00:00,43615.0,43760.0,43760.0,20211000,20211100,20211100
2021-10-01 23:00:00,48390.0,48500.0,48500.0,20211000,20211100,20211100
2021-10-04 23:00:00,49855.0,50020.0,50020.0,20211000,20211100,20211100
2021-10-05 23:00:00,51630.0,51780.0,51780.0,20211000,20211100,20211100
2021-10-06 23:00:00,55700.0,56000.0,56000.0,20211000,20211100,20211100
2021-10-07 23:00:00,54470.0,54870.0,54870.0,20211000,20211100,20211100
2021-10-08 23:00:00,55180.0,55590.0,55590.0,20211000,20211100,20211100
2021-10-11 23:00:00,57990.0,58505.0,58505.0,20211000,20211100,20211100
2021-10-12 23:00:00,55815.0,56330.0,56330.0,20211000,20211100,20211100
2021-10-13 23:00:00,57750.0,58235.0,58235.0,20211000,20211100,20211100
2021-10-14 23:00:00,58195.0,58675.0,58675.0,20211000,20211100,20211100
2021-10-15 23:00:00,62075.0,62575.0,62575.0,20211000,20211100,20211100
2021-10-18 23:00:00,61650.0,62010.0,62010.0,20211000,20211100,20211100
2021-10-19 23:00:00,64660.0,65255.0,65255.0,20211000,20211100,20211100
2021-10-20 23:00:00,66665.0,67905.0,67905.0,20211000,20211100,20211100
2021-10-21 23:00:00,62910.0,63840.0,63840.0,20211000,20211100,20211100
2021-10-22 23:00:00,61080.0,61680.0,61680.0,20211000,20211100,20211100
2021-10-25 23:00:00,62725.0,63375.0,63375.0,20211000,20211100,20211100
2021-10-26 23:00:00,61975.0,62580.0,62580.0,20211000,20211100,20211100
2021-10-27 23:00:00,59065.0,59415.0,59415.0,20211000,20211100,20211100
2021-10-28 23:00:00,61335.0,61780.0,61780.0,20211000,20211100,20211100
2021-10-29 23:00:00,61150.0,63010.0,63010.0,20211000,20211100,20211100
2021-11-01 23:00:00,61150.0,61615.0,61615.0,20211000,20211100,20211100
2021-11-02 23:00:00,61150.0,64015.0,64015.0,20211000,20211100,20211100
2021-11-03 23:00:00,63065.0,63600.0,63600.0,20211100,20211200,20211200
2021-11-04 23:00:00,61360.0,61910.0,61910.0,20211100,20211200,20211200
2021-11-05 23:00:00,61380.0,61900.0,61900.0,20211100,20211200,20211200
2021-11-08 23:00:00,66485.0,67075.0,67075.0,20211100,20211200,20211200
2021-11-09 23:00:00,67625.0,68235.0,68235.0,20211100,20211200,20211200
2021-11-10 23:00:00,66075.0,66650.0,66650.0,20211100,20211200,20211200
2021-11-11 23:00:00,65055.0,65635.0,65635.0,20211100,20211200,20211200
2021-11-12 23:00:00,64235.0,64820.0,64820.0,20211100,20211200,20211200
2021-11-15 23:00:00,63910.0,64460.0,64460.0,20211100,20211200,20211200
2021-11-16 23:00:00,59730.0,60220.0,60220.0,20211100,20211200,20211200
2021-11-17 23:00:00,60485.0,61060.0,61060.0,20211100,20211200,20211200
2021-11-18 23:00:00,58015.0,58575.0,58575.0,20211100,20211200,20211200
2021-11-19 23:00:00,57900.0,58510.0,58510.0,20211100,20211200,20211200
2021-11-22 23:00:00,55815.0,56330.0,56330.0,20211100,20211200,20211200
2021-11-23 23:00:00,57855.0,58360.0,58360.0,20211100,20211200,20211200
2021-11-24 23:00:00,57415.0,57815.0,57815.0,20211100,20211200,20211200
2021-11-25 23:00:00,59190.0,59535.0,59535.0,20211100,20211200,20211200
2021-11-26 23:00:00,54465.0,54430.0,54430.0,20211100,20211200,20211200
