DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-04 23:00:00,158.99,157.72,157.72,20210900,20211200,20211200
2021-06-07 23:00:00,158.62,157.34,157.34,20210900,20211200,20211200
2021-06-08 23:00:00,159.19,157.91,157.91,20210900,20211200,20211200
2021-06-09 23:00:00,159.74,158.33,158.33,20210900,20211200,20211200
2021-06-10 23:00:00,159.76,158.35,158.35,20210900,20211200,20211200
2021-06-11 23:00:00,160.34,158.93,158.93,20210900,20211200,20211200
2021-06-14 23:00:00,159.95,158.54,158.54,20210900,20211200,20211200
2021-06-15 23:00:00,159.76,158.35,158.35,20210900,20211200,20211200
2021-06-16 23:00:00,159.83,158.42,158.42,20210900,20211200,20211200
2021-06-17 23:00:00,159.4,157.99,157.99,20210900,20211200,20211200
2021-06-18 23:00:00,159.12,157.71,157.71,20210900,20211200,20211200
2021-06-21 23:00:00,159.1,157.69,157.69,20210900,20211200,20211200
2021-06-22 23:00:00,158.98,157.57,157.57,20210900,20211200,20211200
2021-06-23 23:00:00,159.02,157.61,157.61,20210900,20211200,20211200
2021-06-24 23:00:00,159.29,157.88,157.88,20210900,20211200,20211200
2021-06-25 23:00:00,158.54,157.13,157.13,20210900,20211200,20211200
2021-06-28 23:00:00,159.03,157.62,157.62,20210900,20211200,20211200
2021-06-29 23:00:00,159.01,157.6,157.6,20210900,20211200,20211200
2021-06-30 23:00:00,159.58,158.17,158.17,20210900,20211200,20211200
2021-07-01 23:00:00,159.72,158.31,158.31,20210900,20211200,20211200
2021-07-02 23:00:00,160.11,158.7,158.7,20210900,20211200,20211200
2021-07-05 23:00:00,159.78,158.37,158.37,20210900,20211200,20211200
2021-07-06 23:00:00,160.48,159.07,159.07,20210900,20211200,20211200
2021-07-07 23:00:00,160.67,159.26,159.26,20210900,20211200,20211200
2021-07-08 23:00:00,160.62,159.21,159.21,20210900,20211200,20211200
2021-07-09 23:00:00,160.33,158.92,158.92,20210900,20211200,20211200
2021-07-12 23:00:00,160.62,159.21,159.21,20210900,20211200,20211200
2021-07-13 23:00:00,160.88,159.47,159.47,20210900,20211200,20211200
2021-07-14 23:00:00,160.96,159.55,159.55,20210900,20211200,20211200
2021-07-15 23:00:00,160.98,159.57,159.57,20210900,20211200,20211200
2021-07-16 23:00:00,161.39,159.98,159.98,20210900,20211200,20211200
2021-07-19 23:00:00,161.58,160.17,160.17,20210900,20211200,20211200
2021-07-20 23:00:00,161.75,160.34,160.34,20210900,20211200,20211200
2021-07-21 23:00:00,161.55,160.14,160.14,20210900,20211200,20211200
2021-07-22 23:00:00,162.22,160.81,160.81,20210900,20211200,20211200
2021-07-23 23:00:00,162.58,161.17,161.17,20210900,20211200,20211200
2021-07-26 23:00:00,162.46,161.05,161.05,20210900,20211200,20211200
2021-07-27 23:00:00,162.63,161.22,161.22,20210900,20211200,20211200
2021-07-28 23:00:00,162.53,161.12,161.12,20210900,20211200,20211200
2021-07-29 23:00:00,162.56,161.15,161.15,20210900,20211200,20211200
2021-07-30 23:00:00,162.69,161.28,161.28,20210900,20211200,20211200
2021-08-02 23:00:00,163.1,161.69,161.69,20210900,20211200,20211200
2021-08-03 23:00:00,163.2,161.79,161.79,20210900,20211200,20211200
2021-08-04 23:00:00,163.17,161.76,161.76,20210900,20211200,20211200
2021-08-05 23:00:00,163.71,162.3,162.3,20210900,20211200,20211200
2021-08-06 23:00:00,163.1,161.69,161.69,20210900,20211200,20211200
2021-08-09 23:00:00,163.32,161.91,161.91,20210900,20211200,20211200
2021-08-10 23:00:00,163.39,161.98,161.98,20210900,20211200,20211200
2021-08-11 23:00:00,163.14,161.73,161.73,20210900,20211200,20211200
2021-08-12 23:00:00,163.44,162.03,162.03,20210900,20211200,20211200
2021-08-13 23:00:00,163.49,162.08,162.08,20210900,20211200,20211200
2021-08-16 23:00:00,163.39,161.98,161.98,20210900,20211200,20211200
2021-08-17 23:00:00,163.23,161.88,161.88,20210900,20211200,20211200
2021-08-18 23:00:00,163.42,162.07,162.07,20210900,20211200,20211200
2021-08-19 23:00:00,163.38,162.03,162.03,20210900,20211200,20211200
2021-08-20 23:00:00,163.52,162.17,162.17,20210900,20211200,20211200
2021-08-23 23:00:00,163.28,161.93,161.93,20210900,20211200,20211200
2021-08-24 23:00:00,163.22,161.83,161.83,20210900,20211200,20211200
2021-08-25 23:00:00,162.31,160.86,160.86,20210900,20211200,20211200
2021-08-26 23:00:00,162.2,160.75,160.75,20210900,20211200,20211200
2021-08-27 23:00:00,162.33,160.88,160.88,20210900,20211200,20211200
2021-08-30 23:00:00,162.62,161.16,161.16,20210900,20211200,20211200
2021-08-31 23:00:00,161.88,160.42,160.42,20210900,20211200,20211200
2021-09-01 23:00:00,161.92,160.48,160.48,20210900,20211200,20211200
2021-09-02 23:00:00,162.16,160.83,160.83,20210900,20211200,20211200
2021-09-03 23:00:00,160.56,160.56,160.56,20211200,20220300,20220300
2021-09-06 23:00:00,160.71,160.71,160.71,20211200,20220300,20220300
2021-09-07 23:00:00,159.93,159.93,159.93,20211200,20220300,20220300
2021-09-08 23:00:00,160.1,160.1,160.1,20211200,20220300,20220300
2021-09-09 23:00:00,160.98,158.74,158.74,20211200,20220300,20220300
2021-09-10 23:00:00,160.55,158.31,158.31,20211200,20220300,20220300
2021-09-13 23:00:00,160.55,158.31,158.31,20211200,20220300,20220300
2021-09-14 23:00:00,160.88,158.64,158.64,20211200,20220300,20220300
2021-09-15 23:00:00,160.56,158.32,158.32,20211200,20220300,20220300
2021-09-16 23:00:00,160.46,158.22,158.22,20211200,20220300,20220300
2021-09-17 23:00:00,160.29,158.05,158.05,20211200,20220300,20220300
2021-09-20 23:00:00,160.45,158.21,158.21,20211200,20220300,20220300
2021-09-21 23:00:00,160.75,158.51,158.51,20211200,20220300,20220300
2021-09-22 23:00:00,160.9,158.66,158.66,20211200,20220300,20220300
2021-09-23 23:00:00,160.11,157.87,157.87,20211200,20220300,20220300
2021-09-24 23:00:00,159.57,157.33,157.33,20211200,20220300,20220300
2021-09-27 23:00:00,159.43,157.19,157.19,20211200,20220300,20220300
2021-09-28 23:00:00,159.01,156.77,156.77,20211200,20220300,20220300
2021-09-29 23:00:00,159.23,156.99,156.99,20211200,20220300,20220300
2021-09-30 23:00:00,158.87,156.63,156.63,20211200,20220300,20220300
2021-10-01 23:00:00,159.41,157.17,157.17,20211200,20220300,20220300
2021-10-04 23:00:00,159.23,156.99,156.99,20211200,20220300,20220300
2021-10-05 23:00:00,158.95,156.71,156.71,20211200,20220300,20220300
2021-10-06 23:00:00,158.88,156.64,156.64,20211200,20220300,20220300
2021-10-07 23:00:00,158.98,156.74,156.74,20211200,20220300,20220300
2021-10-08 23:00:00,158.64,156.4,156.4,20211200,20220300,20220300
2021-10-11 23:00:00,158.35,156.11,156.11,20211200,20220300,20220300
2021-10-12 23:00:00,158.18,155.94,155.94,20211200,20220300,20220300
2021-10-13 23:00:00,158.63,156.39,156.39,20211200,20220300,20220300
2021-10-14 23:00:00,159.23,156.99,156.99,20211200,20220300,20220300
2021-10-15 23:00:00,159.0,156.76,156.76,20211200,20220300,20220300
2021-10-18 23:00:00,158.57,156.33,156.33,20211200,20220300,20220300
2021-10-19 23:00:00,158.03,155.79,155.79,20211200,20220300,20220300
2021-10-20 23:00:00,158.29,156.05,156.05,20211200,20220300,20220300
2021-10-21 23:00:00,157.87,155.63,155.63,20211200,20220300,20220300
2021-10-22 23:00:00,157.9,155.66,155.66,20211200,20220300,20220300
2021-10-25 23:00:00,158.22,155.98,155.98,20211200,20220300,20220300
2021-10-26 23:00:00,158.08,155.84,155.84,20211200,20220300,20220300
2021-10-27 23:00:00,158.77,156.53,156.53,20211200,20220300,20220300
2021-10-28 23:00:00,158.07,155.83,155.83,20211200,20220300,20220300
2021-10-29 23:00:00,156.71,154.47,154.47,20211200,20220300,20220300
2021-11-01 23:00:00,156.49,154.25,154.25,20211200,20220300,20220300
2021-11-02 23:00:00,158.0,155.76,155.76,20211200,20220300,20220300
2021-11-03 23:00:00,158.11,155.87,155.87,20211200,20220300,20220300
2021-11-04 23:00:00,159.18,156.94,156.94,20211200,20220300,20220300
2021-11-05 23:00:00,159.89,157.65,157.65,20211200,20220300,20220300
