DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-22 23:00:00,64.24,63.81,64.75,20210800,20210900,20210700
2021-04-23 23:00:00,64.93,64.51,65.42,20210800,20210900,20210700
2021-04-26 23:00:00,64.61,64.24,65.03,20210800,20210900,20210700
2021-04-27 23:00:00,65.47,65.1,65.87,20210800,20210900,20210700
2021-04-28 23:00:00,66.38,65.98,66.78,20210800,20210900,20210700
2021-04-29 23:00:00,67.58,67.1,68.05,20210800,20210900,20210700
2021-04-30 23:00:00,66.28,65.8,66.76,20210800,20210900,20210700
2021-05-03 23:00:00,67.14,66.7,67.56,20210800,20210900,20210700
2021-05-04 23:00:00,68.45,68.0,68.88,20210800,20210900,20210700
2021-05-05 23:00:00,68.55,68.1,68.96,20210800,20210900,20210700
2021-05-06 23:00:00,67.72,67.3,68.09,20210800,20210900,20210700
2021-05-07 23:00:00,68.0,67.61,68.28,20210800,20210900,20210700
2021-05-10 23:00:00,68.09,67.73,68.32,20210800,20210900,20210700
2021-05-11 23:00:00,68.37,68.04,68.55,20210800,20210900,20210700
2021-05-12 23:00:00,69.14,68.8,69.32,20210800,20210900,20210700
2021-05-13 23:00:00,66.88,66.56,67.05,20210800,20210900,20210700
2021-05-14 23:00:00,68.38,67.96,68.71,20210800,20210900,20210700
2021-05-17 23:00:00,69.14,68.69,69.46,20210800,20210900,20210700
2021-05-18 23:00:00,68.52,68.11,68.71,20210800,20210900,20210700
2021-05-19 23:00:00,66.53,66.15,66.66,20210800,20210900,20210700
2021-05-20 23:00:00,65.07,64.77,65.11,20210800,20210900,20210700
2021-05-21 23:00:00,66.35,66.02,66.44,20210800,20210900,20210700
2021-05-24 23:00:00,68.37,68.01,68.46,20210800,20210900,20210700
2021-05-25 23:00:00,68.08,67.61,68.49,20210900,20211000,20210800
2021-05-26 23:00:00,68.32,67.85,68.73,20210900,20211000,20210800
2021-05-27 23:00:00,68.81,68.32,69.2,20210900,20211000,20210800
2021-05-28 23:00:00,68.34,67.85,68.72,20210900,20211000,20210800
2021-06-01 23:00:00,69.85,69.33,70.25,20210900,20211000,20210800
2021-06-02 23:00:00,70.95,70.4,71.35,20210900,20211000,20210800
