DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-08 23:00:00,113.19,113.67,113.67,20210900,20211200,20211200
2021-06-09 23:00:00,113.21,113.56,113.56,20210900,20211200,20211200
2021-06-10 23:00:00,113.23,113.58,113.58,20210900,20211200,20211200
2021-06-11 23:00:00,113.27,113.62,113.62,20210900,20211200,20211200
2021-06-14 23:00:00,113.22,113.57,113.57,20210900,20211200,20211200
2021-06-15 23:00:00,113.22,113.57,113.57,20210900,20211200,20211200
2021-06-16 23:00:00,113.26,113.61,113.61,20210900,20211200,20211200
2021-06-17 23:00:00,113.2,113.55,113.55,20210900,20211200,20211200
2021-06-18 23:00:00,113.09,113.44,113.44,20210900,20211200,20211200
2021-06-21 23:00:00,113.06,113.41,113.41,20210900,20211200,20211200
2021-06-22 23:00:00,113.04,113.39,113.39,20210900,20211200,20211200
2021-06-23 23:00:00,113.04,113.39,113.39,20210900,20211200,20211200
2021-06-24 23:00:00,113.07,113.42,113.42,20210900,20211200,20211200
2021-06-25 23:00:00,113.03,113.38,113.38,20210900,20211200,20211200
2021-06-28 23:00:00,113.09,113.44,113.44,20210900,20211200,20211200
2021-06-29 23:00:00,113.11,113.46,113.46,20210900,20211200,20211200
2021-06-30 23:00:00,113.16,113.51,113.51,20210900,20211200,20211200
2021-07-01 23:00:00,113.2,113.55,113.55,20210900,20211200,20211200
2021-07-02 23:00:00,113.23,113.58,113.58,20210900,20211200,20211200
2021-07-05 23:00:00,113.22,113.57,113.57,20210900,20211200,20211200
2021-07-06 23:00:00,113.24,113.59,113.59,20210900,20211200,20211200
2021-07-07 23:00:00,113.23,113.58,113.58,20210900,20211200,20211200
2021-07-08 23:00:00,113.2,113.55,113.55,20210900,20211200,20211200
2021-07-09 23:00:00,113.2,113.55,113.55,20210900,20211200,20211200
2021-07-12 23:00:00,113.23,113.58,113.58,20210900,20211200,20211200
2021-07-13 23:00:00,113.27,113.62,113.62,20210900,20211200,20211200
2021-07-14 23:00:00,113.26,113.61,113.61,20210900,20211200,20211200
2021-07-15 23:00:00,113.24,113.59,113.59,20210900,20211200,20211200
2021-07-16 23:00:00,113.29,113.64,113.64,20210900,20211200,20211200
2021-07-19 23:00:00,113.26,113.61,113.61,20210900,20211200,20211200
2021-07-20 23:00:00,113.26,113.61,113.61,20210900,20211200,20211200
2021-07-21 23:00:00,113.24,113.59,113.59,20210900,20211200,20211200
2021-07-22 23:00:00,113.32,113.67,113.67,20210900,20211200,20211200
2021-07-23 23:00:00,113.35,113.65,113.65,20210900,20211200,20211200
2021-07-26 23:00:00,113.34,113.64,113.64,20210900,20211200,20211200
2021-07-27 23:00:00,113.33,113.63,113.63,20210900,20211200,20211200
2021-07-28 23:00:00,113.38,113.68,113.68,20210900,20211200,20211200
2021-07-29 23:00:00,113.37,113.67,113.67,20210900,20211200,20211200
2021-07-30 23:00:00,113.37,113.67,113.67,20210900,20211200,20211200
2021-08-02 23:00:00,113.46,113.73,113.73,20210900,20211200,20211200
2021-08-03 23:00:00,113.47,113.74,113.74,20210900,20211200,20211200
2021-08-04 23:00:00,113.48,113.75,113.75,20210900,20211200,20211200
2021-08-05 23:00:00,113.53,113.8,113.8,20210900,20211200,20211200
2021-08-06 23:00:00,113.47,113.74,113.74,20210900,20211200,20211200
2021-08-09 23:00:00,113.48,113.75,113.75,20210900,20211200,20211200
2021-08-10 23:00:00,113.51,113.78,113.78,20210900,20211200,20211200
2021-08-11 23:00:00,113.47,113.74,113.74,20210900,20211200,20211200
2021-08-12 23:00:00,113.49,113.76,113.76,20210900,20211200,20211200
2021-08-13 23:00:00,113.48,113.75,113.75,20210900,20211200,20211200
2021-08-16 23:00:00,113.49,113.76,113.76,20210900,20211200,20211200
2021-08-17 23:00:00,113.47,113.79,113.79,20210900,20211200,20211200
2021-08-18 23:00:00,113.5,113.82,113.82,20210900,20211200,20211200
2021-08-19 23:00:00,113.5,113.82,113.82,20210900,20211200,20211200
2021-08-20 23:00:00,113.53,113.85,113.85,20210900,20211200,20211200
2021-08-23 23:00:00,113.49,113.81,113.81,20210900,20211200,20211200
2021-08-24 23:00:00,113.52,113.83,113.83,20210900,20211200,20211200
2021-08-25 23:00:00,113.4,113.69,113.69,20210900,20211200,20211200
2021-08-26 23:00:00,113.42,113.71,113.71,20210900,20211200,20211200
2021-08-27 23:00:00,113.47,113.78,113.78,20210900,20211200,20211200
2021-08-30 23:00:00,113.51,113.85,113.85,20210900,20211200,20211200
2021-08-31 23:00:00,113.43,113.76,113.76,20210900,20211200,20211200
2021-09-01 23:00:00,113.46,113.8,113.8,20210900,20211200,20211200
2021-09-02 23:00:00,113.53,113.87,113.87,20210900,20211200,20211200
2021-09-03 23:00:00,113.49,113.85,113.85,20210900,20211200,20211200
2021-09-06 23:00:00,113.51,113.86,113.86,20210900,20211200,20211200
2021-09-07 23:00:00,113.74,113.56,113.56,20211200,20220300,20220300
2021-09-08 23:00:00,113.73,113.55,113.55,20211200,20220300,20220300
2021-09-09 23:00:00,113.84,113.65,113.65,20211200,20220300,20220300
2021-09-10 23:00:00,113.79,113.6,113.6,20211200,20220300,20220300
2021-09-13 23:00:00,113.82,113.63,113.63,20211200,20220300,20220300
2021-09-14 23:00:00,113.86,113.67,113.67,20211200,20220300,20220300
2021-09-15 23:00:00,113.81,113.62,113.62,20211200,20220300,20220300
2021-09-16 23:00:00,113.83,113.64,113.64,20211200,20220300,20220300
2021-09-17 23:00:00,113.77,113.58,113.58,20211200,20220300,20220300
2021-09-20 23:00:00,113.8,113.61,113.61,20211200,20220300,20220300
2021-09-21 23:00:00,113.86,113.67,113.67,20211200,20220300,20220300
2021-09-22 23:00:00,113.9,113.71,113.71,20211200,20220300,20220300
2021-09-23 23:00:00,113.84,113.65,113.65,20211200,20220300,20220300
2021-09-24 23:00:00,113.77,113.58,113.58,20211200,20220300,20220300
2021-09-27 23:00:00,113.75,113.56,113.56,20211200,20220300,20220300
2021-09-28 23:00:00,113.68,113.49,113.49,20211200,20220300,20220300
2021-09-29 23:00:00,113.74,113.55,113.55,20211200,20220300,20220300
2021-09-30 23:00:00,113.71,113.52,113.52,20211200,20220300,20220300
2021-10-01 23:00:00,113.78,113.59,113.59,20211200,20220300,20220300
2021-10-04 23:00:00,113.77,113.58,113.58,20211200,20220300,20220300
2021-10-05 23:00:00,113.75,113.56,113.56,20211200,20220300,20220300
2021-10-06 23:00:00,113.74,113.55,113.55,20211200,20220300,20220300
2021-10-07 23:00:00,113.77,113.58,113.58,20211200,20220300,20220300
2021-10-08 23:00:00,113.74,113.55,113.55,20211200,20220300,20220300
2021-10-11 23:00:00,113.7,113.51,113.51,20211200,20220300,20220300
2021-10-12 23:00:00,113.69,113.5,113.5,20211200,20220300,20220300
2021-10-13 23:00:00,113.7,113.51,113.51,20211200,20220300,20220300
2021-10-14 23:00:00,113.74,113.55,113.55,20211200,20220300,20220300
2021-10-15 23:00:00,113.72,113.53,113.53,20211200,20220300,20220300
2021-10-18 23:00:00,113.6,113.41,113.41,20211200,20220300,20220300
2021-10-19 23:00:00,113.54,113.35,113.35,20211200,20220300,20220300
2021-10-20 23:00:00,113.58,113.39,113.39,20211200,20220300,20220300
2021-10-21 23:00:00,113.53,113.34,113.34,20211200,20220300,20220300
2021-10-22 23:00:00,113.48,113.29,113.29,20211200,20220300,20220300
2021-10-25 23:00:00,113.56,113.37,113.37,20211200,20220300,20220300
2021-10-26 23:00:00,113.56,113.37,113.37,20211200,20220300,20220300
2021-10-27 23:00:00,113.57,113.38,113.38,20211200,20220300,20220300
2021-10-28 23:00:00,113.34,113.15,113.15,20211200,20220300,20220300
2021-10-29 23:00:00,113.05,112.86,112.86,20211200,20220300,20220300
2021-11-01 23:00:00,113.08,112.89,112.89,20211200,20220300,20220300
2021-11-02 23:00:00,113.48,113.29,113.29,20211200,20220300,20220300
2021-11-03 23:00:00,113.48,113.29,113.29,20211200,20220300,20220300
2021-11-04 23:00:00,113.7,113.51,113.51,20211200,20220300,20220300
2021-11-05 23:00:00,113.77,113.58,113.58,20211200,20220300,20220300
2021-11-08 23:00:00,113.79,113.56,113.56,20211200,20220300,20220300
2021-11-09 23:00:00,113.85,113.54,113.54,20211200,20220300,20220300
2021-11-10 23:00:00,113.74,113.43,113.43,20211200,20220300,20220300
2021-11-11 23:00:00,113.66,113.34,113.34,20211200,20220300,20220300
2021-11-12 23:00:00,113.68,113.31,113.31,20211200,20220300,20220300
2021-11-15 23:00:00,113.67,113.3,113.3,20211200,20220300,20220300
2021-11-16 23:00:00,113.72,113.38,113.38,20211200,20220300,20220300
2021-11-17 23:00:00,113.72,113.38,113.38,20211200,20220300,20220300
2021-11-18 23:00:00,113.82,113.47,113.47,20211200,20220300,20220300
2021-11-19 23:00:00,113.92,113.57,113.57,20211200,20220300,20220300
2021-11-22 23:00:00,113.84,113.47,113.47,20211200,20220300,20220300
2021-11-23 23:00:00,113.72,113.33,113.33,20211200,20220300,20220300
2021-11-24 23:00:00,113.71,113.32,113.32,20211200,20220300,20220300
2021-11-25 23:00:00,113.69,113.29,113.29,20211200,20220300,20220300
2021-11-26 23:00:00,113.84,113.44,113.44,20211200,20220300,20220300
2021-11-29 23:00:00,113.81,113.41,113.41,20211200,20220300,20220300
2021-11-30 23:00:00,113.78,113.38,113.38,20211200,20220300,20220300
2021-12-01 23:00:00,113.6,113.23,113.23,20211200,20220300,20220300
2021-12-02 23:00:00,113.7,113.33,113.33,20211200,20220300,20220300
2021-12-03 23:00:00,113.7,113.35,113.35,20211200,20220300,20220300
2021-12-06 23:00:00,113.81,113.48,113.48,20211200,20220300,20220300
2021-12-07 23:00:00,113.39,112.85,112.85,20220300,20220600,20220600
2021-12-08 23:00:00,113.21,112.67,112.67,20220300,20220600,20220600
2021-12-09 23:00:00,113.35,112.81,112.81,20220300,20220600,20220600
2021-12-10 23:00:00,113.46,112.92,112.92,20220300,20220600,20220600
2021-12-13 23:00:00,113.55,113.01,113.01,20220300,20220600,20220600
2021-12-14 23:00:00,113.47,112.93,112.93,20220300,20220600,20220600
2021-12-15 23:00:00,113.42,112.88,112.88,20220300,20220600,20220600
2021-12-16 23:00:00,113.35,112.81,112.81,20220300,20220600,20220600
2021-12-17 23:00:00,113.45,112.91,112.91,20220300,20220600,20220600
2021-12-20 23:00:00,113.45,112.91,112.91,20220300,20220600,20220600
2021-12-21 23:00:00,113.34,112.8,112.8,20220300,20220600,20220600
2021-12-22 23:00:00,113.25,112.71,112.71,20220300,20220600,20220600
2021-12-23 23:00:00,113.06,112.52,112.52,20220300,20220600,20220600
2021-12-27 23:00:00,112.96,112.42,112.42,20220300,20220600,20220600
2021-12-28 23:00:00,113.01,112.47,112.47,20220300,20220600,20220600
2021-12-29 23:00:00,112.95,112.41,112.41,20220300,20220600,20220600
2021-12-30 23:00:00,112.91,112.37,112.37,20220300,20220600,20220600
2022-01-03 23:00:00,112.95,112.41,112.41,20220300,20220600,20220600
2022-01-04 23:00:00,112.98,112.46,112.46,20220300,20220600,20220600
2022-01-05 23:00:00,112.97,112.45,112.45,20220300,20220600,20220600
2022-01-06 23:00:00,112.9,112.38,112.38,20220300,20220600,20220600
2022-01-07 23:00:00,112.89,112.37,112.37,20220300,20220600,20220600
2022-01-10 23:00:00,112.96,112.44,112.44,20220300,20220600,20220600
2022-01-11 23:00:00,112.94,112.42,112.42,20220300,20220600,20220600
2022-01-12 23:00:00,113.04,112.52,112.52,20220300,20220600,20220600
2022-01-13 23:00:00,113.05,112.53,112.53,20220300,20220600,20220600
