DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-04 23:00:00,171.94,169.19,169.19,20210900,20211200,20211200
2021-06-07 23:00:00,171.75,168.98,168.98,20210900,20211200,20211200
2021-06-08 23:00:00,172.1,169.33,169.33,20210900,20211200,20211200
2021-06-09 23:00:00,172.56,169.85,169.85,20210900,20211200,20211200
2021-06-10 23:00:00,172.53,169.73,169.73,20210900,20211200,20211200
2021-06-11 23:00:00,172.88,170.04,170.04,20210900,20211200,20211200
2021-06-14 23:00:00,172.64,169.8,169.8,20210900,20211200,20211200
2021-06-15 23:00:00,172.32,169.47,169.47,20210900,20211200,20211200
2021-06-16 23:00:00,172.53,169.68,169.68,20210900,20211200,20211200
2021-06-17 23:00:00,172.44,169.59,169.59,20210900,20211200,20211200
2021-06-18 23:00:00,172.6,169.75,169.75,20210900,20211200,20211200
2021-06-21 23:00:00,172.16,169.31,169.31,20210900,20211200,20211200
2021-06-22 23:00:00,171.95,169.1,169.1,20210900,20211200,20211200
2021-06-23 23:00:00,172.17,169.32,169.32,20210900,20211200,20211200
2021-06-24 23:00:00,172.33,169.48,169.48,20210900,20211200,20211200
2021-06-25 23:00:00,171.77,168.92,168.92,20210900,20211200,20211200
2021-06-28 23:00:00,172.26,169.41,169.41,20210900,20211200,20211200
2021-06-29 23:00:00,172.07,169.22,169.22,20210900,20211200,20211200
2021-06-30 23:00:00,172.61,169.76,169.76,20210900,20211200,20211200
2021-07-01 23:00:00,172.54,169.69,169.69,20210900,20211200,20211200
2021-07-02 23:00:00,173.09,170.23,170.23,20210900,20211200,20211200
2021-07-05 23:00:00,172.7,169.84,169.84,20210900,20211200,20211200
2021-07-06 23:00:00,173.6,170.74,170.74,20210900,20211200,20211200
2021-07-07 23:00:00,174.02,171.15,171.15,20210900,20211200,20211200
2021-07-08 23:00:00,174.34,171.47,171.47,20210900,20211200,20211200
2021-07-09 23:00:00,173.9,171.03,171.03,20210900,20211200,20211200
2021-07-12 23:00:00,174.05,171.18,171.18,20210900,20211200,20211200
2021-07-13 23:00:00,174.12,171.25,171.25,20210900,20211200,20211200
2021-07-14 23:00:00,174.34,171.47,171.47,20210900,20211200,20211200
2021-07-15 23:00:00,174.58,171.7,171.7,20210900,20211200,20211200
2021-07-16 23:00:00,174.87,171.99,171.99,20210900,20211200,20211200
2021-07-19 23:00:00,175.52,172.63,172.63,20210900,20211200,20211200
2021-07-20 23:00:00,175.85,172.95,172.95,20210900,20211200,20211200
2021-07-21 23:00:00,175.53,172.63,172.63,20210900,20211200,20211200
2021-07-22 23:00:00,175.94,173.04,173.04,20210900,20211200,20211200
2021-07-23 23:00:00,175.81,172.91,172.91,20210900,20211200,20211200
2021-07-26 23:00:00,175.83,172.93,172.93,20210900,20211200,20211200
2021-07-27 23:00:00,176.26,173.36,173.36,20210900,20211200,20211200
2021-07-28 23:00:00,176.41,173.51,173.51,20210900,20211200,20211200
2021-07-29 23:00:00,176.44,173.54,173.54,20210900,20211200,20211200
2021-07-30 23:00:00,176.57,173.67,173.67,20210900,20211200,20211200
2021-08-02 23:00:00,176.82,173.92,173.92,20210900,20211200,20211200
2021-08-03 23:00:00,176.97,174.07,174.07,20210900,20211200,20211200
2021-08-04 23:00:00,176.94,174.03,174.03,20210900,20211200,20211200
2021-08-05 23:00:00,177.29,174.38,174.38,20210900,20211200,20211200
2021-08-06 23:00:00,176.5,173.59,173.59,20210900,20211200,20211200
2021-08-09 23:00:00,176.52,173.61,173.61,20210900,20211200,20211200
2021-08-10 23:00:00,176.59,173.68,173.68,20210900,20211200,20211200
2021-08-11 23:00:00,176.57,173.66,173.66,20210900,20211200,20211200
2021-08-12 23:00:00,176.58,173.67,173.67,20210900,20211200,20211200
2021-08-13 23:00:00,176.64,173.73,173.73,20210900,20211200,20211200
2021-08-16 23:00:00,176.8,173.89,173.89,20210900,20211200,20211200
2021-08-17 23:00:00,176.8,173.89,173.89,20210900,20211200,20211200
2021-08-18 23:00:00,176.92,173.99,173.99,20210900,20211200,20211200
2021-08-19 23:00:00,177.04,174.12,174.12,20210900,20211200,20211200
2021-08-20 23:00:00,177.15,174.23,174.23,20210900,20211200,20211200
2021-08-23 23:00:00,176.89,173.97,173.97,20210900,20211200,20211200
2021-08-24 23:00:00,176.83,173.91,173.91,20210900,20211200,20211200
2021-08-25 23:00:00,175.98,173.07,173.07,20210900,20211200,20211200
2021-08-26 23:00:00,175.93,173.02,173.02,20210900,20211200,20211200
2021-08-27 23:00:00,175.99,173.08,173.08,20210900,20211200,20211200
2021-08-30 23:00:00,176.28,173.36,173.36,20210900,20211200,20211200
2021-08-31 23:00:00,172.54,174.83,174.83,20211200,20220300,20220300
2021-09-01 23:00:00,172.35,174.61,174.61,20211200,20220300,20220300
2021-09-02 23:00:00,172.58,174.85,174.85,20211200,20220300,20220300
2021-09-03 23:00:00,172.29,174.16,174.16,20211200,20220300,20220300
2021-09-06 23:00:00,172.36,173.66,173.66,20211200,20220300,20220300
2021-09-07 23:00:00,171.62,173.42,173.42,20211200,20220300,20220300
2021-09-08 23:00:00,171.69,173.39,173.39,20211200,20220300,20220300
2021-09-09 23:00:00,172.28,174.12,174.12,20211200,20220300,20220300
2021-09-10 23:00:00,171.88,173.76,173.76,20211200,20220300,20220300
2021-09-13 23:00:00,171.8,173.68,173.68,20211200,20220300,20220300
2021-09-14 23:00:00,171.91,173.79,173.79,20211200,20220300,20220300
2021-09-15 23:00:00,171.57,173.45,173.45,20211200,20220300,20220300
2021-09-16 23:00:00,171.43,173.28,173.28,20211200,20220300,20220300
2021-09-17 23:00:00,171.0,172.81,172.81,20211200,20220300,20220300
2021-09-20 23:00:00,171.55,173.39,173.39,20211200,20220300,20220300
2021-09-21 23:00:00,171.74,173.59,173.59,20211200,20220300,20220300
2021-09-22 23:00:00,171.74,173.6,173.6,20211200,20220300,20220300
2021-09-23 23:00:00,170.7,172.48,172.48,20211200,20220300,20220300
2021-09-24 23:00:00,170.3,172.03,172.03,20211200,20220300,20220300
2021-09-27 23:00:00,170.17,171.88,171.88,20211200,20220300,20220300
2021-09-28 23:00:00,169.86,171.53,171.53,20211200,20220300,20220300
2021-09-29 23:00:00,170.15,171.84,171.84,20211200,20220300,20220300
2021-09-30 23:00:00,169.82,171.48,171.48,20211200,20220300,20220300
2021-10-01 23:00:00,170.22,171.92,171.92,20211200,20220300,20220300
2021-10-04 23:00:00,170.11,171.79,171.79,20211200,20220300,20220300
2021-10-05 23:00:00,169.66,171.3,171.3,20211200,20220300,20220300
2021-10-06 23:00:00,169.65,171.29,171.29,20211200,20220300,20220300
2021-10-07 23:00:00,169.71,171.35,171.35,20211200,20220300,20220300
2021-10-08 23:00:00,169.22,170.82,170.82,20211200,20220300,20220300
2021-10-11 23:00:00,168.78,170.35,170.35,20211200,20220300,20220300
2021-10-12 23:00:00,168.41,169.94,169.94,20211200,20220300,20220300
2021-10-13 23:00:00,168.94,170.52,170.52,20211200,20220300,20220300
2021-10-14 23:00:00,169.65,171.29,171.29,20211200,20220300,20220300
2021-10-15 23:00:00,169.56,171.19,171.19,20211200,20220300,20220300
2021-10-18 23:00:00,169.11,170.76,170.76,20211200,20220300,20220300
2021-10-19 23:00:00,168.54,170.15,170.15,20211200,20220300,20220300
2021-10-20 23:00:00,168.71,170.32,170.32,20211200,20220300,20220300
2021-10-21 23:00:00,168.25,169.83,169.83,20211200,20220300,20220300
2021-10-22 23:00:00,168.28,169.89,169.89,20211200,20220300,20220300
2021-10-25 23:00:00,168.65,170.26,170.26,20211200,20220300,20220300
2021-10-26 23:00:00,168.69,170.31,170.31,20211200,20220300,20220300
2021-10-27 23:00:00,169.54,171.26,171.26,20211200,20220300,20220300
2021-10-28 23:00:00,169.06,170.76,170.76,20211200,20220300,20220300
2021-10-29 23:00:00,168.12,169.75,169.75,20211200,20220300,20220300
