DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2022-03-03 23:00:00,159.92,157.38,157.38,20220600,20220900,20220900
2022-03-04 23:00:00,159.74,158.43,158.43,20220600,20220900,20220900
2022-03-07 23:00:00,159.83,157.9,157.9,20220600,20220900,20220900
2022-03-08 23:00:00,159.25,157.32,157.32,20220600,20220900,20220900
2022-03-09 23:00:00,158.09,156.21,156.21,20220600,20220900,20220900
2022-03-10 23:00:00,157.53,155.65,155.65,20220600,20220900,20220900
2022-03-11 23:00:00,156.91,155.03,155.03,20220600,20220900,20220900
2022-03-14 23:00:00,156.2,154.35,154.35,20220600,20220900,20220900
2022-03-15 23:00:00,156.53,154.68,154.68,20220600,20220900,20220900
2022-03-16 23:00:00,156.17,154.32,154.32,20220600,20220900,20220900
2022-03-17 23:00:00,156.5,154.65,154.65,20220600,20220900,20220900
2022-03-18 23:00:00,156.98,155.13,155.13,20220600,20220900,20220900
2022-03-21 23:00:00,156.1,154.25,154.25,20220600,20220900,20220900
2022-03-22 23:00:00,155.44,153.59,153.59,20220600,20220900,20220900
2022-03-23 23:00:00,155.4,153.55,153.55,20220600,20220900,20220900
2022-03-24 23:00:00,155.16,153.31,153.31,20220600,20220900,20220900
2022-03-25 23:00:00,154.57,152.72,152.72,20220600,20220900,20220900
2022-03-28 23:00:00,154.4,152.55,152.55,20220600,20220900,20220900
2022-03-29 23:00:00,153.29,151.44,151.44,20220600,20220900,20220900
2022-03-30 23:00:00,153.1,151.25,151.25,20220600,20220900,20220900
2022-03-31 23:00:00,154.6,152.75,152.75,20220600,20220900,20220900
2022-04-01 23:00:00,153.69,151.84,151.84,20220600,20220900,20220900
2022-04-04 23:00:00,155.5,153.65,153.65,20220600,20220900,20220900
2022-04-05 23:00:00,154.56,152.71,152.71,20220600,20220900,20220900
2022-04-06 23:00:00,153.58,151.73,151.73,20220600,20220900,20220900
2022-04-07 23:00:00,153.02,151.17,151.17,20220600,20220900,20220900
