DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-15 23:00:00,1.1157,1.1183,1.1183,20210900,20211200,20211200
2021-06-16 23:00:00,1.1059,1.1085,1.1085,20210900,20211200,20211200
2021-06-17 23:00:00,1.0925,1.0951,1.0951,20210900,20211200,20211200
2021-06-18 23:00:00,1.0873,1.0899,1.0899,20210900,20211200,20211200
2021-06-21 23:00:00,1.0912,1.0939,1.0939,20210900,20211200,20211200
2021-06-22 23:00:00,1.0913,1.0939,1.0939,20210900,20211200,20211200
2021-06-23 23:00:00,1.0913,1.0939,1.0939,20210900,20211200,20211200
2021-06-24 23:00:00,1.0912,1.0938,1.0938,20210900,20211200,20211200
2021-06-25 23:00:00,1.0916,1.0942,1.0942,20210900,20211200,20211200
2021-06-28 23:00:00,1.0895,1.0921,1.0921,20210900,20211200,20211200
2021-06-29 23:00:00,1.088,1.0907,1.0907,20210900,20211200,20211200
2021-06-30 23:00:00,1.0819,1.0845,1.0845,20210900,20211200,20211200
2021-07-01 23:00:00,1.0814,1.084,1.084,20210900,20211200,20211200
2021-07-02 23:00:00,1.0858,1.0884,1.0884,20210900,20211200,20211200
2021-07-06 23:00:00,1.0832,1.0858,1.0858,20210900,20211200,20211200
2021-07-07 23:00:00,1.0829,1.0855,1.0855,20210900,20211200,20211200
2021-07-08 23:00:00,1.0938,1.0964,1.0964,20210900,20211200,20211200
2021-07-09 23:00:00,1.0958,1.0984,1.0984,20210900,20211200,20211200
2021-07-12 23:00:00,1.0942,1.0968,1.0968,20210900,20211200,20211200
2021-07-13 23:00:00,1.0901,1.0927,1.0927,20210900,20211200,20211200
2021-07-14 23:00:00,1.095,1.0976,1.0976,20210900,20211200,20211200
2021-07-15 23:00:00,1.0909,1.0935,1.0935,20210900,20211200,20211200
2021-07-16 23:00:00,1.0889,1.0915,1.0915,20210900,20211200,20211200
2021-07-19 23:00:00,1.0904,1.093,1.093,20210900,20211200,20211200
2021-07-20 23:00:00,1.0871,1.0897,1.0897,20210900,20211200,20211200
2021-07-21 23:00:00,1.0917,1.0943,1.0943,20210900,20211200,20211200
2021-07-22 23:00:00,1.0895,1.0921,1.0921,20210900,20211200,20211200
2021-07-23 23:00:00,1.088,1.0906,1.0906,20210900,20211200,20211200
2021-07-26 23:00:00,1.093,1.0956,1.0956,20210900,20211200,20211200
2021-07-27 23:00:00,1.0953,1.0979,1.0979,20210900,20211200,20211200
2021-07-28 23:00:00,1.099,1.1016,1.1016,20210900,20211200,20211200
2021-07-29 23:00:00,1.1055,1.1081,1.1081,20210900,20211200,20211200
2021-07-30 23:00:00,1.1046,1.1072,1.1072,20210900,20211200,20211200
2021-08-02 23:00:00,1.1061,1.1087,1.1087,20210900,20211200,20211200
2021-08-03 23:00:00,1.1072,1.1098,1.1098,20210900,20211200,20211200
2021-08-04 23:00:00,1.1045,1.107,1.107,20210900,20211200,20211200
2021-08-05 23:00:00,1.1045,1.1071,1.1071,20210900,20211200,20211200
2021-08-06 23:00:00,1.0937,1.0962,1.0962,20210900,20211200,20211200
2021-08-09 23:00:00,1.0878,1.0904,1.0904,20210900,20211200,20211200
2021-08-10 23:00:00,1.0844,1.087,1.087,20210900,20211200,20211200
2021-08-11 23:00:00,1.0856,1.0882,1.0882,20210900,20211200,20211200
2021-08-12 23:00:00,1.0832,1.0857,1.0857,20210900,20211200,20211200
2021-08-13 23:00:00,1.0934,1.096,1.096,20210900,20211200,20211200
2021-08-16 23:00:00,1.0969,1.0995,1.0995,20210900,20211200,20211200
2021-08-17 23:00:00,1.0939,1.0965,1.0965,20210900,20211200,20211200
2021-08-18 23:00:00,1.0917,1.0942,1.0942,20210900,20211200,20211200
2021-08-19 23:00:00,1.0893,1.0918,1.0918,20210900,20211200,20211200
2021-08-20 23:00:00,1.0903,1.0928,1.0928,20210900,20211200,20211200
2021-08-23 23:00:00,1.0965,1.0991,1.0991,20210900,20211200,20211200
2021-08-24 23:00:00,1.0962,1.0987,1.0987,20210900,20211200,20211200
2021-08-25 23:00:00,1.0951,1.0976,1.0976,20210900,20211200,20211200
2021-08-26 23:00:00,1.0895,1.092,1.092,20210900,20211200,20211200
2021-08-27 23:00:00,1.0977,1.1002,1.1002,20210900,20211200,20211200
2021-08-30 23:00:00,1.0913,1.0938,1.0938,20210900,20211200,20211200
2021-08-31 23:00:00,1.0934,1.0959,1.0959,20210900,20211200,20211200
2021-09-01 23:00:00,1.093,1.0955,1.0955,20210900,20211200,20211200
2021-09-02 23:00:00,1.0935,1.0959,1.0959,20210900,20211200,20211200
2021-09-03 23:00:00,1.0951,1.0975,1.0975,20210900,20211200,20211200
2021-09-07 23:00:00,1.0879,1.0904,1.0904,20210900,20211200,20211200
2021-09-08 23:00:00,1.0855,1.0879,1.0879,20210900,20211200,20211200
2021-09-09 23:00:00,1.0908,1.0932,1.0932,20210900,20211200,20211200
2021-09-10 23:00:00,1.0895,1.0919,1.0919,20210900,20211200,20211200
2021-09-13 23:00:00,1.086,1.086,1.086,20210900,20211200,20211200
2021-09-14 23:00:00,1.0902,1.093,1.093,20211200,20220300,20220300
2021-09-15 23:00:00,1.0894,1.0922,1.0922,20211200,20220300,20220300
2021-09-16 23:00:00,1.081,1.0838,1.0838,20211200,20220300,20220300
2021-09-17 23:00:00,1.0749,1.0777,1.0777,20211200,20220300,20220300
2021-09-20 23:00:00,1.08,1.0828,1.0828,20211200,20220300,20220300
2021-09-21 23:00:00,1.085,1.0878,1.0878,20211200,20220300,20220300
2021-09-22 23:00:00,1.0811,1.0839,1.0839,20211200,20220300,20220300
2021-09-23 23:00:00,1.0849,1.0877,1.0877,20211200,20220300,20220300
2021-09-24 23:00:00,1.083,1.0858,1.0858,20211200,20220300,20220300
2021-09-27 23:00:00,1.082,1.0848,1.0848,20211200,20220300,20220300
2021-09-28 23:00:00,1.0772,1.08,1.08,20211200,20220300,20220300
2021-09-29 23:00:00,1.072,1.0748,1.0748,20211200,20220300,20220300
2021-09-30 23:00:00,1.0742,1.0769,1.0769,20211200,20220300,20220300
2021-10-01 23:00:00,1.0769,1.0796,1.0796,20211200,20220300,20220300
2021-10-04 23:00:00,1.0834,1.0861,1.0861,20211200,20220300,20220300
2021-10-05 23:00:00,1.0796,1.0823,1.0823,20211200,20220300,20220300
2021-10-06 23:00:00,1.0795,1.0823,1.0823,20211200,20220300,20220300
2021-10-07 23:00:00,1.078,1.0808,1.0808,20211200,20220300,20220300
2021-10-08 23:00:00,1.0809,1.0837,1.0837,20211200,20220300,20220300
2021-10-11 23:00:00,1.08,1.0828,1.0828,20211200,20220300,20220300
2021-10-12 23:00:00,1.0759,1.0788,1.0788,20211200,20220300,20220300
2021-10-13 23:00:00,1.0837,1.0865,1.0865,20211200,20220300,20220300
2021-10-14 23:00:00,1.0845,1.0873,1.0873,20211200,20220300,20220300
2021-10-15 23:00:00,1.0852,1.0881,1.0881,20211200,20220300,20220300
2021-10-18 23:00:00,1.0847,1.0878,1.0878,20211200,20220300,20220300
2021-10-19 23:00:00,1.0853,1.0883,1.0883,20211200,20220300,20220300
2021-10-20 23:00:00,1.0896,1.0925,1.0925,20211200,20220300,20220300
2021-10-21 23:00:00,1.0901,1.093,1.093,20211200,20220300,20220300
