DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-10 23:00:00,6.5755,6.5851,6.5851,20210500,20210600,20210600
2021-04-12 23:00:00,6.5669,6.5809,6.5809,20210500,20210600,20210600
2021-04-13 23:00:00,6.5692,6.582,6.582,20210500,20210600,20210600
2021-04-14 23:00:00,6.5527,6.5654,6.5654,20210500,20210600,20210600
2021-04-15 23:00:00,6.5426,6.5562,6.5562,20210500,20210600,20210600
2021-04-16 23:00:00,6.5397,6.5531,6.5531,20210500,20210600,20210600
2021-04-17 23:00:00,6.5432,6.5563,6.5563,20210500,20210600,20210600
2021-04-19 23:00:00,6.5213,6.5332,6.5332,20210500,20210600,20210600
2021-04-20 23:00:00,6.5089,6.5217,6.5217,20210500,20210600,20210600
2021-04-21 23:00:00,6.5097,6.5217,6.5217,20210500,20210600,20210600
2021-04-22 23:00:00,6.4994,6.5115,6.5115,20210500,20210600,20210600
2021-04-23 23:00:00,6.5002,6.512,6.512,20210500,20210600,20210600
2021-04-24 23:00:00,6.4982,6.5071,6.5071,20210500,20210600,20210600
2021-04-26 23:00:00,6.4888,6.4994,6.4994,20210500,20210600,20210600
2021-04-27 23:00:00,6.4904,6.5138,6.5138,20210500,20210600,20210600
2021-04-28 23:00:00,6.489,6.5001,6.5001,20210500,20210600,20210600
2021-04-29 23:00:00,6.4701,6.4806,6.4806,20210500,20210600,20210600
2021-04-30 23:00:00,6.4691,6.48,6.48,20210500,20210600,20210600
2021-05-01 23:00:00,6.4138,6.4836,6.4836,20210500,20210600,20210600
2021-05-03 23:00:00,6.4855,6.4968,6.4968,20210500,20210600,20210600
2021-05-04 23:00:00,6.4909,6.5023,6.5023,20210500,20210600,20210600
2021-05-05 23:00:00,6.4917,6.5033,6.5033,20210500,20210600,20210600
2021-05-06 23:00:00,6.4777,6.4888,6.4888,20210500,20210600,20210600
2021-05-07 23:00:00,6.466,6.4815,6.4815,20210600,20210700,20210700
2021-05-08 23:00:00,6.4348,6.448,6.448,20210600,20210700,20210700
2021-05-10 23:00:00,6.423,6.4365,6.4365,20210600,20210700,20210700
2021-05-11 23:00:00,6.4335,6.448,6.448,20210600,20210700,20210700
2021-05-12 23:00:00,6.4528,6.4681,6.4681,20210600,20210700,20210700
2021-05-13 23:00:00,6.4694,6.4844,6.4844,20210600,20210700,20210700
