DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-29 23:00:00,4.486,4.477,4.477,20210900,20211200,20211200
2021-04-30 23:00:00,4.468,4.46,4.46,20210900,20211200,20211200
2021-05-03 23:00:00,4.528,4.518,4.518,20210900,20211200,20211200
2021-05-04 23:00:00,4.519,4.51,4.51,20210900,20211200,20211200
2021-05-05 23:00:00,4.522,4.514,4.514,20210900,20211200,20211200
2021-05-06 23:00:00,4.6,4.589,4.589,20210900,20211200,20211200
2021-05-07 23:00:00,4.746,4.736,4.736,20210900,20211200,20211200
2021-05-10 23:00:00,4.716,4.709,4.709,20210900,20211200,20211200
2021-05-11 23:00:00,4.764,4.76,4.76,20210900,20211200,20211200
2021-05-12 23:00:00,4.738,4.733,4.733,20210900,20211200,20211200
2021-05-13 23:00:00,4.693,4.69,4.69,20210900,20211200,20211200
2021-05-14 23:00:00,4.659,4.66,4.66,20210900,20211200,20211200
2021-05-17 23:00:00,4.716,4.717,4.717,20210900,20211200,20211200
2021-05-18 23:00:00,4.731,4.73,4.73,20210900,20211200,20211200
2021-05-19 23:00:00,4.581,4.582,4.582,20210900,20211200,20211200
2021-05-20 23:00:00,4.573,4.576,4.576,20210900,20211200,20211200
2021-05-21 23:00:00,4.487,4.49,4.49,20210900,20211200,20211200
2021-05-24 23:00:00,4.531,4.536,4.536,20210900,20211200,20211200
2021-05-25 23:00:00,4.513,4.516,4.516,20210900,20211200,20211200
2021-05-26 23:00:00,4.536,4.538,4.538,20210900,20211200,20211200
2021-05-27 23:00:00,4.669,4.672,4.672,20210900,20211200,20211200
2021-05-28 23:00:00,4.683,4.686,4.686,20210900,20211200,20211200
2021-06-01 23:00:00,4.659,4.661,4.661,20210900,20211200,20211200
2021-06-02 23:00:00,4.597,4.602,4.602,20210900,20211200,20211200
2021-06-03 23:00:00,4.469,4.476,4.476,20210900,20211200,20211200
2021-06-04 23:00:00,4.534,4.539,4.539,20210900,20211200,20211200
2021-06-07 23:00:00,4.533,4.539,4.539,20210900,20211200,20211200
2021-06-08 23:00:00,4.562,4.567,4.567,20210900,20211200,20211200
2021-06-09 23:00:00,4.537,4.543,4.543,20210900,20211200,20211200
2021-06-10 23:00:00,4.492,4.499,4.499,20210900,20211200,20211200
2021-06-11 23:00:00,4.545,4.55,4.55,20210900,20211200,20211200
2021-06-14 23:00:00,4.534,4.539,4.539,20210900,20211200,20211200
2021-06-15 23:00:00,4.341,4.347,4.347,20210900,20211200,20211200
2021-06-16 23:00:00,4.391,4.397,4.397,20210900,20211200,20211200
2021-06-17 23:00:00,4.186,4.192,4.192,20210900,20211200,20211200
2021-06-18 23:00:00,4.163,4.169,4.169,20210900,20211200,20211200
2021-06-21 23:00:00,4.185,4.188,4.188,20210900,20211200,20211200
2021-06-22 23:00:00,4.219,4.22,4.22,20210900,20211200,20211200
2021-06-23 23:00:00,4.324,4.326,4.326,20210900,20211200,20211200
2021-06-24 23:00:00,4.305,4.307,4.307,20210900,20211200,20211200
2021-06-25 23:00:00,4.29,4.291,4.291,20210900,20211200,20211200
2021-06-28 23:00:00,4.279,4.28,4.28,20210900,20211200,20211200
2021-06-29 23:00:00,4.257,4.255,4.255,20211200,20220300,20220300
2021-06-30 23:00:00,4.284,4.282,4.282,20211200,20220300,20220300
2021-07-01 23:00:00,4.231,4.229,4.229,20211200,20220300,20220300
2021-07-02 23:00:00,4.273,4.273,4.273,20211200,20220300,20220300
2021-07-06 23:00:00,4.247,4.245,4.245,20211200,20220300,20220300
2021-07-07 23:00:00,4.319,4.316,4.316,20211200,20220300,20220300
2021-07-08 23:00:00,4.262,4.263,4.263,20211200,20220300,20220300
2021-07-09 23:00:00,4.343,4.342,4.342,20211200,20220300,20220300
2021-07-12 23:00:00,4.312,4.31,4.31,20211200,20220300,20220300
2021-07-13 23:00:00,4.302,4.299,4.299,20211200,20220300,20220300
2021-07-14 23:00:00,4.265,4.262,4.262,20211200,20220300,20220300
2021-07-15 23:00:00,4.319,4.314,4.314,20211200,20220300,20220300
2021-07-16 23:00:00,4.319,4.315,4.315,20211200,20220300,20220300
2021-07-19 23:00:00,4.199,4.196,4.196,20211200,20220300,20220300
2021-07-20 23:00:00,4.26,4.258,4.258,20211200,20220300,20220300
2021-07-21 23:00:00,4.269,4.265,4.265,20211200,20220300,20220300
2021-07-22 23:00:00,4.333,4.328,4.328,20211200,20220300,20220300
2021-07-23 23:00:00,4.389,4.38,4.38,20211200,20220300,20220300
2021-07-26 23:00:00,4.545,4.528,4.528,20211200,20220300,20220300
2021-07-27 23:00:00,4.505,4.49,4.49,20211200,20220300,20220300
2021-07-28 23:00:00,4.456,4.447,4.447,20211200,20220300,20220300
2021-07-29 23:00:00,4.502,4.494,4.494,20211200,20220300,20220300
2021-07-30 23:00:00,4.456,4.444,4.444,20211200,20220300,20220300
2021-08-02 23:00:00,4.416,4.411,4.411,20211200,20220300,20220300
2021-08-03 23:00:00,4.374,4.371,4.371,20211200,20220300,20220300
2021-08-04 23:00:00,4.321,4.32,4.32,20211200,20220300,20220300
2021-08-05 23:00:00,4.333,4.331,4.331,20211200,20220300,20220300
2021-08-06 23:00:00,4.339,4.334,4.334,20211200,20220300,20220300
2021-08-09 23:00:00,4.281,4.279,4.279,20211200,20220300,20220300
2021-08-10 23:00:00,4.346,4.343,4.343,20211200,20220300,20220300
2021-08-11 23:00:00,4.36,4.356,4.356,20211200,20220300,20220300
2021-08-12 23:00:00,4.35,4.344,4.344,20211200,20220300,20220300
2021-08-13 23:00:00,4.381,4.373,4.373,20211200,20220300,20220300
2021-08-16 23:00:00,4.321,4.317,4.317,20211200,20220300,20220300
2021-08-17 23:00:00,4.205,4.204,4.204,20211200,20220300,20220300
2021-08-18 23:00:00,4.12,4.122,4.122,20211200,20220300,20220300
2021-08-19 23:00:00,4.043,4.045,4.045,20211200,20220300,20220300
2021-08-20 23:00:00,4.123,4.122,4.122,20211200,20220300,20220300
2021-08-23 23:00:00,4.221,4.218,4.218,20211200,20220300,20220300
2021-08-24 23:00:00,4.26,4.259,4.259,20211200,20220300,20220300
