DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-12 23:00:00,4.0255,4.0285,4.0285,20210700,20210900,20210900
2021-04-13 23:00:00,4.039,4.042,4.042,20210700,20210900,20210900
2021-04-14 23:00:00,4.134,4.1335,4.1335,20210700,20210900,20210900
2021-04-15 23:00:00,4.225,4.226,4.226,20210700,20210900,20210900
2021-04-16 23:00:00,4.173,4.175,4.175,20210700,20210900,20210900
2021-04-19 23:00:00,4.245,4.2475,4.2475,20210700,20210900,20210900
2021-04-20 23:00:00,4.221,4.224,4.224,20210700,20210900,20210900
2021-04-21 23:00:00,4.2875,4.29,4.29,20210700,20210900,20210900
2021-04-22 23:00:00,4.2795,4.282,4.282,20210700,20210900,20210900
2021-04-23 23:00:00,4.341,4.342,4.342,20210700,20210900,20210900
2021-04-26 23:00:00,4.4445,4.445,4.445,20210700,20210900,20210900
2021-04-27 23:00:00,4.4855,4.487,4.487,20210700,20210900,20210900
2021-04-28 23:00:00,4.4975,4.4965,4.4965,20210700,20210900,20210900
2021-04-29 23:00:00,4.4865,4.4865,4.4865,20210700,20210900,20210900
2021-04-30 23:00:00,4.468,4.468,4.468,20210700,20210900,20210900
2021-05-03 23:00:00,4.5285,4.5275,4.5275,20210700,20210900,20210900
2021-05-04 23:00:00,4.5215,4.5195,4.5195,20210700,20210900,20210900
2021-05-05 23:00:00,4.524,4.522,4.522,20210700,20210900,20210900
2021-05-06 23:00:00,4.6025,4.5995,4.5995,20210700,20210900,20210900
2021-05-07 23:00:00,4.7485,4.746,4.746,20210700,20210900,20210900
2021-05-10 23:00:00,4.716,4.716,4.716,20210700,20210900,20210900
2021-05-11 23:00:00,4.762,4.764,4.764,20210700,20210900,20210900
2021-05-12 23:00:00,4.736,4.7375,4.7375,20210700,20210900,20210900
2021-05-13 23:00:00,4.6905,4.693,4.693,20210700,20210900,20210900
2021-05-14 23:00:00,4.6545,4.659,4.659,20210700,20210900,20210900
2021-05-17 23:00:00,4.7115,4.7165,4.7165,20210700,20210900,20210900
2021-05-18 23:00:00,4.7255,4.7305,4.7305,20210700,20210900,20210900
2021-05-19 23:00:00,4.5765,4.581,4.581,20210700,20210900,20210900
2021-05-20 23:00:00,4.568,4.573,4.573,20210700,20210900,20210900
2021-05-21 23:00:00,4.481,4.487,4.487,20210700,20210900,20210900
2021-05-24 23:00:00,4.5255,4.5315,4.5315,20210700,20210900,20210900
2021-05-25 23:00:00,4.5065,4.513,4.513,20210700,20210900,20210900
2021-05-26 23:00:00,4.5295,4.536,4.536,20210700,20210900,20210900
2021-05-27 23:00:00,4.663,4.6695,4.6695,20210700,20210900,20210900
2021-05-28 23:00:00,4.6775,4.683,4.683,20210700,20210900,20210900
2021-06-01 23:00:00,4.6535,4.6585,4.6585,20210700,20210900,20210900
2021-06-02 23:00:00,4.5915,4.5975,4.5975,20210700,20210900,20210900
2021-06-03 23:00:00,4.463,4.469,4.469,20210700,20210900,20210900
2021-06-04 23:00:00,4.529,4.534,4.534,20210700,20210900,20210900
2021-06-07 23:00:00,4.5265,4.533,4.533,20210700,20210900,20210900
2021-06-08 23:00:00,4.556,4.5625,4.5625,20210700,20210900,20210900
2021-06-09 23:00:00,4.531,4.5375,4.5375,20210700,20210900,20210900
2021-06-10 23:00:00,4.485,4.4925,4.4925,20210700,20210900,20210900
2021-06-11 23:00:00,4.5375,4.5455,4.5455,20210700,20210900,20210900
2021-06-14 23:00:00,4.527,4.534,4.534,20210700,20210900,20210900
2021-06-15 23:00:00,4.333,4.341,4.341,20210700,20210900,20210900
2021-06-16 23:00:00,4.385,4.391,4.391,20210700,20210900,20210900
2021-06-17 23:00:00,4.178,4.1855,4.1855,20210700,20210900,20210900
2021-06-18 23:00:00,4.157,4.1635,4.1635,20210700,20210900,20210900
2021-06-21 23:00:00,4.184,4.1845,4.1845,20210700,20210900,20210900
2021-06-22 23:00:00,4.23,4.219,4.219,20210700,20210900,20210900
2021-06-23 23:00:00,4.3305,4.324,4.324,20210700,20210900,20210900
2021-06-24 23:00:00,4.311,4.305,4.305,20210700,20210900,20210900
