DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-09-15 23:00:00,507.5,472.0,512.5,20221200,20231200,20220900
2021-09-16 23:00:00,504.0,468.75,509.25,20221200,20231200,20220900
2021-09-17 23:00:00,503.0,465.25,507.0,20221200,20231200,20220900
2021-09-20 23:00:00,501.75,466.75,505.5,20221200,20231200,20220900
2021-09-21 23:00:00,497.0,466.5,501.0,20221200,20231200,20220900
2021-09-22 23:00:00,501.0,468.0,506.25,20221200,20231200,20220900
2021-09-23 23:00:00,505.5,467.5,510.5,20221200,20231200,20220900
2021-09-24 23:00:00,504.75,465.25,511.75,20221200,20231200,20220900
2021-09-27 23:00:00,518.0,474.5,523.0,20221200,20231200,20220900
2021-09-28 23:00:00,515.25,476.0,521.0,20221200,20231200,20220900
2021-09-29 23:00:00,520.0,478.0,525.75,20221200,20231200,20220900
2021-09-30 23:00:00,522.75,480.75,528.0,20221200,20231200,20220900
2021-10-01 23:00:00,531.5,487.5,537.25,20221200,20231200,20220900
2021-10-04 23:00:00,534.25,493.5,538.75,20221200,20231200,20220900
2021-10-05 23:00:00,531.25,490.5,534.75,20221200,20231200,20220900
2021-10-06 23:00:00,528.0,487.25,531.0,20221200,20231200,20220900
2021-10-07 23:00:00,527.5,485.75,531.5,20221200,20231200,20220900
2021-10-08 23:00:00,525.75,485.75,529.0,20221200,20231200,20220900
2021-10-11 23:00:00,527.25,488.25,530.75,20221200,20231200,20220900
2021-10-12 23:00:00,521.0,487.75,523.5,20221200,20231200,20220900
2021-10-13 23:00:00,514.75,481.5,517.75,20221200,20231200,20220900
2021-10-14 23:00:00,516.25,485.0,519.0,20221200,20231200,20220900
2021-10-15 23:00:00,523.0,489.25,525.5,20221200,20231200,20220900
2021-10-18 23:00:00,527.75,492.25,530.75,20221200,20231200,20220900
2021-10-19 23:00:00,525.75,491.75,528.0,20221200,20231200,20220900
2021-10-20 23:00:00,534.5,495.5,535.75,20221200,20231200,20220900
2021-10-21 23:00:00,530.0,494.0,531.5,20221200,20231200,20220900
2021-10-22 23:00:00,533.0,496.5,534.75,20221200,20231200,20220900
2021-10-25 23:00:00,533.25,497.0,535.5,20221200,20231200,20220900
2021-10-26 23:00:00,536.75,498.5,539.5,20221200,20231200,20220900
2021-10-27 23:00:00,546.75,507.0,550.5,20221200,20231200,20220900
2021-10-28 23:00:00,548.5,508.75,552.5,20221200,20231200,20220900
2021-10-29 23:00:00,550.0,510.25,554.75,20221200,20231200,20220900
2021-11-01 23:00:00,555.25,513.0,562.25,20221200,20231200,20220900
2021-11-02 23:00:00,551.0,511.25,558.75,20221200,20231200,20220900
2021-11-03 23:00:00,546.25,508.25,553.25,20221200,20231200,20220900
2021-11-04 23:00:00,543.5,507.5,551.25,20221200,20231200,20220900
2021-11-05 23:00:00,540.5,503.5,548.5,20221200,20231200,20220900
2021-11-08 23:00:00,538.5,500.5,546.0,20221200,20231200,20220900
2021-11-09 23:00:00,541.25,504.0,549.5,20221200,20231200,20220900
2021-11-10 23:00:00,549.0,509.75,559.25,20221200,20231200,20220900
2021-11-11 23:00:00,546.25,506.5,558.0,20221200,20231200,20220900
2021-11-12 23:00:00,548.5,508.75,560.5,20221200,20231200,20220900
2021-11-15 23:00:00,551.25,510.75,562.5,20221200,20231200,20220900
2021-11-16 23:00:00,549.75,509.0,559.0,20221200,20231200,20220900
2021-11-17 23:00:00,553.0,511.75,563.0,20221200,20231200,20220900
2021-11-18 23:00:00,553.25,511.25,562.5,20221200,20231200,20220900
2021-11-19 23:00:00,554.25,510.0,562.5,20221200,20231200,20220900
2021-11-22 23:00:00,558.75,510.5,567.25,20221200,20231200,20220900
2021-11-23 23:00:00,559.5,509.75,568.5,20221200,20231200,20220900
2021-11-24 23:00:00,558.25,510.25,566.75,20221200,20231200,20220900
2021-11-26 23:00:00,562.5,512.5,572.25,20221200,20231200,20220900
2021-11-29 23:00:00,556.25,509.75,565.0,20221200,20231200,20220900
2021-11-30 23:00:00,546.5,507.75,552.75,20221200,20231200,20220900
2021-12-01 23:00:00,548.5,507.5,554.75,20221200,20231200,20220900
2021-12-02 23:00:00,549.0,508.5,557.75,20221200,20231200,20220900
2021-12-03 23:00:00,552.25,509.25,562.25,20221200,20231200,20220900
