DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-10-13 23:00:00,72.11,66.09,72.69,20221200,20231200,20221100
2021-10-14 23:00:00,72.61,66.38,73.22,20221200,20231200,20221100
2021-10-15 23:00:00,72.79,66.2,73.44,20221200,20231200,20221100
2021-10-18 23:00:00,72.44,65.96,73.09,20221200,20231200,20221100
2021-10-19 23:00:00,72.74,66.0,73.4,20221200,20231200,20221100
2021-10-20 23:00:00,73.57,66.91,74.22,20221200,20231200,20221100
2021-10-21 23:00:00,72.18,65.97,72.8,20221200,20231200,20221100
2021-10-22 23:00:00,72.06,66.03,72.67,20221200,20231200,20221100
2021-10-25 23:00:00,72.72,66.81,73.33,20221200,20231200,20221100
2021-10-26 23:00:00,73.06,66.91,73.69,20221200,20231200,20221100
2021-10-27 23:00:00,71.86,66.12,72.44,20221200,20231200,20221100
2021-10-28 23:00:00,71.69,65.92,72.26,20221200,20231200,20221100
2021-10-29 23:00:00,71.33,65.33,71.92,20221200,20231200,20221100
2021-11-01 23:00:00,71.84,65.85,72.44,20221200,20231200,20221100
2021-11-02 23:00:00,71.98,66.01,72.57,20221200,20231200,20221100
2021-11-03 23:00:00,70.12,65.12,70.63,20221200,20231200,20221100
2021-11-04 23:00:00,69.91,65.84,70.32,20221200,20231200,20221100
2021-11-05 23:00:00,71.94,67.28,72.38,20221200,20231200,20221100
2021-11-08 23:00:00,72.41,67.81,72.84,20221200,20231200,20221100
2021-11-09 23:00:00,72.94,68.12,73.41,20221200,20231200,20221100
2021-11-10 23:00:00,71.33,66.87,71.75,20221200,20231200,20221100
2021-11-11 23:00:00,71.58,67.2,72.01,20221200,20231200,20221100
2021-11-12 23:00:00,70.96,66.57,71.4,20221200,20231200,20221100
2021-11-15 23:00:00,70.97,66.73,71.41,20221200,20231200,20221100
2021-11-16 23:00:00,71.11,66.87,71.56,20221200,20231200,20221100
2021-11-17 23:00:00,69.83,66.08,70.24,20221200,20231200,20221100
2021-11-18 23:00:00,70.82,66.54,71.3,20221200,20231200,20221100
2021-11-19 23:00:00,69.09,65.0,69.54,20221200,20231200,20221100
2021-11-22 23:00:00,70.22,65.79,70.7,20221200,20231200,20221100
2021-11-23 23:00:00,72.03,67.18,72.54,20221200,20231200,20221100
2021-11-24 23:00:00,71.86,67.1,72.37,20221200,20231200,20221100
2021-11-26 23:00:00,63.98,60.94,64.36,20221200,20231200,20221100
2021-11-29 23:00:00,65.88,62.62,66.26,20221200,20231200,20221100
2021-11-30 23:00:00,62.5,59.58,62.82,20221200,20231200,20221100
2021-12-01 23:00:00,62.43,59.67,62.74,20221200,20231200,20221100
2021-12-02 23:00:00,63.43,60.5,63.72,20221200,20231200,20221100
2021-12-03 23:00:00,63.69,61.16,63.96,20221200,20231200,20221100
2021-12-06 23:00:00,66.19,63.1,66.53,20221200,20231200,20221100
2021-12-07 23:00:00,68.34,64.97,68.74,20221200,20231200,20221100
2021-12-08 23:00:00,68.99,65.63,69.36,20221200,20231200,20221100
2021-12-09 23:00:00,67.84,64.66,68.19,20221200,20231200,20221100
2021-12-10 23:00:00,68.26,64.87,68.62,20221200,20231200,20221100
2021-12-13 23:00:00,67.96,64.68,68.3,20221200,20231200,20221100
2021-12-14 23:00:00,67.51,64.46,67.83,20221200,20231200,20221100
2021-12-15 23:00:00,67.28,64.06,67.62,20221200,20231200,20221100
2021-12-16 23:00:00,68.0,64.2,68.4,20221200,20231200,20221100
2021-12-17 23:00:00,66.44,62.81,66.86,20221200,20231200,20221100
2021-12-20 23:00:00,64.97,61.68,65.36,20221200,20231200,20221100
2021-12-21 23:00:00,67.0,63.31,67.43,20221200,20231200,20221100
2021-12-22 23:00:00,67.67,63.31,68.16,20221200,20231200,20221100
2021-12-23 23:00:00,68.54,64.06,69.03,20221200,20231200,20221100
2021-12-27 23:00:00,70.1,65.43,70.63,20221200,20231200,20221100
2021-12-28 23:00:00,70.45,65.49,71.0,20221200,20231200,20221100
2021-12-29 23:00:00,71.09,66.09,71.64,20221200,20231200,20221100
2021-12-30 23:00:00,71.44,66.32,71.99,20221200,20231200,20221100
2021-12-31 23:00:00,69.83,64.89,70.38,20221200,20231200,20221100
2022-01-03 23:00:00,71.11,66.11,71.66,20221200,20231200,20221100
2022-01-04 23:00:00,72.11,66.97,72.67,20221200,20231200,20221100
2022-01-05 23:00:00,72.23,66.85,72.83,20221200,20231200,20221100
2022-01-06 23:00:00,72.97,67.27,73.6,20221200,20231200,20221100
2022-01-07 23:00:00,72.66,67.07,73.26,20221200,20231200,20221100
2022-01-10 23:00:00,72.01,66.56,72.61,20221200,20231200,20221100
2022-01-11 23:00:00,74.25,68.14,74.92,20221200,20231200,20221100
2022-01-12 23:00:00,74.91,68.46,75.61,20221200,20231200,20221100
2022-01-13 23:00:00,74.79,68.49,75.47,20221200,20231200,20221100
2022-01-14 23:00:00,75.84,69.26,76.58,20221200,20231200,20221100
2022-01-18 23:00:00,77.03,70.17,77.77,20221200,20231200,20221100
2022-01-19 23:00:00,77.57,70.48,78.36,20221200,20231200,20221100
2022-01-20 23:00:00,78.03,71.27,78.77,20221200,20231200,20221100
2022-01-21 23:00:00,77.47,71.16,78.18,20221200,20231200,20221100
2022-01-24 23:00:00,76.08,70.31,76.76,20221200,20231200,20221100
2022-01-25 23:00:00,77.32,71.29,78.01,20221200,20231200,20221100
2022-01-26 23:00:00,78.42,71.96,79.16,20221200,20231200,20221100
2022-01-27 23:00:00,77.79,71.54,78.51,20221200,20231200,20221100
2022-01-28 23:00:00,77.74,71.35,78.46,20221200,20231200,20221100
2022-01-31 23:00:00,78.3,71.73,79.05,20221200,20231200,20221100
