DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-12 23:00:00,98.845,98.685,99.01,20231200,20240300,20230900
2021-04-13 23:00:00,98.93,98.77,99.085,20231200,20240300,20230900
2021-04-14 23:00:00,98.91,98.755,99.065,20231200,20240300,20230900
2021-04-15 23:00:00,99.005,98.86,99.145,20231200,20240300,20230900
2021-04-16 23:00:00,98.97,98.82,99.12,20231200,20240300,20230900
2021-04-19 23:00:00,98.975,98.82,99.135,20231200,20240300,20230900
2021-04-20 23:00:00,99.005,98.85,99.16,20231200,20240300,20230900
2021-04-21 23:00:00,98.99,98.84,99.14,20231200,20240300,20230900
2021-04-22 23:00:00,98.99,98.84,99.14,20231200,20240300,20230900
2021-04-23 23:00:00,98.96,98.81,99.11,20231200,20240300,20230900
2021-04-26 23:00:00,98.95,98.8,99.1,20231200,20240300,20230900
2021-04-27 23:00:00,98.915,98.755,99.075,20231200,20240300,20230900
2021-04-28 23:00:00,98.935,98.77,99.095,20231200,20240300,20230900
2021-04-29 23:00:00,98.935,98.77,99.1,20231200,20240300,20230900
2021-04-30 23:00:00,98.94,98.78,99.105,20231200,20240300,20230900
2021-05-03 23:00:00,98.975,98.815,99.135,20231200,20240300,20230900
2021-05-04 23:00:00,98.995,98.835,99.15,20231200,20240300,20230900
2021-05-05 23:00:00,99.01,98.855,99.165,20231200,20240300,20230900
2021-05-06 23:00:00,99.01,98.855,99.165,20231200,20240300,20230900
2021-05-07 23:00:00,99.08,98.925,99.23,20231200,20240300,20230900
2021-05-10 23:00:00,99.08,98.925,99.23,20231200,20240300,20230900
2021-05-11 23:00:00,99.055,98.9,99.205,20231200,20240300,20230900
2021-05-12 23:00:00,98.965,98.805,99.12,20231200,20240300,20230900
2021-05-13 23:00:00,99.005,98.85,99.16,20231200,20240300,20230900
2021-05-14 23:00:00,99.005,98.855,99.16,20231200,20240300,20230900
2021-05-17 23:00:00,99.005,98.85,99.16,20231200,20240300,20230900
2021-05-18 23:00:00,99.01,98.855,99.165,20231200,20240300,20230900
2021-05-19 23:00:00,98.965,98.8,99.125,20231200,20240300,20230900
2021-05-20 23:00:00,99.015,98.855,99.17,20231200,20240300,20230900
2021-05-21 23:00:00,99.0,98.84,99.16,20231200,20240300,20230900
2021-05-24 23:00:00,99.025,98.87,99.18,20231200,20240300,20230900
2021-05-25 23:00:00,99.07,98.92,99.22,20231200,20240300,20230900
2021-05-26 23:00:00,99.07,98.915,99.22,20231200,20240300,20230900
2021-05-27 23:00:00,99.04,98.885,99.195,20231200,20240300,20230900
2021-05-28 23:00:00,99.04,98.885,99.195,20231200,20240300,20230900
2021-06-01 23:00:00,99.025,98.87,99.18,20231200,20240300,20230900
2021-06-02 23:00:00,99.055,98.9,99.205,20231200,20240300,20230900
2021-06-03 23:00:00,99.005,98.85,99.16,20231200,20240300,20230900
2021-06-04 23:00:00,99.065,98.92,99.21,20231200,20240300,20230900
2021-06-07 23:00:00,99.055,98.915,99.2,20231200,20240300,20230900
2021-06-08 23:00:00,99.09,98.95,99.23,20231200,20240300,20230900
2021-06-09 23:00:00,99.125,98.99,99.26,20231200,20240300,20230900
2021-06-10 23:00:00,99.14,99.01,99.27,20231200,20240300,20230900
2021-06-11 23:00:00,99.105,98.98,99.24,20231200,20240300,20230900
2021-06-14 23:00:00,99.075,98.945,99.21,20231200,20240300,20230900
2021-06-15 23:00:00,99.065,98.935,99.2,20231200,20240300,20230900
2021-06-16 23:00:00,98.94,98.8,99.09,20231200,20240300,20230900
2021-06-17 23:00:00,98.9,98.775,99.035,20231200,20240300,20230900
2021-06-18 23:00:00,98.88,98.77,99.0,20231200,20240300,20230900
2021-06-21 23:00:00,98.9,98.785,99.025,20231200,20240300,20230900
2021-06-22 23:00:00,98.92,98.81,99.05,20231200,20240300,20230900
2021-06-23 23:00:00,98.875,98.765,99.005,20231200,20240300,20230900
2021-06-24 23:00:00,98.86,98.75,98.995,20231200,20240300,20230900
2021-06-25 23:00:00,98.72,98.605,98.835,20240300,20240600,20231200
2021-06-28 23:00:00,98.745,98.63,98.865,20240300,20240600,20231200
2021-06-29 23:00:00,98.74,98.625,98.86,20240300,20240600,20231200
2021-06-30 23:00:00,98.76,98.645,98.875,20240300,20240600,20231200
2021-07-01 23:00:00,98.71,98.595,98.83,20240300,20240600,20231200
2021-07-02 23:00:00,98.775,98.66,98.89,20240300,20240600,20231200
2021-07-06 23:00:00,98.845,98.74,98.955,20240300,20240600,20231200
2021-07-07 23:00:00,98.875,98.775,98.98,20240300,20240600,20231200
2021-07-08 23:00:00,98.955,98.855,99.06,20240300,20240600,20231200
