DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-19 23:00:00,2.14,2.14,2.14,20210600,20210700,20210700
2021-04-20 23:00:00,2.16,2.16,2.16,20210600,20210700,20210700
2021-04-21 23:00:00,2.199,2.199,2.199,20210600,20210700,20210700
2021-04-22 23:00:00,2.199,2.199,2.199,20210600,20210700,20210700
2021-04-23 23:00:00,2.199,2.199,2.199,20210600,20210700,20210700
2021-04-26 23:00:00,2.199,2.199,2.199,20210600,20210700,20210700
2021-04-27 23:00:00,2.23,2.23,2.23,20210600,20210700,20210700
2021-04-28 23:00:00,2.23,2.23,2.23,20210600,20210700,20210700
2021-04-29 23:00:00,2.23,2.23,2.23,20210600,20210700,20210700
2021-04-30 23:00:00,2.23,2.23,2.23,20210600,20210700,20210700
2021-05-03 23:00:00,2.34,2.34,2.34,20210600,20210700,20210700
2021-05-04 23:00:00,2.34,2.34,2.34,20210600,20210700,20210700
2021-05-05 23:00:00,2.34,2.34,2.34,20210600,20210700,20210700
2021-05-06 23:00:00,2.34,2.34,2.34,20210600,20210700,20210700
2021-05-07 23:00:00,2.34,2.34,2.34,20210600,20210700,20210700
2021-05-10 23:00:00,2.34,2.34,2.34,20210600,20210700,20210700
2021-05-11 23:00:00,2.34,2.34,2.34,20210600,20210700,20210700
2021-05-12 23:00:00,2.34,2.34,2.34,20210600,20210700,20210700
2021-05-13 23:00:00,2.34,2.34,2.34,20210600,20210700,20210700
2021-05-14 23:00:00,2.34,2.34,2.34,20210600,20210700,20210700
2021-05-17 23:00:00,2.34,2.34,2.34,20210600,20210700,20210700
2021-05-18 23:00:00,2.34,2.34,2.34,20210600,20210700,20210700
2021-05-19 23:00:00,2.35,2.27,2.27,20210700,20210800,20210800
2021-05-20 23:00:00,2.35,2.27,2.27,20210700,20210800,20210800
2021-05-21 23:00:00,2.35,2.27,2.27,20210700,20210800,20210800
2021-05-24 23:00:00,2.35,2.27,2.27,20210700,20210800,20210800
2021-05-25 23:00:00,2.35,2.27,2.27,20210700,20210800,20210800
2021-05-26 23:00:00,2.35,2.27,2.27,20210700,20210800,20210800
2021-05-27 23:00:00,2.35,2.27,2.27,20210700,20210800,20210800
2021-05-28 23:00:00,2.35,2.27,2.27,20210700,20210800,20210800
2021-06-01 23:00:00,2.46,2.38,2.38,20210700,20210800,20210800
2021-06-02 23:00:00,2.46,2.38,2.38,20210700,20210800,20210800
2021-06-03 23:00:00,2.46,2.38,2.38,20210700,20210800,20210800
2021-06-04 23:00:00,2.46,2.38,2.38,20210700,20210800,20210800
2021-06-07 23:00:00,2.46,2.38,2.38,20210700,20210800,20210800
2021-06-08 23:00:00,2.46,2.38,2.38,20210700,20210800,20210800
2021-06-09 23:00:00,2.46,2.38,2.38,20210700,20210800,20210800
2021-06-10 23:00:00,2.46,2.38,2.38,20210700,20210800,20210800
2021-06-11 23:00:00,2.46,2.38,2.38,20210700,20210800,20210800
2021-06-14 23:00:00,2.46,2.38,2.38,20210700,20210800,20210800
2021-06-15 23:00:00,2.46,2.38,2.38,20210700,20210800,20210800
2021-06-16 23:00:00,2.46,2.38,2.38,20210700,20210800,20210800
2021-06-17 23:00:00,2.38,2.38,2.38,20210800,20210900,20210900
2021-06-18 23:00:00,2.38,2.38,2.38,20210800,20210900,20210900
2021-06-21 23:00:00,2.38,2.38,2.38,20210800,20210900,20210900
2021-06-22 23:00:00,2.4,2.4,2.4,20210800,20210900,20210900
2021-06-23 23:00:00,2.4,2.4,2.4,20210800,20210900,20210900
2021-06-24 23:00:00,2.4,2.4,2.4,20210800,20210900,20210900
2021-06-25 23:00:00,2.4,2.4,2.4,20210800,20210900,20210900
2021-06-28 23:00:00,2.4,2.4,2.4,20210800,20210900,20210900
2021-06-29 23:00:00,2.4,2.4,2.4,20210800,20210900,20210900
2021-06-30 23:00:00,2.38,2.38,2.38,20210800,20210900,20210900
2021-07-01 23:00:00,2.38,2.38,2.38,20210800,20210900,20210900
2021-07-02 23:00:00,2.38,2.38,2.38,20210800,20210900,20210900
2021-07-06 23:00:00,2.38,2.38,2.38,20210800,20210900,20210900
2021-07-07 23:00:00,2.35,2.35,2.35,20210800,20210900,20210900
2021-07-08 23:00:00,2.32,2.32,2.32,20210800,20210900,20210900
2021-07-09 23:00:00,2.32,2.32,2.32,20210800,20210900,20210900
2021-07-12 23:00:00,2.32,2.32,2.32,20210800,20210900,20210900
2021-07-13 23:00:00,2.32,2.32,2.32,20210800,20210900,20210900
2021-07-14 23:00:00,2.32,2.32,2.32,20210800,20210900,20210900
2021-07-15 23:00:00,2.32,2.32,2.32,20210800,20210900,20210900
2021-07-16 23:00:00,2.32,2.32,2.32,20210800,20210900,20210900
2021-07-19 23:00:00,2.32,2.32,2.32,20210800,20210900,20210900
2021-07-20 23:00:00,2.32,2.307,2.307,20210900,20211000,20211000
2021-07-21 23:00:00,2.32,2.307,2.307,20210900,20211000,20211000
2021-07-22 23:00:00,2.32,2.307,2.307,20210900,20211000,20211000
2021-07-23 23:00:00,2.32,2.307,2.307,20210900,20211000,20211000
2021-07-26 23:00:00,2.32,2.307,2.307,20210900,20211000,20211000
2021-07-27 23:00:00,2.32,2.307,2.307,20210900,20211000,20211000
2021-07-28 23:00:00,2.32,2.307,2.307,20210900,20211000,20211000
2021-07-29 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-07-30 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-08-02 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-08-03 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-08-04 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-08-05 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-08-06 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-08-09 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-08-10 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-08-11 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-08-12 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-08-13 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-08-16 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-08-17 23:00:00,2.22,2.207,2.207,20210900,20211000,20211000
2021-08-18 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-08-19 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-08-20 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-08-23 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-08-24 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-08-25 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-08-26 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-08-27 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-08-30 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-08-31 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-09-01 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-09-02 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-09-03 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-09-07 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-09-08 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-09-09 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-09-10 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-09-13 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-09-14 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-09-15 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-09-16 23:00:00,2.207,2.207,2.207,20211000,20211100,20211100
2021-09-17 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-09-20 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-09-21 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-09-22 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-09-23 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-09-24 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-09-27 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-09-28 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-09-29 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-09-30 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-10-01 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-10-04 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-10-05 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-10-06 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-10-07 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-10-08 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-10-11 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-10-12 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-10-13 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-10-14 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-10-15 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-10-18 23:00:00,2.207,2.207,2.207,20211100,20211200,20211200
2021-10-19 23:00:00,2.207,2.137,2.137,20211200,20220100,20220100
2021-10-20 23:00:00,2.207,2.137,2.137,20211200,20220100,20220100
2021-10-21 23:00:00,2.207,2.137,2.137,20211200,20220100,20220100
2021-10-22 23:00:00,2.207,2.137,2.137,20211200,20220100,20220100
2021-10-25 23:00:00,2.207,2.137,2.137,20211200,20220100,20220100
2021-10-26 23:00:00,2.207,2.137,2.137,20211200,20220100,20220100
2021-10-27 23:00:00,2.207,2.137,2.137,20211200,20220100,20220100
2021-10-28 23:00:00,2.207,2.137,2.137,20211200,20220100,20220100
