DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-13 23:00:00,2349.5,2361.0,2361.0,20210500,20210600,20210600
2021-04-14 23:00:00,2362.25,2376.5,2376.5,20210500,20210600,20210600
2021-04-15 23:00:00,2522.75,2543.0,2543.0,20210500,20210600,20210600
2021-04-16 23:00:00,2467.75,2492.5,2492.5,20210500,20210600,20210600
2021-04-19 23:00:00,2219.0,2233.0,2233.0,20210500,20210600,20210600
2021-04-20 23:00:00,2350.5,2372.25,2372.25,20210500,20210600,20210600
2021-04-21 23:00:00,2464.5,2490.5,2490.5,20210500,20210600,20210600
2021-04-22 23:00:00,2566.75,2590.0,2590.0,20210500,20210600,20210600
2021-04-23 23:00:00,2401.75,2414.75,2414.75,20210500,20210600,20210600
2021-04-26 23:00:00,2530.0,2552.0,2552.0,20210500,20210600,20210600
2021-04-27 23:00:00,2666.5,2686.25,2686.25,20210500,20210600,20210600
2021-04-28 23:00:00,2781.75,2799.25,2799.25,20210500,20210600,20210600
2021-04-29 23:00:00,2772.5,2796.5,2796.5,20210500,20210600,20210600
2021-04-30 23:00:00,2821.25,2846.75,2846.75,20210500,20210600,20210600
2021-05-03 23:00:00,3326.0,3351.25,3351.25,20210500,20210600,20210600
2021-05-04 23:00:00,3438.25,3465.0,3465.0,20210500,20210600,20210600
2021-05-05 23:00:00,3507.25,3536.25,3536.25,20210500,20210600,20210600
2021-05-06 23:00:00,3508.25,3537.5,3537.5,20210500,20210600,20210600
2021-05-07 23:00:00,3543.5,3572.0,3572.0,20210500,20210600,20210600
2021-05-10 23:00:00,4009.0,4050.75,4050.75,20210500,20210600,20210600
2021-05-11 23:00:00,4091.25,4128.5,4128.5,20210500,20210600,20210600
2021-05-12 23:00:00,4124.0,4157.0,4157.0,20210600,20210700,20210700
2021-05-13 23:00:00,3689.25,3704.5,3704.5,20210600,20210700,20210700
2021-05-14 23:00:00,4094.25,4119.5,4119.5,20210600,20210700,20210700
2021-05-17 23:00:00,3417.5,3442.25,3442.25,20210600,20210700,20210700
2021-05-18 23:00:00,3438.75,3458.25,3458.25,20210600,20210700,20210700
2021-05-19 23:00:00,2620.25,2656.25,2656.25,20210600,20210700,20210700
2021-05-20 23:00:00,2829.25,2856.25,2856.25,20210600,20210700,20210700
