DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-10 23:00:00,98.3,96.6,96.6,20210900,20211200,20211200
2021-06-11 23:00:00,98.1,96.4,96.4,20210900,20211200,20211200
2021-06-14 23:00:00,98.6,96.9,96.9,20210900,20211200,20211200
2021-06-15 23:00:00,98.4,96.7,96.7,20210900,20211200,20211200
2021-06-16 23:00:00,97.0,95.3,95.3,20210900,20211200,20211200
2021-06-17 23:00:00,97.3,95.7,95.7,20210900,20211200,20211200
2021-06-18 23:00:00,93.9,92.3,92.3,20210900,20211200,20211200
2021-06-21 23:00:00,94.5,90.5,90.5,20210900,20211200,20211200
2021-06-22 23:00:00,94.7,90.7,90.7,20210900,20211200,20211200
2021-06-23 23:00:00,94.2,90.2,90.2,20210900,20211200,20211200
2021-06-24 23:00:00,95.3,93.0,93.0,20210900,20211200,20211200
2021-06-25 23:00:00,96.2,93.9,93.9,20210900,20211200,20211200
2021-06-28 23:00:00,93.9,91.6,91.6,20210900,20211200,20211200
2021-06-29 23:00:00,94.6,92.3,92.3,20210900,20211200,20211200
2021-06-30 23:00:00,93.5,91.3,91.3,20210900,20211200,20211200
2021-07-01 23:00:00,95.3,93.1,93.1,20210900,20211200,20211200
2021-07-02 23:00:00,93.7,91.5,91.5,20210900,20211200,20211200
2021-07-05 23:00:00,95.4,93.2,93.2,20210900,20211200,20211200
2021-07-06 23:00:00,92.5,90.3,90.3,20210900,20211200,20211200
2021-07-07 23:00:00,91.7,89.5,89.5,20210900,20211200,20211200
2021-07-08 23:00:00,89.2,87.0,87.0,20210900,20211200,20211200
2021-07-09 23:00:00,91.9,89.7,89.7,20210900,20211200,20211200
2021-07-12 23:00:00,92.1,89.9,89.9,20210900,20211200,20211200
2021-07-13 23:00:00,90.5,88.3,88.3,20210900,20211200,20211200
2021-07-14 23:00:00,91.2,89.0,89.0,20210900,20211200,20211200
2021-07-15 23:00:00,90.8,89.1,89.1,20210900,20211200,20211200
2021-07-16 23:00:00,89.1,87.4,87.4,20210900,20211200,20211200
2021-07-19 23:00:00,85.8,84.1,84.1,20210900,20211200,20211200
2021-07-20 23:00:00,87.4,85.7,85.7,20210900,20211200,20211200
2021-07-21 23:00:00,90.3,88.6,88.6,20210900,20211200,20211200
2021-07-22 23:00:00,90.0,88.3,88.3,20210900,20211200,20211200
2021-07-23 23:00:00,91.5,89.8,89.8,20210900,20211200,20211200
2021-07-26 23:00:00,93.3,91.3,91.3,20210900,20211200,20211200
2021-07-27 23:00:00,92.5,90.5,90.5,20210900,20211200,20211200
2021-07-28 23:00:00,92.0,90.0,90.0,20210900,20211200,20211200
2021-07-29 23:00:00,93.7,91.7,91.7,20210900,20211200,20211200
2021-07-30 23:00:00,92.9,90.5,90.5,20210900,20211200,20211200
2021-08-02 23:00:00,92.4,90.0,90.0,20210900,20211200,20211200
2021-08-03 23:00:00,93.4,91.0,91.0,20210900,20211200,20211200
2021-08-04 23:00:00,94.4,92.0,92.0,20210900,20211200,20211200
2021-08-05 23:00:00,95.2,92.8,92.8,20210900,20211200,20211200
2021-08-06 23:00:00,97.5,95.1,95.1,20210900,20211200,20211200
2021-08-09 23:00:00,97.9,95.5,95.5,20210900,20211200,20211200
2021-08-10 23:00:00,98.0,95.6,95.6,20210900,20211200,20211200
2021-08-11 23:00:00,99.4,97.0,97.0,20210900,20211200,20211200
2021-08-12 23:00:00,98.7,96.3,96.3,20210900,20211200,20211200
2021-08-13 23:00:00,98.8,96.4,96.4,20210900,20211200,20211200
2021-08-16 23:00:00,97.7,95.7,95.7,20210900,20211200,20211200
2021-08-17 23:00:00,96.1,94.1,94.1,20210900,20211200,20211200
2021-08-18 23:00:00,97.0,95.0,95.0,20210900,20211200,20211200
2021-08-19 23:00:00,94.6,92.6,92.6,20210900,20211200,20211200
2021-08-20 23:00:00,94.5,92.5,92.5,20210900,20211200,20211200
2021-08-23 23:00:00,95.8,93.8,93.8,20210900,20211200,20211200
2021-08-24 23:00:00,95.8,93.8,93.8,20210900,20211200,20211200
2021-08-25 23:00:00,97.8,95.4,95.4,20210900,20211200,20211200
2021-08-26 23:00:00,96.9,94.5,94.5,20210900,20211200,20211200
2021-08-27 23:00:00,96.8,94.4,94.4,20210900,20211200,20211200
2021-08-30 23:00:00,96.2,93.8,93.8,20210900,20211200,20211200
2021-08-31 23:00:00,96.5,94.1,94.1,20210900,20211200,20211200
2021-09-01 23:00:00,98.1,95.7,95.7,20210900,20211200,20211200
2021-09-02 23:00:00,97.8,95.1,95.1,20210900,20211200,20211200
2021-09-03 23:00:00,96.9,94.2,94.2,20210900,20211200,20211200
2021-09-06 23:00:00,97.4,94.7,94.7,20210900,20211200,20211200
2021-09-07 23:00:00,97.7,95.0,95.0,20210900,20211200,20211200
2021-09-08 23:00:00,96.5,93.8,93.8,20210900,20211200,20211200
2021-09-09 23:00:00,96.5,93.8,93.8,20210900,20211200,20211200
2021-09-10 23:00:00,93.1,92.9,92.9,20211200,20220300,20220300
2021-09-13 23:00:00,94.6,94.4,94.4,20211200,20220300,20220300
2021-09-14 23:00:00,94.1,93.8,93.8,20211200,20220300,20220300
2021-09-15 23:00:00,94.0,93.7,93.7,20211200,20220300,20220300
2021-09-16 23:00:00,94.9,94.8,94.8,20211200,20220300,20220300
2021-09-17 23:00:00,94.5,94.4,94.4,20211200,20220300,20220300
2021-09-20 23:00:00,89.7,85.7,85.7,20211200,20220300,20220300
2021-09-21 23:00:00,89.7,85.7,85.7,20211200,20220300,20220300
2021-09-22 23:00:00,92.4,88.4,88.4,20211200,20220300,20220300
2021-09-23 23:00:00,94.9,90.9,90.9,20211200,20220300,20220300
2021-09-24 23:00:00,95.2,91.2,91.2,20211200,20220300,20220300
2021-09-27 23:00:00,98.3,94.3,94.3,20211200,20220300,20220300
2021-09-28 23:00:00,96.4,92.4,92.4,20211200,20220300,20220300
2021-09-29 23:00:00,98.0,94.0,94.0,20211200,20220300,20220300
2021-09-30 23:00:00,98.3,94.3,94.3,20211200,20220300,20220300
2021-10-01 23:00:00,96.9,93.4,93.4,20211200,20220300,20220300
2021-10-04 23:00:00,96.6,94.1,94.1,20211200,20220300,20220300
2021-10-05 23:00:00,100.5,98.0,98.0,20211200,20220300,20220300
2021-10-06 23:00:00,99.7,97.2,97.2,20211200,20220300,20220300
2021-10-07 23:00:00,101.4,98.9,98.9,20211200,20220300,20220300
2021-10-08 23:00:00,101.8,99.3,99.3,20211200,20220300,20220300
2021-10-11 23:00:00,101.6,99.1,99.1,20211200,20220300,20220300
2021-10-12 23:00:00,101.8,99.3,99.3,20211200,20220300,20220300
2021-10-13 23:00:00,99.7,97.2,97.2,20211200,20220300,20220300
2021-10-14 23:00:00,100.7,98.2,98.2,20211200,20220300,20220300
2021-10-15 23:00:00,102.2,99.7,99.7,20211200,20220300,20220300
2021-10-18 23:00:00,102.3,99.8,99.8,20211200,20220300,20220300
2021-10-19 23:00:00,102.4,99.9,99.9,20211200,20220300,20220300
2021-10-20 23:00:00,102.8,100.3,100.3,20211200,20220300,20220300
2021-10-21 23:00:00,101.8,99.3,99.3,20211200,20220300,20220300
2021-10-22 23:00:00,102.0,99.5,99.5,20211200,20220300,20220300
2021-10-25 23:00:00,103.0,100.5,100.5,20211200,20220300,20220300
2021-10-26 23:00:00,102.9,100.4,100.4,20211200,20220300,20220300
2021-10-27 23:00:00,101.2,98.7,98.7,20211200,20220300,20220300
2021-10-28 23:00:00,100.9,98.4,98.4,20211200,20220300,20220300
2021-10-29 23:00:00,102.0,99.5,99.5,20211200,20220300,20220300
2021-11-01 23:00:00,104.1,101.6,101.6,20211200,20220300,20220300
2021-11-02 23:00:00,103.6,101.1,101.1,20211200,20220300,20220300
2021-11-03 23:00:00,104.4,101.9,101.9,20211200,20220300,20220300
2021-11-04 23:00:00,103.1,100.6,100.6,20211200,20220300,20220300
2021-11-05 23:00:00,104.0,101.5,101.5,20211200,20220300,20220300
2021-11-08 23:00:00,104.0,103.8,103.8,20211200,20220300,20220300
2021-11-09 23:00:00,103.0,102.8,102.8,20211200,20220300,20220300
2021-11-10 23:00:00,103.7,103.5,103.5,20211200,20220300,20220300
2021-11-11 23:00:00,104.2,104.0,104.0,20211200,20220300,20220300
2021-11-12 23:00:00,103.5,103.3,103.3,20211200,20220300,20220300
2021-11-15 23:00:00,104.2,104.0,104.0,20211200,20220300,20220300
2021-11-16 23:00:00,103.5,103.3,103.3,20211200,20220300,20220300
2021-11-17 23:00:00,103.3,103.1,103.1,20211200,20220300,20220300
2021-11-18 23:00:00,102.2,102.0,102.0,20211200,20220300,20220300
2021-11-19 23:00:00,99.2,99.0,99.0,20211200,20220300,20220300
2021-11-22 23:00:00,100.4,100.2,100.2,20211200,20220300,20220300
2021-11-23 23:00:00,100.1,99.9,99.9,20211200,20220300,20220300
2021-11-24 23:00:00,100.1,99.9,99.9,20211200,20220300,20220300
2021-11-25 23:00:00,100.0,99.8,99.8,20211200,20220300,20220300
2021-11-26 23:00:00,93.8,93.6,93.6,20211200,20220300,20220300
2021-11-29 23:00:00,94.2,94.0,94.0,20211200,20220300,20220300
2021-11-30 23:00:00,94.3,94.1,94.1,20211200,20220300,20220300
2021-12-01 23:00:00,95.9,95.7,95.7,20211200,20220300,20220300
2021-12-02 23:00:00,95.5,95.3,95.3,20211200,20220300,20220300
2021-12-03 23:00:00,94.6,94.4,94.4,20211200,20220300,20220300
2021-12-06 23:00:00,97.1,96.9,96.9,20211200,20220300,20220300
2021-12-07 23:00:00,98.4,98.3,98.3,20211200,20220300,20220300
2021-12-08 23:00:00,97.7,97.7,97.7,20211200,20220300,20220300
2021-12-09 23:00:00,97.4,97.2,97.2,20211200,20220300,20220300
