DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-10 23:00:00,595.0,593.5,593.5,20210900,20211200,20211200
2021-06-11 23:00:00,598.5,597.0,597.0,20210900,20211200,20211200
2021-06-14 23:00:00,600.0,598.5,598.5,20210900,20211200,20211200
2021-06-15 23:00:00,600.4,598.9,598.9,20210900,20211200,20211200
2021-06-16 23:00:00,600.3,598.8,598.8,20210900,20211200,20211200
2021-06-17 23:00:00,597.4,596.1,596.1,20210900,20211200,20211200
2021-06-18 23:00:00,586.6,585.3,585.3,20210900,20211200,20211200
2021-06-21 23:00:00,592.9,591.1,591.1,20210900,20211200,20211200
2021-06-22 23:00:00,597.5,595.7,595.7,20210900,20211200,20211200
2021-06-23 23:00:00,592.5,590.7,590.7,20210900,20211200,20211200
2021-06-24 23:00:00,598.8,597.0,597.0,20210900,20211200,20211200
2021-06-25 23:00:00,600.0,598.2,598.2,20210900,20211200,20211200
2021-06-28 23:00:00,590.3,588.5,588.5,20210900,20211200,20211200
2021-06-29 23:00:00,594.4,592.6,592.6,20210900,20211200,20211200
2021-06-30 23:00:00,587.8,586.0,586.0,20210900,20211200,20211200
2021-07-01 23:00:00,592.4,590.6,590.6,20210900,20211200,20211200
2021-07-02 23:00:00,593.6,591.8,591.8,20210900,20211200,20211200
2021-07-05 23:00:00,594.9,593.1,593.1,20210900,20211200,20211200
2021-07-06 23:00:00,592.1,590.3,590.3,20210900,20211200,20211200
2021-07-07 23:00:00,599.7,597.9,597.9,20210900,20211200,20211200
2021-07-08 23:00:00,591.1,589.3,589.3,20210900,20211200,20211200
2021-07-09 23:00:00,598.9,597.1,597.1,20210900,20211200,20211200
2021-07-12 23:00:00,603.2,601.3,601.3,20210900,20211200,20211200
2021-07-13 23:00:00,603.9,602.0,602.0,20210900,20211200,20211200
2021-07-14 23:00:00,601.1,599.2,599.2,20210900,20211200,20211200
2021-07-15 23:00:00,596.5,594.6,594.6,20210900,20211200,20211200
2021-07-16 23:00:00,593.5,591.6,591.6,20210900,20211200,20211200
2021-07-19 23:00:00,577.5,575.7,575.7,20210900,20211200,20211200
2021-07-20 23:00:00,585.4,583.6,583.6,20210900,20211200,20211200
2021-07-21 23:00:00,595.3,593.5,593.5,20210900,20211200,20211200
2021-07-22 23:00:00,599.4,597.6,597.6,20210900,20211200,20211200
2021-07-23 23:00:00,607.2,605.4,605.4,20210900,20211200,20211200
2021-07-26 23:00:00,606.0,604.1,604.1,20210900,20211200,20211200
2021-07-27 23:00:00,601.9,600.0,600.0,20210900,20211200,20211200
2021-07-28 23:00:00,607.4,605.5,605.5,20210900,20211200,20211200
2021-07-29 23:00:00,611.5,609.6,609.6,20210900,20211200,20211200
2021-07-30 23:00:00,610.6,608.7,608.7,20210900,20211200,20211200
2021-08-02 23:00:00,611.7,609.8,609.8,20210900,20211200,20211200
2021-08-03 23:00:00,612.8,610.9,610.9,20210900,20211200,20211200
2021-08-04 23:00:00,618.7,616.8,616.8,20210900,20211200,20211200
2021-08-05 23:00:00,620.4,618.5,618.5,20210900,20211200,20211200
2021-08-06 23:00:00,619.1,617.2,617.2,20210900,20211200,20211200
2021-08-09 23:00:00,617.1,615.2,615.2,20210900,20211200,20211200
2021-08-10 23:00:00,621.1,619.2,619.2,20210900,20211200,20211200
2021-08-11 23:00:00,627.1,625.2,625.2,20210900,20211200,20211200
2021-08-12 23:00:00,630.5,628.6,628.6,20210900,20211200,20211200
2021-08-13 23:00:00,632.2,630.3,630.3,20210900,20211200,20211200
2021-08-16 23:00:00,627.8,625.9,625.9,20210900,20211200,20211200
2021-08-17 23:00:00,626.8,624.9,624.9,20210900,20211200,20211200
2021-08-18 23:00:00,626.9,625.0,625.0,20210900,20211200,20211200
2021-08-19 23:00:00,618.9,617.0,617.0,20210900,20211200,20211200
2021-08-20 23:00:00,621.3,619.4,619.4,20210900,20211200,20211200
2021-08-23 23:00:00,627.3,625.4,625.4,20210900,20211200,20211200
2021-08-24 23:00:00,625.9,624.0,624.0,20210900,20211200,20211200
2021-08-25 23:00:00,625.3,623.4,623.4,20210900,20211200,20211200
2021-08-26 23:00:00,629.0,627.1,627.1,20210900,20211200,20211200
2021-08-27 23:00:00,630.9,629.0,629.0,20210900,20211200,20211200
2021-08-30 23:00:00,629.9,628.0,628.0,20210900,20211200,20211200
2021-08-31 23:00:00,625.3,623.4,623.4,20210900,20211200,20211200
2021-09-01 23:00:00,631.0,629.1,629.1,20210900,20211200,20211200
2021-09-02 23:00:00,633.3,631.4,631.4,20210900,20211200,20211200
2021-09-03 23:00:00,627.3,625.4,625.4,20210900,20211200,20211200
2021-09-06 23:00:00,626.1,624.2,624.2,20210900,20211200,20211200
2021-09-07 23:00:00,623.0,621.1,621.1,20210900,20211200,20211200
2021-09-08 23:00:00,616.7,614.8,614.8,20210900,20211200,20211200
2021-09-09 23:00:00,620.0,618.1,618.1,20210900,20211200,20211200
2021-09-10 23:00:00,611.7,610.8,610.8,20211200,20220300,20220300
2021-09-13 23:00:00,617.9,617.1,617.1,20211200,20220300,20220300
2021-09-14 23:00:00,619.0,618.2,618.2,20211200,20220300,20220300
2021-09-15 23:00:00,610.0,609.3,609.3,20211200,20220300,20220300
2021-09-16 23:00:00,613.4,612.7,612.7,20211200,20220300,20220300
2021-09-17 23:00:00,601.3,600.6,600.6,20211200,20220300,20220300
2021-09-20 23:00:00,593.3,592.5,592.5,20211200,20220300,20220300
2021-09-21 23:00:00,600.1,599.3,599.3,20211200,20220300,20220300
2021-09-22 23:00:00,605.9,605.1,605.1,20211200,20220300,20220300
2021-09-23 23:00:00,608.0,607.2,607.2,20211200,20220300,20220300
2021-09-24 23:00:00,603.4,602.6,602.6,20211200,20220300,20220300
2021-09-27 23:00:00,601.4,600.6,600.6,20211200,20220300,20220300
2021-09-28 23:00:00,585.8,585.0,585.0,20211200,20220300,20220300
2021-09-29 23:00:00,586.2,585.4,585.4,20211200,20220300,20220300
2021-09-30 23:00:00,584.0,583.2,583.2,20211200,20220300,20220300
2021-10-01 23:00:00,578.1,577.3,577.3,20211200,20220300,20220300
2021-10-04 23:00:00,577.9,577.1,577.1,20211200,20220300,20220300
2021-10-05 23:00:00,578.7,577.9,577.9,20211200,20220300,20220300
2021-10-06 23:00:00,573.5,572.7,572.7,20211200,20220300,20220300
2021-10-07 23:00:00,587.6,586.8,586.8,20211200,20220300,20220300
2021-10-08 23:00:00,585.0,584.2,584.2,20211200,20220300,20220300
2021-10-11 23:00:00,581.4,580.6,580.6,20211200,20220300,20220300
2021-10-12 23:00:00,580.8,580.0,580.0,20211200,20220300,20220300
2021-10-13 23:00:00,586.0,585.2,585.2,20211200,20220300,20220300
2021-10-14 23:00:00,591.2,590.4,590.4,20211200,20220300,20220300
2021-10-15 23:00:00,597.7,596.9,596.9,20211200,20220300,20220300
2021-10-18 23:00:00,595.2,594.4,594.4,20211200,20220300,20220300
2021-10-19 23:00:00,600.2,599.4,599.4,20211200,20220300,20220300
2021-10-20 23:00:00,605.0,604.2,604.2,20211200,20220300,20220300
2021-10-21 23:00:00,601.1,600.3,600.3,20211200,20220300,20220300
2021-10-22 23:00:00,605.1,604.3,604.3,20211200,20220300,20220300
2021-10-25 23:00:00,604.1,603.3,603.3,20211200,20220300,20220300
2021-10-26 23:00:00,607.4,606.6,606.6,20211200,20220300,20220300
2021-10-27 23:00:00,605.6,604.8,604.8,20211200,20220300,20220300
2021-10-28 23:00:00,608.0,607.2,607.2,20211200,20220300,20220300
2021-10-29 23:00:00,608.0,605.2,605.2,20211200,20220300,20220300
2021-11-01 23:00:00,617.0,614.2,614.2,20211200,20220300,20220300
2021-11-02 23:00:00,618.1,615.3,615.3,20211200,20220300,20220300
2021-11-03 23:00:00,620.2,617.4,617.4,20211200,20220300,20220300
2021-11-04 23:00:00,621.6,618.8,618.8,20211200,20220300,20220300
2021-11-05 23:00:00,622.5,619.7,619.7,20211200,20220300,20220300
2021-11-08 23:00:00,626.0,623.2,623.2,20211200,20220300,20220300
2021-11-09 23:00:00,622.7,619.9,619.9,20211200,20220300,20220300
2021-11-10 23:00:00,624.4,621.6,621.6,20211200,20220300,20220300
2021-11-11 23:00:00,633.3,630.5,630.5,20211200,20220300,20220300
2021-11-12 23:00:00,636.1,633.3,633.3,20211200,20220300,20220300
2021-11-15 23:00:00,636.1,633.3,633.3,20211200,20220300,20220300
2021-11-16 23:00:00,633.3,630.5,630.5,20211200,20220300,20220300
2021-11-17 23:00:00,634.7,631.9,631.9,20211200,20220300,20220300
2021-11-18 23:00:00,630.7,627.9,627.9,20211200,20220300,20220300
2021-11-19 23:00:00,626.9,624.1,624.1,20211200,20220300,20220300
2021-11-22 23:00:00,625.3,622.5,622.5,20211200,20220300,20220300
2021-11-23 23:00:00,622.0,619.2,619.2,20211200,20220300,20220300
2021-11-24 23:00:00,624.1,621.3,621.3,20211200,20220300,20220300
2021-11-25 23:00:00,627.0,624.2,624.2,20211200,20220300,20220300
2021-11-26 23:00:00,599.8,597.0,597.0,20211200,20220300,20220300
2021-11-29 23:00:00,604.1,601.3,601.3,20211200,20220300,20220300
2021-11-30 23:00:00,603.4,600.6,600.6,20211200,20220300,20220300
2021-12-01 23:00:00,611.7,608.9,608.9,20211200,20220300,20220300
2021-12-02 23:00:00,608.6,605.8,605.8,20211200,20220300,20220300
2021-12-03 23:00:00,602.9,600.1,600.1,20211200,20220300,20220300
2021-12-06 23:00:00,616.1,613.3,613.3,20211200,20220300,20220300
2021-12-07 23:00:00,630.6,627.8,627.8,20211200,20220300,20220300
2021-12-08 23:00:00,624.7,621.9,621.9,20211200,20220300,20220300
2021-12-09 23:00:00,623.6,620.8,620.8,20211200,20220300,20220300
2021-12-10 23:00:00,617.0,608.1,608.1,20220300,20220600,20220600
2021-12-13 23:00:00,612.1,602.0,602.0,20220300,20220600,20220600
2021-12-14 23:00:00,607.5,597.5,597.5,20220300,20220600,20220600
2021-12-15 23:00:00,610.8,600.8,600.8,20220300,20220600,20220600
2021-12-16 23:00:00,618.8,609.2,609.2,20220300,20220600,20220600
2021-12-17 23:00:00,612.0,602.4,602.4,20220300,20220600,20220600
2021-12-20 23:00:00,605.0,595.8,595.8,20220300,20220600,20220600
2021-12-21 23:00:00,614.7,605.5,605.5,20220300,20220600,20220600
2021-12-22 23:00:00,621.6,612.4,612.4,20220300,20220600,20220600
2021-12-23 23:00:00,631.9,622.7,622.7,20220300,20220600,20220600
2021-12-27 23:00:00,637.2,628.0,628.0,20220300,20220600,20220600
2021-12-28 23:00:00,641.5,632.3,632.3,20220300,20220600,20220600
2021-12-29 23:00:00,644.0,634.8,634.8,20220300,20220600,20220600
2021-12-30 23:00:00,644.7,635.5,635.5,20220300,20220600,20220600
2022-01-03 23:00:00,645.5,636.2,636.2,20220300,20220600,20220600
2022-01-04 23:00:00,651.4,642.1,642.1,20220300,20220600,20220600
2022-01-05 23:00:00,650.4,641.1,641.1,20220300,20220600,20220600
2022-01-06 23:00:00,640.9,631.6,631.6,20220300,20220600,20220600
2022-01-07 23:00:00,635.8,626.5,626.5,20220300,20220600,20220600
2022-01-10 23:00:00,620.8,611.5,611.5,20220300,20220600,20220600
2022-01-11 23:00:00,631.0,621.7,621.7,20220300,20220600,20220600
2022-01-12 23:00:00,636.3,627.0,627.0,20220300,20220600,20220600
2022-01-13 23:00:00,636.2,626.9,626.9,20220300,20220600,20220600
2022-01-14 23:00:00,624.9,615.6,615.6,20220300,20220600,20220600
2022-01-17 23:00:00,626.5,617.3,617.3,20220300,20220600,20220600
2022-01-18 23:00:00,617.2,608.0,608.0,20220300,20220600,20220600
2022-01-19 23:00:00,617.1,607.9,607.9,20220300,20220600,20220600
2022-01-20 23:00:00,621.5,612.3,612.3,20220300,20220600,20220600
2022-01-21 23:00:00,609.2,600.0,600.0,20220300,20220600,20220600
2022-01-24 23:00:00,580.9,571.7,571.7,20220300,20220600,20220600
2022-01-25 23:00:00,579.7,570.5,570.5,20220300,20220600,20220600
2022-01-26 23:00:00,589.0,579.8,579.8,20220300,20220600,20220600
2022-01-27 23:00:00,587.0,577.8,577.8,20220300,20220600,20220600
2022-01-28 23:00:00,586.5,577.3,577.3,20220300,20220600,20220600
2022-01-31 23:00:00,594.0,584.0,584.0,20220300,20220600,20220600
