DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-14 23:00:00,376.3,376.1,376.1,20210900,20211200,20211200
2021-06-15 23:00:00,375.8,375.6,375.6,20210900,20211200,20211200
2021-06-16 23:00:00,379.4,379.2,379.2,20210900,20211200,20211200
2021-06-17 23:00:00,374.6,374.6,374.6,20210900,20211200,20211200
2021-06-18 23:00:00,370.8,370.8,370.8,20210900,20211200,20211200
2021-06-21 23:00:00,372.7,372.0,372.0,20210900,20211200,20211200
2021-06-22 23:00:00,371.4,370.7,370.7,20210900,20211200,20211200
2021-06-23 23:00:00,364.9,364.2,364.2,20210900,20211200,20211200
2021-06-24 23:00:00,367.3,366.6,366.6,20210900,20211200,20211200
2021-06-25 23:00:00,366.0,365.3,365.3,20210900,20211200,20211200
2021-06-28 23:00:00,366.9,366.2,366.2,20210900,20211200,20211200
2021-06-29 23:00:00,368.6,367.9,367.9,20210900,20211200,20211200
2021-06-30 23:00:00,362.2,361.5,361.5,20210900,20211200,20211200
2021-07-01 23:00:00,365.5,364.8,364.8,20210900,20211200,20211200
2021-07-02 23:00:00,367.8,367.1,367.1,20210900,20211200,20211200
2021-07-05 23:00:00,368.3,367.6,367.6,20210900,20211200,20211200
2021-07-06 23:00:00,369.1,368.4,368.4,20210900,20211200,20211200
2021-07-07 23:00:00,374.9,374.2,374.2,20210900,20211200,20211200
2021-07-08 23:00:00,367.5,366.8,366.8,20210900,20211200,20211200
2021-07-09 23:00:00,370.0,369.3,369.3,20210900,20211200,20211200
2021-07-12 23:00:00,374.5,373.8,373.8,20210900,20211200,20211200
2021-07-13 23:00:00,373.1,372.4,372.4,20210900,20211200,20211200
2021-07-14 23:00:00,371.7,371.0,371.0,20210900,20211200,20211200
2021-07-15 23:00:00,368.0,367.3,367.3,20210900,20211200,20211200
2021-07-16 23:00:00,369.8,369.1,369.1,20210900,20211200,20211200
2021-07-19 23:00:00,361.4,360.7,360.7,20210900,20211200,20211200
2021-07-20 23:00:00,360.6,359.9,359.9,20210900,20211200,20211200
2021-07-21 23:00:00,366.8,366.1,366.1,20210900,20211200,20211200
2021-07-22 23:00:00,371.6,370.9,370.9,20210900,20211200,20211200
2021-07-23 23:00:00,375.1,374.4,374.4,20210900,20211200,20211200
2021-07-26 23:00:00,374.4,373.7,373.7,20210900,20211200,20211200
2021-07-27 23:00:00,371.9,371.2,371.2,20210900,20211200,20211200
2021-07-28 23:00:00,375.3,374.6,374.6,20210900,20211200,20211200
2021-07-29 23:00:00,375.2,374.5,374.5,20210900,20211200,20211200
2021-07-30 23:00:00,369.4,368.7,368.7,20210900,20211200,20211200
2021-08-02 23:00:00,370.0,369.3,369.3,20210900,20211200,20211200
2021-08-03 23:00:00,371.9,371.2,371.2,20210900,20211200,20211200
2021-08-04 23:00:00,371.4,370.7,370.7,20210900,20211200,20211200
2021-08-05 23:00:00,372.5,371.8,371.8,20210900,20211200,20211200
2021-08-06 23:00:00,372.1,371.4,371.4,20210900,20211200,20211200
2021-08-09 23:00:00,373.9,373.2,373.2,20210900,20211200,20211200
2021-08-10 23:00:00,375.0,374.3,374.3,20210900,20211200,20211200
2021-08-11 23:00:00,375.9,375.2,375.2,20210900,20211200,20211200
2021-08-12 23:00:00,375.9,375.2,375.2,20210900,20211200,20211200
2021-08-13 23:00:00,377.6,376.9,376.9,20210900,20211200,20211200
2021-08-16 23:00:00,378.4,377.7,377.7,20210900,20211200,20211200
2021-08-17 23:00:00,379.7,379.0,379.0,20210900,20211200,20211200
2021-08-18 23:00:00,385.5,384.8,384.8,20210900,20211200,20211200
2021-08-19 23:00:00,389.0,388.3,388.3,20210900,20211200,20211200
2021-08-20 23:00:00,391.9,391.2,391.2,20210900,20211200,20211200
2021-08-23 23:00:00,390.6,389.9,389.9,20210900,20211200,20211200
2021-08-24 23:00:00,388.8,388.1,388.1,20210900,20211200,20211200
2021-08-25 23:00:00,385.6,384.9,384.9,20210900,20211200,20211200
2021-08-26 23:00:00,383.5,382.8,382.8,20210900,20211200,20211200
2021-08-27 23:00:00,382.0,381.3,381.3,20210900,20211200,20211200
2021-08-30 23:00:00,383.1,382.4,382.4,20210900,20211200,20211200
2021-08-31 23:00:00,384.0,383.3,383.3,20210900,20211200,20211200
2021-09-01 23:00:00,389.4,388.7,388.7,20210900,20211200,20211200
2021-09-02 23:00:00,389.0,388.3,388.3,20210900,20211200,20211200
2021-09-03 23:00:00,386.2,385.5,385.5,20210900,20211200,20211200
2021-09-06 23:00:00,385.2,384.5,384.5,20210900,20211200,20211200
2021-09-07 23:00:00,381.5,380.8,380.8,20210900,20211200,20211200
2021-09-08 23:00:00,381.4,380.7,380.7,20210900,20211200,20211200
2021-09-09 23:00:00,381.0,380.3,380.3,20210900,20211200,20211200
2021-09-10 23:00:00,375.3,374.6,374.6,20210900,20211200,20211200
2021-09-13 23:00:00,380.3,376.9,376.9,20211200,20220300,20220300
2021-09-14 23:00:00,379.1,375.9,375.9,20211200,20220300,20220300
2021-09-15 23:00:00,367.2,364.0,364.0,20211200,20220300,20220300
2021-09-16 23:00:00,365.3,362.3,362.3,20211200,20220300,20220300
2021-09-17 23:00:00,361.8,358.8,358.8,20211200,20220300,20220300
2021-09-20 23:00:00,359.5,356.0,356.0,20211200,20220300,20220300
2021-09-21 23:00:00,361.4,357.9,357.9,20211200,20220300,20220300
2021-09-22 23:00:00,361.3,357.8,357.8,20211200,20220300,20220300
2021-09-23 23:00:00,365.4,361.9,361.9,20211200,20220300,20220300
2021-09-24 23:00:00,361.4,357.9,357.9,20211200,20220300,20220300
2021-09-27 23:00:00,362.0,358.5,358.5,20211200,20220300,20220300
