DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-14 23:00:00,794.0,793.4,793.4,20210900,20211200,20211200
2021-06-15 23:00:00,798.3,798.0,798.0,20210900,20211200,20211200
2021-06-16 23:00:00,802.7,802.1,802.1,20210900,20211200,20211200
2021-06-17 23:00:00,801.3,800.7,800.7,20210900,20211200,20211200
2021-06-18 23:00:00,794.8,794.2,794.2,20210900,20211200,20211200
2021-06-21 23:00:00,798.5,796.5,796.5,20210900,20211200,20211200
2021-06-22 23:00:00,803.2,801.2,801.2,20210900,20211200,20211200
2021-06-23 23:00:00,800.9,798.9,798.9,20210900,20211200,20211200
2021-06-24 23:00:00,804.0,802.0,802.0,20210900,20211200,20211200
2021-06-25 23:00:00,804.3,802.3,802.3,20210900,20211200,20211200
2021-06-28 23:00:00,804.2,802.2,802.2,20210900,20211200,20211200
2021-06-29 23:00:00,804.8,802.8,802.8,20210900,20211200,20211200
2021-06-30 23:00:00,800.0,798.0,798.0,20210900,20211200,20211200
2021-07-01 23:00:00,802.6,800.6,800.6,20210900,20211200,20211200
2021-07-02 23:00:00,803.7,801.7,801.7,20210900,20211200,20211200
2021-07-05 23:00:00,803.5,801.3,801.3,20210900,20211200,20211200
2021-07-06 23:00:00,800.9,798.7,798.7,20210900,20211200,20211200
2021-07-07 23:00:00,808.3,806.1,806.1,20210900,20211200,20211200
2021-07-08 23:00:00,798.1,795.9,795.9,20210900,20211200,20211200
2021-07-09 23:00:00,797.8,795.6,795.6,20210900,20211200,20211200
2021-07-12 23:00:00,802.2,800.0,800.0,20210900,20211200,20211200
2021-07-13 23:00:00,806.9,804.7,804.7,20210900,20211200,20211200
2021-07-14 23:00:00,805.4,803.2,803.2,20210900,20211200,20211200
2021-07-15 23:00:00,801.1,798.9,798.9,20210900,20211200,20211200
2021-07-16 23:00:00,803.1,800.9,800.9,20210900,20211200,20211200
2021-07-19 23:00:00,790.1,787.9,787.9,20210900,20211200,20211200
2021-07-20 23:00:00,794.3,792.1,792.1,20210900,20211200,20211200
2021-07-21 23:00:00,801.0,798.8,798.8,20210900,20211200,20211200
2021-07-22 23:00:00,798.1,795.9,795.9,20210900,20211200,20211200
2021-07-23 23:00:00,807.4,805.2,805.2,20210900,20211200,20211200
2021-07-26 23:00:00,800.8,798.6,798.6,20210900,20211200,20211200
2021-07-27 23:00:00,801.8,799.6,799.6,20210900,20211200,20211200
2021-07-28 23:00:00,804.0,801.8,801.8,20210900,20211200,20211200
2021-07-29 23:00:00,805.1,802.9,802.9,20210900,20211200,20211200
2021-07-30 23:00:00,807.5,805.3,805.3,20210900,20211200,20211200
2021-08-02 23:00:00,809.4,807.2,807.2,20210900,20211200,20211200
2021-08-03 23:00:00,807.6,805.4,805.4,20210900,20211200,20211200
2021-08-04 23:00:00,805.9,803.7,803.7,20210900,20211200,20211200
2021-08-05 23:00:00,805.9,803.7,803.7,20210900,20211200,20211200
2021-08-06 23:00:00,802.7,800.5,800.5,20210900,20211200,20211200
2021-08-09 23:00:00,802.9,800.7,800.7,20210900,20211200,20211200
2021-08-10 23:00:00,805.0,802.8,802.8,20210900,20211200,20211200
2021-08-11 23:00:00,803.7,801.5,801.5,20210900,20211200,20211200
2021-08-12 23:00:00,802.6,800.4,800.4,20210900,20211200,20211200
2021-08-13 23:00:00,808.8,806.6,806.6,20210900,20211200,20211200
2021-08-16 23:00:00,810.2,808.0,808.0,20210900,20211200,20211200
2021-08-17 23:00:00,813.2,811.0,811.0,20210900,20211200,20211200
2021-08-18 23:00:00,812.5,810.3,810.3,20210900,20211200,20211200
2021-08-19 23:00:00,802.8,800.6,800.6,20210900,20211200,20211200
2021-08-20 23:00:00,801.5,799.3,799.3,20210900,20211200,20211200
2021-08-23 23:00:00,805.1,802.9,802.9,20210900,20211200,20211200
2021-08-24 23:00:00,803.3,801.1,801.1,20210900,20211200,20211200
2021-08-25 23:00:00,799.5,797.3,797.3,20210900,20211200,20211200
2021-08-26 23:00:00,798.4,796.2,796.2,20210900,20211200,20211200
2021-08-27 23:00:00,803.1,800.9,800.9,20210900,20211200,20211200
2021-08-30 23:00:00,804.4,801.3,801.3,20210900,20211200,20211200
2021-08-31 23:00:00,800.4,797.3,797.3,20210900,20211200,20211200
2021-09-01 23:00:00,805.8,802.7,802.7,20210900,20211200,20211200
2021-09-02 23:00:00,802.9,799.8,799.8,20210900,20211200,20211200
2021-09-03 23:00:00,798.4,795.3,795.3,20210900,20211200,20211200
