DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-14 23:00:00,326.2,325.3,325.3,20210900,20211200,20211200
2021-06-15 23:00:00,326.5,325.6,325.6,20210900,20211200,20211200
2021-06-16 23:00:00,329.2,328.3,328.3,20210900,20211200,20211200
2021-06-17 23:00:00,329.3,328.4,328.4,20210900,20211200,20211200
2021-06-18 23:00:00,323.8,322.9,322.9,20210900,20211200,20211200
2021-06-21 23:00:00,327.5,326.8,326.8,20210900,20211200,20211200
2021-06-22 23:00:00,328.4,327.7,327.7,20210900,20211200,20211200
2021-06-23 23:00:00,326.4,325.7,325.7,20210900,20211200,20211200
2021-06-24 23:00:00,327.0,326.3,326.3,20210900,20211200,20211200
2021-06-25 23:00:00,327.5,326.8,326.8,20210900,20211200,20211200
2021-06-28 23:00:00,325.3,324.6,324.6,20210900,20211200,20211200
2021-06-29 23:00:00,324.4,323.7,323.7,20210900,20211200,20211200
2021-06-30 23:00:00,324.4,323.7,323.7,20210900,20211200,20211200
2021-07-01 23:00:00,329.6,328.9,328.9,20210900,20211200,20211200
2021-07-02 23:00:00,332.9,332.2,332.2,20210900,20211200,20211200
2021-07-05 23:00:00,332.3,331.6,331.6,20210900,20211200,20211200
2021-07-06 23:00:00,332.9,332.2,332.2,20210900,20211200,20211200
2021-07-07 23:00:00,333.6,332.9,332.9,20210900,20211200,20211200
2021-07-08 23:00:00,325.6,324.9,324.9,20210900,20211200,20211200
2021-07-09 23:00:00,330.6,329.9,329.9,20210900,20211200,20211200
2021-07-12 23:00:00,333.8,333.1,333.1,20210900,20211200,20211200
2021-07-13 23:00:00,337.1,336.4,336.4,20210900,20211200,20211200
2021-07-14 23:00:00,336.5,335.8,335.8,20210900,20211200,20211200
2021-07-15 23:00:00,332.8,332.1,332.1,20210900,20211200,20211200
2021-07-16 23:00:00,332.6,331.9,331.9,20210900,20211200,20211200
2021-07-19 23:00:00,325.0,324.3,324.3,20210900,20211200,20211200
2021-07-20 23:00:00,328.5,327.8,327.8,20210900,20211200,20211200
2021-07-21 23:00:00,334.5,333.8,333.8,20210900,20211200,20211200
2021-07-22 23:00:00,340.4,339.7,339.7,20210900,20211200,20211200
2021-07-23 23:00:00,342.2,341.5,341.5,20210900,20211200,20211200
2021-07-26 23:00:00,339.0,338.2,338.2,20210900,20211200,20211200
2021-07-27 23:00:00,337.0,336.2,336.2,20210900,20211200,20211200
2021-07-28 23:00:00,337.1,336.3,336.3,20210900,20211200,20211200
2021-07-29 23:00:00,344.5,343.7,343.7,20210900,20211200,20211200
2021-07-30 23:00:00,343.0,342.2,342.2,20210900,20211200,20211200
2021-08-02 23:00:00,342.5,341.7,341.7,20210900,20211200,20211200
2021-08-03 23:00:00,343.5,342.7,342.7,20210900,20211200,20211200
2021-08-04 23:00:00,346.3,345.5,345.5,20210900,20211200,20211200
2021-08-05 23:00:00,349.5,348.7,348.7,20210900,20211200,20211200
2021-08-06 23:00:00,349.0,348.2,348.2,20210900,20211200,20211200
2021-08-09 23:00:00,348.4,347.6,347.6,20210900,20211200,20211200
2021-08-10 23:00:00,350.6,349.8,349.8,20210900,20211200,20211200
2021-08-11 23:00:00,354.0,353.2,353.2,20210900,20211200,20211200
2021-08-12 23:00:00,355.4,354.6,354.6,20210900,20211200,20211200
2021-08-13 23:00:00,356.1,355.3,355.3,20210900,20211200,20211200
2021-08-16 23:00:00,355.3,354.5,354.5,20210900,20211200,20211200
2021-08-17 23:00:00,354.5,353.7,353.7,20210900,20211200,20211200
2021-08-18 23:00:00,356.1,355.3,355.3,20210900,20211200,20211200
2021-08-19 23:00:00,351.1,350.3,350.3,20210900,20211200,20211200
2021-08-20 23:00:00,352.3,351.5,351.5,20210900,20211200,20211200
2021-08-23 23:00:00,354.1,353.3,353.3,20210900,20211200,20211200
2021-08-24 23:00:00,355.0,354.2,354.2,20210900,20211200,20211200
2021-08-25 23:00:00,355.6,354.8,354.8,20210900,20211200,20211200
2021-08-26 23:00:00,357.8,357.0,357.0,20210900,20211200,20211200
2021-08-27 23:00:00,358.8,358.0,358.0,20210900,20211200,20211200
2021-08-30 23:00:00,360.5,354.0,354.0,20210900,20211200,20211200
2021-08-31 23:00:00,358.0,351.5,351.5,20210900,20211200,20211200
2021-09-01 23:00:00,360.8,354.3,354.3,20210900,20211200,20211200
2021-09-02 23:00:00,363.4,356.9,356.9,20210900,20211200,20211200
2021-09-03 23:00:00,361.5,354.1,354.1,20210900,20211200,20211200
2021-09-06 23:00:00,365.0,357.6,357.6,20210900,20211200,20211200
2021-09-07 23:00:00,362.7,355.3,355.3,20210900,20211200,20211200
2021-09-08 23:00:00,360.7,353.3,353.3,20210900,20211200,20211200
2021-09-09 23:00:00,360.0,352.6,352.6,20210900,20211200,20211200
2021-09-10 23:00:00,358.8,351.0,351.0,20210900,20211200,20211200
2021-09-13 23:00:00,351.2,351.1,351.1,20211200,20220300,20220300
2021-09-14 23:00:00,348.7,350.3,350.3,20211200,20220300,20220300
2021-09-15 23:00:00,344.2,345.8,345.8,20211200,20220300,20220300
2021-09-16 23:00:00,352.5,349.9,349.9,20211200,20220300,20220300
2021-09-17 23:00:00,351.2,348.6,348.6,20211200,20220300,20220300
2021-09-20 23:00:00,348.1,347.7,347.7,20211200,20220300,20220300
2021-09-21 23:00:00,351.2,350.8,350.8,20211200,20220300,20220300
2021-09-22 23:00:00,353.3,352.9,352.9,20211200,20220300,20220300
2021-09-23 23:00:00,353.8,353.4,353.4,20211200,20220300,20220300
2021-09-24 23:00:00,351.1,350.7,350.7,20211200,20220300,20220300
2021-09-27 23:00:00,348.3,347.9,347.9,20211200,20220300,20220300
2021-09-28 23:00:00,341.5,341.1,341.1,20211200,20220300,20220300
2021-09-29 23:00:00,344.2,343.8,343.8,20211200,20220300,20220300
2021-09-30 23:00:00,346.8,346.4,346.4,20211200,20220300,20220300
