DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-14 23:00:00,266.3,263.6,263.6,20210900,20211200,20211200
2021-06-15 23:00:00,267.0,264.0,264.0,20210900,20211200,20211200
2021-06-16 23:00:00,267.0,264.0,264.0,20210900,20211200,20211200
2021-06-17 23:00:00,263.9,261.1,261.1,20210900,20211200,20211200
2021-06-18 23:00:00,255.9,253.1,253.1,20210900,20211200,20211200
2021-06-21 23:00:00,259.1,256.3,256.3,20210900,20211200,20211200
2021-06-22 23:00:00,261.5,258.7,258.7,20210900,20211200,20211200
2021-06-23 23:00:00,261.9,259.1,259.1,20210900,20211200,20211200
2021-06-24 23:00:00,265.5,262.7,262.7,20210900,20211200,20211200
2021-06-25 23:00:00,265.6,262.8,262.8,20210900,20211200,20211200
2021-06-28 23:00:00,258.8,256.0,256.0,20210900,20211200,20211200
2021-06-29 23:00:00,260.7,257.9,257.9,20210900,20211200,20211200
2021-06-30 23:00:00,258.7,255.9,255.9,20210900,20211200,20211200
2021-07-01 23:00:00,263.3,260.5,260.5,20210900,20211200,20211200
2021-07-02 23:00:00,261.9,259.1,259.1,20210900,20211200,20211200
2021-07-05 23:00:00,263.8,260.9,260.9,20210900,20211200,20211200
2021-07-06 23:00:00,258.3,255.4,255.4,20210900,20211200,20211200
2021-07-07 23:00:00,256.3,253.4,253.4,20210900,20211200,20211200
2021-07-08 23:00:00,253.2,250.3,250.3,20210900,20211200,20211200
2021-07-09 23:00:00,254.9,252.0,252.0,20210900,20211200,20211200
2021-07-12 23:00:00,256.5,253.6,253.6,20210900,20211200,20211200
2021-07-13 23:00:00,254.5,251.6,251.6,20210900,20211200,20211200
2021-07-14 23:00:00,254.2,251.3,251.3,20210900,20211200,20211200
2021-07-15 23:00:00,247.4,244.5,244.5,20210900,20211200,20211200
2021-07-16 23:00:00,244.1,241.2,241.2,20210900,20211200,20211200
2021-07-19 23:00:00,235.0,232.1,232.1,20210900,20211200,20211200
2021-07-20 23:00:00,236.0,233.1,233.1,20210900,20211200,20211200
2021-07-21 23:00:00,244.0,241.1,241.1,20210900,20211200,20211200
2021-07-22 23:00:00,243.2,240.3,240.3,20210900,20211200,20211200
2021-07-23 23:00:00,242.1,239.2,239.2,20210900,20211200,20211200
2021-07-26 23:00:00,246.9,244.0,244.0,20210900,20211200,20211200
2021-07-27 23:00:00,244.7,241.8,241.8,20210900,20211200,20211200
2021-07-28 23:00:00,246.9,244.0,244.0,20210900,20211200,20211200
2021-07-29 23:00:00,249.8,246.9,246.9,20210900,20211200,20211200
2021-07-30 23:00:00,246.6,243.7,243.7,20210900,20211200,20211200
2021-08-02 23:00:00,247.2,244.4,244.4,20210900,20211200,20211200
2021-08-03 23:00:00,253.0,250.2,250.2,20210900,20211200,20211200
2021-08-04 23:00:00,252.2,249.4,249.4,20210900,20211200,20211200
2021-08-05 23:00:00,253.5,250.7,250.7,20210900,20211200,20211200
