DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-14 23:00:00,187.1,185.2,185.2,20210900,20211200,20211200
2021-06-15 23:00:00,186.0,184.0,184.0,20210900,20211200,20211200
2021-06-16 23:00:00,185.9,184.0,184.0,20210900,20211200,20211200
2021-06-17 23:00:00,184.2,182.5,182.5,20210900,20211200,20211200
2021-06-18 23:00:00,183.0,181.3,181.3,20210900,20211200,20211200
2021-06-21 23:00:00,183.4,180.7,180.7,20210900,20211200,20211200
2021-06-22 23:00:00,185.2,182.5,182.5,20210900,20211200,20211200
2021-06-23 23:00:00,184.5,181.8,181.8,20210900,20211200,20211200
2021-06-24 23:00:00,184.9,182.2,182.2,20210900,20211200,20211200
2021-06-25 23:00:00,184.8,182.1,182.1,20210900,20211200,20211200
2021-06-28 23:00:00,182.8,180.1,180.1,20210900,20211200,20211200
2021-06-29 23:00:00,181.9,179.2,179.2,20210900,20211200,20211200
2021-06-30 23:00:00,181.0,178.3,178.3,20210900,20211200,20211200
2021-07-01 23:00:00,182.5,179.8,179.8,20210900,20211200,20211200
2021-07-02 23:00:00,184.5,181.8,181.8,20210900,20211200,20211200
2021-07-05 23:00:00,186.1,183.3,183.3,20210900,20211200,20211200
2021-07-06 23:00:00,187.4,184.6,184.6,20210900,20211200,20211200
2021-07-07 23:00:00,188.7,185.9,185.9,20210900,20211200,20211200
2021-07-08 23:00:00,187.1,184.3,184.3,20210900,20211200,20211200
2021-07-09 23:00:00,190.6,187.8,187.8,20210900,20211200,20211200
2021-07-12 23:00:00,193.8,191.0,191.0,20210900,20211200,20211200
2021-07-13 23:00:00,192.4,189.6,189.6,20210900,20211200,20211200
2021-07-14 23:00:00,190.4,187.6,187.6,20210900,20211200,20211200
2021-07-15 23:00:00,189.0,186.2,186.2,20210900,20211200,20211200
2021-07-16 23:00:00,190.6,187.8,187.8,20210900,20211200,20211200
2021-07-19 23:00:00,187.0,184.2,184.2,20210900,20211200,20211200
2021-07-20 23:00:00,188.2,185.4,185.4,20210900,20211200,20211200
2021-07-21 23:00:00,191.3,188.5,188.5,20210900,20211200,20211200
2021-07-22 23:00:00,192.4,189.6,189.6,20210900,20211200,20211200
2021-07-23 23:00:00,192.2,189.4,189.4,20210900,20211200,20211200
2021-07-26 23:00:00,191.6,188.8,188.8,20210900,20211200,20211200
2021-07-27 23:00:00,191.8,189.0,189.0,20210900,20211200,20211200
2021-07-28 23:00:00,193.4,190.6,190.6,20210900,20211200,20211200
2021-07-29 23:00:00,192.6,189.8,189.8,20210900,20211200,20211200
