DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-14 23:00:00,475.6,471.4,471.4,20210900,20211200,20211200
2021-06-15 23:00:00,472.6,468.4,468.4,20210900,20211200,20211200
2021-06-16 23:00:00,473.0,469.0,469.0,20210900,20211200,20211200
2021-06-17 23:00:00,476.5,472.5,472.5,20210900,20211200,20211200
2021-06-18 23:00:00,469.3,465.3,465.3,20210900,20211200,20211200
2021-06-21 23:00:00,473.5,469.1,469.1,20210900,20211200,20211200
2021-06-22 23:00:00,477.3,472.9,472.9,20210900,20211200,20211200
2021-06-23 23:00:00,470.9,466.5,466.5,20210900,20211200,20211200
2021-06-24 23:00:00,476.3,471.9,471.9,20210900,20211200,20211200
2021-06-25 23:00:00,479.3,474.9,474.9,20210900,20211200,20211200
2021-06-28 23:00:00,471.2,466.8,466.8,20210900,20211200,20211200
2021-06-29 23:00:00,473.5,469.1,469.1,20210900,20211200,20211200
2021-06-30 23:00:00,469.9,465.5,465.5,20210900,20211200,20211200
2021-07-01 23:00:00,471.2,466.8,466.8,20210900,20211200,20211200
2021-07-02 23:00:00,472.7,468.3,468.3,20210900,20211200,20211200
2021-07-05 23:00:00,476.3,471.9,471.9,20210900,20211200,20211200
2021-07-06 23:00:00,471.8,467.4,467.4,20210900,20211200,20211200
2021-07-07 23:00:00,475.9,471.5,471.5,20210900,20211200,20211200
2021-07-08 23:00:00,461.0,456.6,456.6,20210900,20211200,20211200
2021-07-09 23:00:00,469.0,464.6,464.6,20210900,20211200,20211200
2021-07-12 23:00:00,470.9,466.5,466.5,20210900,20211200,20211200
2021-07-13 23:00:00,471.5,467.1,467.1,20210900,20211200,20211200
2021-07-14 23:00:00,472.8,468.4,468.4,20210900,20211200,20211200
2021-07-15 23:00:00,458.8,454.4,454.4,20210900,20211200,20211200
2021-07-16 23:00:00,456.7,452.3,452.3,20210900,20211200,20211200
2021-07-19 23:00:00,445.2,440.8,440.8,20210900,20211200,20211200
