DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-14 23:00:00,723.5,721.5,721.5,20210900,20211200,20211200
2021-06-15 23:00:00,722.9,721.1,721.1,20210900,20211200,20211200
2021-06-16 23:00:00,724.4,722.6,722.6,20210900,20211200,20211200
2021-06-17 23:00:00,727.1,725.3,725.3,20210900,20211200,20211200
2021-06-18 23:00:00,707.5,705.7,705.7,20210900,20211200,20211200
2021-06-21 23:00:00,711.4,709.2,709.2,20210900,20211200,20211200
2021-06-22 23:00:00,715.8,713.6,713.6,20210900,20211200,20211200
2021-06-23 23:00:00,711.5,709.3,709.3,20210900,20211200,20211200
2021-06-24 23:00:00,721.7,719.5,719.5,20210900,20211200,20211200
2021-06-25 23:00:00,720.6,718.4,718.4,20210900,20211200,20211200
2021-06-28 23:00:00,722.8,720.5,720.5,20210900,20211200,20211200
2021-06-29 23:00:00,727.9,725.6,725.6,20210900,20211200,20211200
2021-06-30 23:00:00,720.3,718.0,718.0,20210900,20211200,20211200
2021-07-01 23:00:00,714.7,712.4,712.4,20210900,20211200,20211200
2021-07-02 23:00:00,722.0,719.7,719.7,20210900,20211200,20211200
2021-07-05 23:00:00,721.1,718.8,718.8,20210900,20211200,20211200
2021-07-06 23:00:00,723.3,721.0,721.0,20210900,20211200,20211200
2021-07-07 23:00:00,733.1,730.8,730.8,20210900,20211200,20211200
2021-07-08 23:00:00,717.6,715.3,715.3,20210900,20211200,20211200
2021-07-09 23:00:00,726.9,724.6,724.6,20210900,20211200,20211200
2021-07-12 23:00:00,735.2,732.9,732.9,20210900,20211200,20211200
2021-07-13 23:00:00,740.6,738.3,738.3,20210900,20211200,20211200
2021-07-14 23:00:00,745.6,743.3,743.3,20210900,20211200,20211200
2021-07-15 23:00:00,735.6,733.3,733.3,20210900,20211200,20211200
2021-07-16 23:00:00,730.8,728.5,728.5,20210900,20211200,20211200
2021-07-19 23:00:00,718.1,715.8,715.8,20210900,20211200,20211200
2021-07-20 23:00:00,716.5,714.2,714.2,20210900,20211200,20211200
2021-07-21 23:00:00,728.0,725.7,725.7,20210900,20211200,20211200
2021-07-22 23:00:00,742.1,739.8,739.8,20210900,20211200,20211200
2021-07-23 23:00:00,751.5,749.2,749.2,20210900,20211200,20211200
2021-07-26 23:00:00,747.8,745.5,745.5,20210900,20211200,20211200
2021-07-27 23:00:00,736.8,734.5,734.5,20210900,20211200,20211200
2021-07-28 23:00:00,753.4,751.1,751.1,20210900,20211200,20211200
2021-07-29 23:00:00,759.8,757.5,757.5,20210900,20211200,20211200
2021-07-30 23:00:00,757.7,755.4,755.4,20210900,20211200,20211200
2021-08-02 23:00:00,768.0,765.7,765.7,20210900,20211200,20211200
2021-08-03 23:00:00,763.6,761.3,761.3,20210900,20211200,20211200
2021-08-04 23:00:00,776.7,774.4,774.4,20210900,20211200,20211200
2021-08-05 23:00:00,784.0,781.7,781.7,20210900,20211200,20211200
2021-08-06 23:00:00,779.5,777.2,777.2,20210900,20211200,20211200
2021-08-09 23:00:00,783.7,781.3,781.3,20210900,20211200,20211200
2021-08-10 23:00:00,786.7,784.3,784.3,20210900,20211200,20211200
2021-08-11 23:00:00,781.4,779.0,779.0,20210900,20211200,20211200
2021-08-12 23:00:00,783.2,780.8,780.8,20210900,20211200,20211200
2021-08-13 23:00:00,780.7,778.3,778.3,20210900,20211200,20211200
2021-08-16 23:00:00,776.1,773.7,773.7,20210900,20211200,20211200
2021-08-17 23:00:00,778.0,775.6,775.6,20210900,20211200,20211200
2021-08-18 23:00:00,779.8,777.4,777.4,20210900,20211200,20211200
2021-08-19 23:00:00,771.5,769.1,769.1,20210900,20211200,20211200
2021-08-20 23:00:00,777.7,775.3,775.3,20210900,20211200,20211200
2021-08-23 23:00:00,787.9,785.5,785.5,20210900,20211200,20211200
2021-08-24 23:00:00,790.3,787.9,787.9,20210900,20211200,20211200
2021-08-25 23:00:00,792.3,789.9,789.9,20210900,20211200,20211200
2021-08-26 23:00:00,791.1,788.7,788.7,20210900,20211200,20211200
2021-08-27 23:00:00,799.6,797.2,797.2,20210900,20211200,20211200
2021-08-30 23:00:00,804.1,801.7,801.7,20210900,20211200,20211200
2021-08-31 23:00:00,803.6,801.2,801.2,20210900,20211200,20211200
2021-09-01 23:00:00,814.8,812.4,812.4,20210900,20211200,20211200
2021-09-02 23:00:00,818.9,816.5,816.5,20210900,20211200,20211200
2021-09-03 23:00:00,815.1,812.7,812.7,20210900,20211200,20211200
2021-09-06 23:00:00,828.4,826.0,826.0,20210900,20211200,20211200
2021-09-07 23:00:00,825.1,822.7,822.7,20210900,20211200,20211200
2021-09-08 23:00:00,814.1,811.7,811.7,20210900,20211200,20211200
2021-09-09 23:00:00,810.0,807.6,807.6,20210900,20211200,20211200
2021-09-10 23:00:00,815.1,812.7,812.7,20210900,20211200,20211200
2021-09-13 23:00:00,807.6,805.4,805.4,20211200,20220300,20220300
2021-09-14 23:00:00,817.6,814.6,814.6,20211200,20220300,20220300
2021-09-15 23:00:00,809.2,807.3,807.3,20211200,20220300,20220300
2021-09-16 23:00:00,813.6,811.5,811.5,20211200,20220300,20220300
2021-09-17 23:00:00,801.2,799.1,799.1,20211200,20220300,20220300
2021-09-20 23:00:00,788.8,787.7,787.7,20211200,20220300,20220300
2021-09-21 23:00:00,799.9,798.8,798.8,20211200,20220300,20220300
2021-09-22 23:00:00,803.8,802.7,802.7,20211200,20220300,20220300
2021-09-23 23:00:00,818.6,817.5,817.5,20211200,20220300,20220300
2021-09-24 23:00:00,805.8,804.7,804.7,20211200,20220300,20220300
2021-09-27 23:00:00,794.7,793.1,793.1,20211200,20220300,20220300
2021-09-28 23:00:00,758.5,756.9,756.9,20211200,20220300,20220300
2021-09-29 23:00:00,752.3,750.7,750.7,20211200,20220300,20220300
2021-09-30 23:00:00,752.2,750.6,750.6,20211200,20220300,20220300
2021-10-01 23:00:00,738.0,736.4,736.4,20211200,20220300,20220300
2021-10-04 23:00:00,724.3,722.7,722.7,20211200,20220300,20220300
2021-10-05 23:00:00,739.4,737.8,737.8,20211200,20220300,20220300
2021-10-06 23:00:00,732.9,731.3,731.3,20211200,20220300,20220300
2021-10-07 23:00:00,749.7,748.1,748.1,20211200,20220300,20220300
2021-10-08 23:00:00,741.1,739.5,739.5,20211200,20220300,20220300
2021-10-11 23:00:00,736.3,734.7,734.7,20211200,20220300,20220300
