DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-14 23:00:00,1.1986,1.2009,1.2009,20210600,20210900,20210900
2021-04-15 23:00:00,1.1989,1.2012,1.2012,20210600,20210900,20210900
2021-04-16 23:00:00,1.19925,1.2016,1.2016,20210600,20210900,20210900
2021-04-19 23:00:00,1.2053,1.20765,1.20765,20210600,20210900,20210900
2021-04-20 23:00:00,1.2044,1.20675,1.20675,20210600,20210900,20210900
2021-04-21 23:00:00,1.20425,1.20665,1.20665,20210600,20210900,20210900
2021-04-22 23:00:00,1.202,1.20435,1.20435,20210600,20210900,20210900
2021-04-23 23:00:00,1.2105,1.21285,1.21285,20210600,20210900,20210900
2021-04-26 23:00:00,1.21045,1.2128,1.2128,20210600,20210900,20210900
2021-04-27 23:00:00,1.2099,1.21225,1.21225,20210600,20210900,20210900
2021-04-28 23:00:00,1.21365,1.21595,1.21595,20210600,20210900,20210900
2021-04-29 23:00:00,1.21355,1.21585,1.21585,20210600,20210900,20210900
2021-04-30 23:00:00,1.20325,1.20555,1.20555,20210600,20210900,20210900
2021-05-03 23:00:00,1.20765,1.20995,1.20995,20210600,20210900,20210900
2021-05-04 23:00:00,1.20215,1.20445,1.20445,20210600,20210900,20210900
2021-05-05 23:00:00,1.2009,1.2032,1.2032,20210600,20210900,20210900
2021-05-06 23:00:00,1.20635,1.20855,1.20855,20210600,20210900,20210900
2021-05-07 23:00:00,1.21735,1.2196,1.2196,20210600,20210900,20210900
2021-05-10 23:00:00,1.2154,1.21765,1.21765,20210600,20210900,20210900
2021-05-11 23:00:00,1.216,1.21825,1.21825,20210600,20210900,20210900
2021-05-12 23:00:00,1.20875,1.21095,1.21095,20210600,20210900,20210900
2021-05-13 23:00:00,1.20835,1.21055,1.21055,20210600,20210900,20210900
2021-05-14 23:00:00,1.215,1.2172,1.2172,20210600,20210900,20210900
2021-05-17 23:00:00,1.21655,1.21875,1.21875,20210600,20210900,20210900
2021-05-18 23:00:00,1.22355,1.22575,1.22575,20210600,20210900,20210900
2021-05-19 23:00:00,1.21785,1.22005,1.22005,20210600,20210900,20210900
2021-05-20 23:00:00,1.2225,1.2247,1.2247,20210600,20210900,20210900
2021-05-21 23:00:00,1.21865,1.22085,1.22085,20210600,20210900,20210900
2021-05-24 23:00:00,1.2218,1.224,1.224,20210600,20210900,20210900
2021-05-25 23:00:00,1.22605,1.22825,1.22825,20210600,20210900,20210900
2021-05-26 23:00:00,1.2197,1.22185,1.22185,20210600,20210900,20210900
2021-05-27 23:00:00,1.22025,1.2224,1.2224,20210600,20210900,20210900
2021-05-28 23:00:00,1.22045,1.2226,1.2226,20210600,20210900,20210900
2021-06-01 23:00:00,1.22315,1.2253,1.2253,20210600,20210900,20210900
2021-06-02 23:00:00,1.2214,1.2236,1.2236,20210600,20210900,20210900
2021-06-03 23:00:00,1.21275,1.2149,1.2149,20210600,20210900,20210900
2021-06-04 23:00:00,1.2167,1.21885,1.21885,20210600,20210900,20210900
2021-06-07 23:00:00,1.21965,1.22185,1.22185,20210600,20210900,20210900
2021-06-08 23:00:00,1.2181,1.2203,1.2203,20210600,20210900,20210900
2021-06-09 23:00:00,1.21805,1.22025,1.22025,20210600,20210900,20210900
2021-06-10 23:00:00,1.2172,1.2194,1.2194,20210600,20210900,20210900
2021-06-11 23:00:00,1.21025,1.2124,1.2124,20210600,20210900,20210900
2021-06-14 23:00:00,1.2122,1.21395,1.21395,20210600,20210900,20210900
2021-06-15 23:00:00,1.21465,1.2168,1.2168,20210900,20211200,20211200
2021-06-16 23:00:00,1.2039,1.2061,1.2061,20210900,20211200,20211200
2021-06-17 23:00:00,1.1931,1.1953,1.1953,20210900,20211200,20211200
2021-06-18 23:00:00,1.1892,1.1914,1.1914,20210900,20211200,20211200
2021-06-21 23:00:00,1.19295,1.1952,1.1952,20210900,20211200,20211200
2021-06-22 23:00:00,1.1956,1.1978,1.1978,20210900,20211200,20211200
2021-06-23 23:00:00,1.19485,1.197,1.197,20210900,20211200,20211200
2021-06-24 23:00:00,1.195,1.19715,1.19715,20210900,20211200,20211200
2021-06-25 23:00:00,1.19495,1.19715,1.19715,20210900,20211200,20211200
2021-06-28 23:00:00,1.1942,1.1964,1.1964,20210900,20211200,20211200
2021-06-29 23:00:00,1.192,1.1942,1.1942,20210900,20211200,20211200
2021-06-30 23:00:00,1.1865,1.1887,1.1887,20210900,20211200,20211200
2021-07-01 23:00:00,1.1858,1.188,1.188,20210900,20211200,20211200
2021-07-02 23:00:00,1.18605,1.1882,1.1882,20210900,20211200,20211200
2021-07-06 23:00:00,1.18395,1.1861,1.1861,20210900,20211200,20211200
2021-07-07 23:00:00,1.18215,1.1843,1.1843,20210900,20211200,20211200
2021-07-08 23:00:00,1.1855,1.18765,1.18765,20210900,20211200,20211200
2021-07-09 23:00:00,1.1892,1.1914,1.1914,20210900,20211200,20211200
2021-07-12 23:00:00,1.1873,1.18945,1.18945,20210900,20211200,20211200
2021-07-13 23:00:00,1.1796,1.18175,1.18175,20210900,20211200,20211200
2021-07-14 23:00:00,1.1844,1.18655,1.18655,20210900,20211200,20211200
2021-07-15 23:00:00,1.18205,1.1842,1.1842,20210900,20211200,20211200
2021-07-16 23:00:00,1.1822,1.18435,1.18435,20210900,20211200,20211200
2021-07-19 23:00:00,1.1804,1.1826,1.1826,20210900,20211200,20211200
2021-07-20 23:00:00,1.17945,1.18165,1.18165,20210900,20211200,20211200
2021-07-21 23:00:00,1.18125,1.18345,1.18345,20210900,20211200,20211200
2021-07-22 23:00:00,1.1783,1.18045,1.18045,20210900,20211200,20211200
2021-07-23 23:00:00,1.17825,1.18045,1.18045,20210900,20211200,20211200
2021-07-26 23:00:00,1.18125,1.18345,1.18345,20210900,20211200,20211200
2021-07-27 23:00:00,1.1834,1.18555,1.18555,20210900,20211200,20211200
2021-07-28 23:00:00,1.18495,1.1871,1.1871,20210900,20211200,20211200
2021-07-29 23:00:00,1.1901,1.19225,1.19225,20210900,20211200,20211200
2021-07-30 23:00:00,1.1866,1.18875,1.18875,20210900,20211200,20211200
2021-08-02 23:00:00,1.18825,1.1904,1.1904,20210900,20211200,20211200
2021-08-03 23:00:00,1.1872,1.18935,1.18935,20210900,20211200,20211200
2021-08-04 23:00:00,1.18475,1.18685,1.18685,20210900,20211200,20211200
2021-08-05 23:00:00,1.18445,1.18655,1.18655,20210900,20211200,20211200
2021-08-06 23:00:00,1.17655,1.17865,1.17865,20210900,20211200,20211200
2021-08-09 23:00:00,1.17485,1.17695,1.17695,20210900,20211200,20211200
2021-08-10 23:00:00,1.17295,1.17505,1.17505,20210900,20211200,20211200
2021-08-11 23:00:00,1.17455,1.17665,1.17665,20210900,20211200,20211200
2021-08-12 23:00:00,1.17365,1.17575,1.17575,20210900,20211200,20211200
2021-08-13 23:00:00,1.18015,1.18225,1.18225,20210900,20211200,20211200
2021-08-16 23:00:00,1.17815,1.18025,1.18025,20210900,20211200,20211200
2021-08-17 23:00:00,1.17165,1.17375,1.17375,20210900,20211200,20211200
2021-08-18 23:00:00,1.1718,1.1739,1.1739,20210900,20211200,20211200
2021-08-19 23:00:00,1.16805,1.17015,1.17015,20210900,20211200,20211200
2021-08-20 23:00:00,1.17015,1.17225,1.17225,20210900,20211200,20211200
2021-08-23 23:00:00,1.1753,1.1774,1.1774,20210900,20211200,20211200
2021-08-24 23:00:00,1.17595,1.17805,1.17805,20210900,20211200,20211200
2021-08-25 23:00:00,1.17755,1.17965,1.17965,20210900,20211200,20211200
2021-08-26 23:00:00,1.1755,1.1776,1.1776,20210900,20211200,20211200
2021-08-27 23:00:00,1.1798,1.1819,1.1819,20210900,20211200,20211200
2021-08-30 23:00:00,1.1807,1.1828,1.1828,20210900,20211200,20211200
