DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-15 23:00:00,1.0887,1.0881,1.0881,20210900,20211200,20211200
2021-06-16 23:00:00,1.0886,1.088,1.088,20210900,20211200,20211200
2021-06-17 23:00:00,1.0921,1.0915,1.0915,20210900,20211200,20211200
2021-06-18 23:00:00,1.0937,1.0931,1.0931,20210900,20211200,20211200
2021-06-21 23:00:00,1.0932,1.0926,1.0926,20210900,20211200,20211200
2021-06-22 23:00:00,1.0956,1.095,1.095,20210900,20211200,20211200
2021-06-23 23:00:00,1.0949,1.0942,1.0942,20210900,20211200,20211200
2021-06-24 23:00:00,1.0951,1.0945,1.0945,20210900,20211200,20211200
2021-06-25 23:00:00,1.0947,1.0941,1.0941,20210900,20211200,20211200
2021-06-28 23:00:00,1.0961,1.0955,1.0955,20210900,20211200,20211200
2021-06-29 23:00:00,1.0956,1.0949,1.0949,20210900,20211200,20211200
2021-06-30 23:00:00,1.0967,1.0961,1.0961,20210900,20211200,20211200
2021-07-01 23:00:00,1.0965,1.0959,1.0959,20210900,20211200,20211200
2021-07-02 23:00:00,1.0923,1.0917,1.0917,20210900,20211200,20211200
2021-07-06 23:00:00,1.093,1.0924,1.0924,20210900,20211200,20211200
2021-07-07 23:00:00,1.0917,1.091,1.091,20210900,20211200,20211200
2021-07-08 23:00:00,1.0838,1.0832,1.0832,20210900,20211200,20211200
2021-07-09 23:00:00,1.0852,1.0847,1.0847,20210900,20211200,20211200
2021-07-12 23:00:00,1.0851,1.0845,1.0845,20210900,20211200,20211200
2021-07-13 23:00:00,1.0821,1.0815,1.0815,20210900,20211200,20211200
2021-07-14 23:00:00,1.0816,1.081,1.081,20210900,20211200,20211200
2021-07-15 23:00:00,1.0836,1.0829,1.0829,20210900,20211200,20211200
2021-07-16 23:00:00,1.0857,1.0851,1.0851,20210900,20211200,20211200
2021-07-19 23:00:00,1.0825,1.082,1.082,20210900,20211200,20211200
2021-07-20 23:00:00,1.085,1.0844,1.0844,20210900,20211200,20211200
2021-07-21 23:00:00,1.082,1.0815,1.0815,20210900,20211200,20211200
2021-07-22 23:00:00,1.0815,1.0809,1.0809,20210900,20211200,20211200
2021-07-23 23:00:00,1.083,1.0824,1.0824,20210900,20211200,20211200
2021-07-26 23:00:00,1.0807,1.0802,1.0802,20210900,20211200,20211200
2021-07-27 23:00:00,1.0804,1.0798,1.0798,20210900,20211200,20211200
2021-07-28 23:00:00,1.0782,1.0776,1.0776,20210900,20211200,20211200
2021-07-29 23:00:00,1.0765,1.0759,1.0759,20210900,20211200,20211200
2021-07-30 23:00:00,1.0742,1.0737,1.0737,20210900,20211200,20211200
2021-08-02 23:00:00,1.0743,1.0737,1.0737,20210900,20211200,20211200
2021-08-03 23:00:00,1.0723,1.0717,1.0717,20210900,20211200,20211200
2021-08-04 23:00:00,1.0727,1.0721,1.0721,20210900,20211200,20211200
2021-08-05 23:00:00,1.0724,1.0718,1.0718,20210900,20211200,20211200
2021-08-06 23:00:00,1.0758,1.0752,1.0752,20210900,20211200,20211200
2021-08-09 23:00:00,1.08,1.0794,1.0794,20210900,20211200,20211200
2021-08-10 23:00:00,1.0817,1.081,1.081,20210900,20211200,20211200
2021-08-11 23:00:00,1.0819,1.0813,1.0813,20210900,20211200,20211200
2021-08-12 23:00:00,1.0835,1.0829,1.0829,20210900,20211200,20211200
2021-08-13 23:00:00,1.0793,1.0787,1.0787,20210900,20211200,20211200
2021-08-16 23:00:00,1.0741,1.0734,1.0734,20210900,20211200,20211200
2021-08-17 23:00:00,1.0711,1.0705,1.0705,20210900,20211200,20211200
2021-08-18 23:00:00,1.0734,1.0728,1.0728,20210900,20211200,20211200
2021-08-19 23:00:00,1.0723,1.0718,1.0718,20210900,20211200,20211200
2021-08-20 23:00:00,1.0732,1.0727,1.0727,20210900,20211200,20211200
2021-08-23 23:00:00,1.0719,1.0712,1.0712,20210900,20211200,20211200
2021-08-24 23:00:00,1.0728,1.0722,1.0722,20210900,20211200,20211200
2021-08-25 23:00:00,1.0753,1.0748,1.0748,20210900,20211200,20211200
2021-08-26 23:00:00,1.0789,1.0784,1.0784,20210900,20211200,20211200
2021-08-27 23:00:00,1.0748,1.0743,1.0743,20210900,20211200,20211200
2021-08-30 23:00:00,1.0819,1.0814,1.0814,20210900,20211200,20211200
2021-08-31 23:00:00,1.0806,1.0801,1.0801,20210900,20211200,20211200
2021-09-01 23:00:00,1.0841,1.0835,1.0835,20210900,20211200,20211200
2021-09-02 23:00:00,1.0861,1.0856,1.0856,20210900,20211200,20211200
2021-09-03 23:00:00,1.086,1.0855,1.0855,20210900,20211200,20211200
2021-09-07 23:00:00,1.089,1.0884,1.0884,20210900,20211200,20211200
2021-09-08 23:00:00,1.0895,1.089,1.089,20210900,20211200,20211200
2021-09-09 23:00:00,1.0846,1.0841,1.0841,20210900,20211200,20211200
2021-09-10 23:00:00,1.0844,1.084,1.084,20210900,20211200,20211200
2021-09-13 23:00:00,1.0869,1.0888,1.0888,20210900,20211200,20211200
2021-09-14 23:00:00,1.085,1.0845,1.0845,20211200,20220300,20220300
2021-09-15 23:00:00,1.0857,1.0853,1.0853,20211200,20220300,20220300
2021-09-16 23:00:00,1.0891,1.0887,1.0887,20211200,20220300,20220300
2021-09-17 23:00:00,1.093,1.0926,1.0926,20211200,20220300,20220300
2021-09-20 23:00:00,1.0874,1.087,1.087,20211200,20220300,20220300
2021-09-21 23:00:00,1.0825,1.0821,1.0821,20211200,20220300,20220300
2021-09-22 23:00:00,1.0833,1.0829,1.0829,20211200,20220300,20220300
2021-09-23 23:00:00,1.0844,1.0841,1.0841,20211200,20220300,20220300
