DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-12 23:00:00,100.49,100.46,100.525,20230300,20230600,20221200
2021-04-13 23:00:00,100.49,100.46,100.52,20230300,20230600,20221200
2021-04-14 23:00:00,100.475,100.44,100.505,20230300,20230600,20221200
2021-04-15 23:00:00,100.485,100.455,100.515,20230300,20230600,20221200
2021-04-16 23:00:00,100.45,100.415,100.475,20230600,20230900,20230300
2021-04-19 23:00:00,100.43,100.4,100.465,20230600,20230900,20230300
2021-04-20 23:00:00,100.43,100.4,100.465,20230600,20230900,20230300
2021-04-21 23:00:00,100.435,100.405,100.465,20230600,20230900,20230300
2021-04-22 23:00:00,100.435,100.405,100.465,20230600,20230900,20230300
2021-04-23 23:00:00,100.43,100.4,100.46,20230600,20230900,20230300
2021-04-26 23:00:00,100.425,100.39,100.455,20230600,20230900,20230300
2021-04-27 23:00:00,100.415,100.38,100.445,20230600,20230900,20230300
2021-04-28 23:00:00,100.4,100.36,100.435,20230600,20230900,20230300
2021-04-29 23:00:00,100.385,100.345,100.42,20230600,20230900,20230300
2021-04-30 23:00:00,100.39,100.35,100.43,20230600,20230900,20230300
2021-05-03 23:00:00,100.39,100.35,100.43,20230600,20230900,20230300
2021-05-04 23:00:00,100.41,100.375,100.445,20230600,20230900,20230300
2021-05-05 23:00:00,100.41,100.375,100.44,20230600,20230900,20230300
2021-05-06 23:00:00,100.405,100.37,100.44,20230600,20230900,20230300
2021-05-07 23:00:00,100.395,100.36,100.43,20230600,20230900,20230300
2021-05-10 23:00:00,100.395,100.36,100.435,20230600,20230900,20230300
2021-05-11 23:00:00,100.375,100.335,100.415,20230600,20230900,20230300
2021-05-12 23:00:00,100.36,100.315,100.4,20230600,20230900,20230300
2021-05-13 23:00:00,100.355,100.31,100.4,20230600,20230900,20230300
2021-05-14 23:00:00,100.36,100.315,100.405,20230600,20230900,20230300
2021-05-17 23:00:00,100.35,100.305,100.4,20230600,20230900,20230300
2021-05-18 23:00:00,100.355,100.305,100.4,20230600,20230900,20230300
2021-05-19 23:00:00,100.35,100.31,100.4,20230600,20230900,20230300
2021-05-20 23:00:00,100.345,100.305,100.395,20230600,20230900,20230300
2021-05-21 23:00:00,100.365,100.325,100.41,20230600,20230900,20230300
2021-05-24 23:00:00,100.375,100.335,100.415,20230600,20230900,20230300
2021-05-25 23:00:00,100.375,100.335,100.425,20230600,20230900,20230300
2021-05-26 23:00:00,100.395,100.365,100.43,20230600,20230900,20230300
2021-05-27 23:00:00,100.39,100.355,100.415,20230600,20230900,20230300
2021-05-28 23:00:00,100.39,100.355,100.42,20230600,20230900,20230300
2021-05-31 23:00:00,100.38,100.345,100.42,20230600,20230900,20230300
2021-06-01 23:00:00,100.385,100.35,100.425,20230600,20230900,20230300
2021-06-02 23:00:00,100.395,100.365,100.43,20230600,20230900,20230300
2021-06-03 23:00:00,100.385,100.35,100.425,20230600,20230900,20230300
2021-06-04 23:00:00,100.395,100.36,100.435,20230600,20230900,20230300
2021-06-07 23:00:00,100.395,100.36,100.43,20230600,20230900,20230300
2021-06-08 23:00:00,100.395,100.365,100.435,20230600,20230900,20230300
2021-06-09 23:00:00,100.415,100.365,100.445,20230600,20230900,20230300
2021-06-10 23:00:00,100.415,100.38,100.445,20230600,20230900,20230300
2021-06-11 23:00:00,100.42,100.39,100.455,20230600,20230900,20230300
2021-06-14 23:00:00,100.415,100.385,100.445,20230600,20230900,20230300
2021-06-15 23:00:00,100.41,100.375,100.44,20230600,20230900,20230300
2021-06-16 23:00:00,100.41,100.375,100.44,20230600,20230900,20230300
2021-06-17 23:00:00,100.395,100.36,100.43,20230600,20230900,20230300
2021-06-18 23:00:00,100.385,100.355,100.415,20230600,20230900,20230300
2021-06-21 23:00:00,100.365,100.33,100.4,20230600,20230900,20230300
2021-06-22 23:00:00,100.365,100.335,100.4,20230600,20230900,20230300
2021-06-23 23:00:00,100.37,100.335,100.405,20230600,20230900,20230300
2021-06-24 23:00:00,100.37,100.335,100.4,20230600,20230900,20230300
2021-06-25 23:00:00,100.35,100.315,100.39,20230600,20230900,20230300
2021-06-28 23:00:00,100.36,100.315,100.395,20230600,20230900,20230300
2021-06-29 23:00:00,100.36,100.315,100.395,20230600,20230900,20230300
2021-06-30 23:00:00,100.375,100.33,100.41,20230600,20230900,20230300
2021-07-01 23:00:00,100.375,100.335,100.41,20230600,20230900,20230300
2021-07-02 23:00:00,100.39,100.355,100.425,20230600,20230900,20230300
2021-07-05 23:00:00,100.38,100.35,100.415,20230600,20230900,20230300
2021-07-06 23:00:00,100.4,100.37,100.43,20230600,20230900,20230300
2021-07-07 23:00:00,100.41,100.37,100.435,20230600,20230900,20230300
2021-07-08 23:00:00,100.42,100.395,100.44,20230600,20230900,20230300
2021-07-09 23:00:00,100.405,100.38,100.43,20230600,20230900,20230300
2021-07-12 23:00:00,100.405,100.38,100.43,20230600,20230900,20230300
2021-07-13 23:00:00,100.405,100.375,100.43,20230600,20230900,20230300
2021-07-14 23:00:00,100.4,100.375,100.43,20230600,20230900,20230300
2021-07-15 23:00:00,100.4,100.375,100.43,20230600,20230900,20230300
2021-07-16 23:00:00,100.405,100.38,100.435,20230600,20230900,20230300
2021-07-19 23:00:00,100.4,100.375,100.41,20230900,20231200,20230600
2021-07-20 23:00:00,100.405,100.385,100.425,20230900,20231200,20230600
2021-07-21 23:00:00,100.415,100.385,100.42,20230900,20231200,20230600
2021-07-22 23:00:00,100.415,100.395,100.44,20230900,20231200,20230600
2021-07-23 23:00:00,100.415,100.39,100.445,20230900,20231200,20230600
