DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-14 23:00:00,456.1,454.9,454.9,20210900,20211200,20211200
2021-06-15 23:00:00,456.4,455.3,455.3,20210900,20211200,20211200
2021-06-16 23:00:00,457.6,456.5,456.5,20210900,20211200,20211200
2021-06-17 23:00:00,456.9,455.8,455.8,20210900,20211200,20211200
2021-06-18 23:00:00,449.3,448.2,448.2,20210900,20211200,20211200
2021-06-21 23:00:00,453.1,451.0,451.0,20210900,20211200,20211200
2021-06-22 23:00:00,454.8,452.7,452.7,20210900,20211200,20211200
2021-06-23 23:00:00,451.4,449.3,449.3,20210900,20211200,20211200
2021-06-24 23:00:00,455.1,453.0,453.0,20210900,20211200,20211200
2021-06-25 23:00:00,455.9,453.8,453.8,20210900,20211200,20211200
2021-06-28 23:00:00,452.7,450.6,450.6,20210900,20211200,20211200
2021-06-29 23:00:00,454.7,452.6,452.6,20210900,20211200,20211200
2021-06-30 23:00:00,451.2,449.1,449.1,20210900,20211200,20211200
2021-07-01 23:00:00,453.6,451.5,451.5,20210900,20211200,20211200
2021-07-02 23:00:00,454.7,452.6,452.6,20210900,20211200,20211200
2021-07-05 23:00:00,456.6,454.4,454.4,20210900,20211200,20211200
2021-07-06 23:00:00,453.6,451.4,451.4,20210900,20211200,20211200
2021-07-07 23:00:00,457.5,455.3,455.3,20210900,20211200,20211200
2021-07-08 23:00:00,449.7,447.5,447.5,20210900,20211200,20211200
2021-07-09 23:00:00,455.7,453.5,453.5,20210900,20211200,20211200
2021-07-12 23:00:00,459.4,457.2,457.2,20210900,20211200,20211200
2021-07-13 23:00:00,459.0,456.8,456.8,20210900,20211200,20211200
2021-07-14 23:00:00,458.9,456.7,456.7,20210900,20211200,20211200
2021-07-15 23:00:00,454.4,452.2,452.2,20210900,20211200,20211200
2021-07-16 23:00:00,452.7,450.5,450.5,20210900,20211200,20211200
2021-07-19 23:00:00,442.3,440.2,440.2,20210900,20211200,20211200
2021-07-20 23:00:00,444.7,442.6,442.6,20210900,20211200,20211200
2021-07-21 23:00:00,452.4,450.3,450.3,20210900,20211200,20211200
2021-07-22 23:00:00,454.8,452.7,452.7,20210900,20211200,20211200
2021-07-23 23:00:00,460.2,458.1,458.1,20210900,20211200,20211200
2021-07-26 23:00:00,459.3,457.1,457.1,20210900,20211200,20211200
2021-07-27 23:00:00,457.0,454.8,454.8,20210900,20211200,20211200
2021-07-28 23:00:00,460.1,457.9,457.9,20210900,20211200,20211200
2021-07-29 23:00:00,462.2,460.0,460.0,20210900,20211200,20211200
2021-07-30 23:00:00,460.6,458.4,458.4,20210900,20211200,20211200
2021-08-02 23:00:00,463.1,460.9,460.9,20210900,20211200,20211200
2021-08-03 23:00:00,464.1,461.9,461.9,20210900,20211200,20211200
2021-08-04 23:00:00,466.6,464.4,464.4,20210900,20211200,20211200
2021-08-05 23:00:00,468.7,466.5,466.5,20210900,20211200,20211200
2021-08-06 23:00:00,468.7,466.5,466.5,20210900,20211200,20211200
2021-08-09 23:00:00,469.6,467.3,467.3,20210900,20211200,20211200
2021-08-10 23:00:00,471.0,468.7,468.7,20210900,20211200,20211200
2021-08-11 23:00:00,472.9,470.6,470.6,20210900,20211200,20211200
2021-08-12 23:00:00,474.0,471.7,471.7,20210900,20211200,20211200
2021-08-13 23:00:00,475.0,472.7,472.7,20210900,20211200,20211200
2021-08-16 23:00:00,472.3,470.0,470.0,20210900,20211200,20211200
