DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-21 23:00:00,455.0,451.4,451.4,20210900,20211200,20211200
2021-06-22 23:00:00,456.6,453.0,453.0,20210900,20211200,20211200
2021-06-23 23:00:00,452.3,448.7,448.7,20210900,20211200,20211200
2021-06-24 23:00:00,457.8,454.2,454.2,20210900,20211200,20211200
2021-06-25 23:00:00,458.3,454.7,454.7,20210900,20211200,20211200
2021-06-28 23:00:00,454.6,451.0,451.0,20210900,20211200,20211200
2021-06-29 23:00:00,457.1,453.5,453.5,20210900,20211200,20211200
2021-06-30 23:00:00,452.7,449.1,449.1,20210900,20211200,20211200
2021-07-01 23:00:00,454.4,450.8,450.8,20210900,20211200,20211200
2021-07-02 23:00:00,454.9,451.3,451.3,20210900,20211200,20211200
2021-07-05 23:00:00,456.1,452.5,452.5,20210900,20211200,20211200
2021-07-06 23:00:00,451.7,448.1,448.1,20210900,20211200,20211200
2021-07-07 23:00:00,455.1,451.5,451.5,20210900,20211200,20211200
2021-07-08 23:00:00,444.8,441.2,441.2,20210900,20211200,20211200
2021-07-09 23:00:00,452.7,449.1,449.1,20210900,20211200,20211200
2021-07-12 23:00:00,457.6,454.0,454.0,20210900,20211200,20211200
2021-07-13 23:00:00,456.8,453.2,453.2,20210900,20211200,20211200
2021-07-14 23:00:00,457.9,454.3,454.3,20210900,20211200,20211200
2021-07-15 23:00:00,453.0,449.4,449.4,20210900,20211200,20211200
2021-07-16 23:00:00,450.5,446.9,446.9,20210900,20211200,20211200
2021-07-19 23:00:00,439.3,435.7,435.7,20210900,20211200,20211200
2021-07-20 23:00:00,442.7,439.1,439.1,20210900,20211200,20211200
2021-07-21 23:00:00,450.6,447.0,447.0,20210900,20211200,20211200
2021-07-22 23:00:00,453.7,450.1,450.1,20210900,20211200,20211200
2021-07-23 23:00:00,462.6,459.0,459.0,20210900,20211200,20211200
2021-07-26 23:00:00,459.2,455.6,455.6,20210900,20211200,20211200
2021-07-27 23:00:00,454.9,451.3,451.3,20210900,20211200,20211200
2021-07-28 23:00:00,459.1,455.5,455.5,20210900,20211200,20211200
2021-07-29 23:00:00,461.3,457.7,457.7,20210900,20211200,20211200
2021-07-30 23:00:00,461.7,458.1,458.1,20210900,20211200,20211200
2021-08-02 23:00:00,459.7,456.1,456.1,20210900,20211200,20211200
2021-08-03 23:00:00,462.6,459.0,459.0,20210900,20211200,20211200
2021-08-04 23:00:00,465.6,462.0,462.0,20210900,20211200,20211200
2021-08-05 23:00:00,467.2,463.6,463.6,20210900,20211200,20211200
2021-08-06 23:00:00,469.4,465.8,465.8,20210900,20211200,20211200
2021-08-09 23:00:00,469.9,466.3,466.3,20210900,20211200,20211200
2021-08-10 23:00:00,471.1,467.5,467.5,20210900,20211200,20211200
2021-08-11 23:00:00,472.5,468.9,468.9,20210900,20211200,20211200
2021-08-12 23:00:00,474.1,470.5,470.5,20210900,20211200,20211200
2021-08-13 23:00:00,475.8,472.2,472.2,20210900,20211200,20211200
2021-08-16 23:00:00,472.0,468.4,468.4,20210900,20211200,20211200
2021-08-17 23:00:00,472.1,468.5,468.5,20210900,20211200,20211200
2021-08-18 23:00:00,468.1,464.5,464.5,20210900,20211200,20211200
2021-08-19 23:00:00,464.1,460.5,460.5,20210900,20211200,20211200
2021-08-20 23:00:00,466.2,462.6,462.6,20210900,20211200,20211200
2021-08-23 23:00:00,470.5,466.9,466.9,20210900,20211200,20211200
2021-08-24 23:00:00,470.2,466.6,466.6,20210900,20211200,20211200
2021-08-25 23:00:00,470.7,467.1,467.1,20210900,20211200,20211200
2021-08-26 23:00:00,469.2,465.6,465.6,20210900,20211200,20211200
2021-08-27 23:00:00,470.9,467.3,467.3,20210900,20211200,20211200
2021-08-30 23:00:00,471.9,468.2,468.2,20210900,20211200,20211200
2021-08-31 23:00:00,470.0,466.3,466.3,20210900,20211200,20211200
2021-09-01 23:00:00,474.3,470.6,470.6,20210900,20211200,20211200
2021-09-02 23:00:00,475.5,471.8,471.8,20210900,20211200,20211200
2021-09-03 23:00:00,472.0,468.3,468.3,20210900,20211200,20211200
2021-09-06 23:00:00,476.1,472.4,472.4,20210900,20211200,20211200
2021-09-07 23:00:00,474.4,470.7,470.7,20210900,20211200,20211200
2021-09-08 23:00:00,469.8,466.1,466.1,20210900,20211200,20211200
2021-09-09 23:00:00,469.6,466.1,466.1,20210900,20211200,20211200
2021-09-10 23:00:00,468.1,465.1,465.1,20210900,20211200,20211200
2021-09-13 23:00:00,470.2,467.5,467.5,20210900,20211200,20211200
2021-09-14 23:00:00,470.2,467.5,467.5,20210900,20211200,20211200
2021-09-15 23:00:00,466.6,463.9,463.9,20210900,20211200,20211200
2021-09-16 23:00:00,468.9,466.2,466.2,20210900,20211200,20211200
2021-09-17 23:00:00,468.55,461.0,461.0,20210900,20211200,20211200
