DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-15 23:00:00,348.0,340.7,340.7,20210900,20211200,20211200
2021-06-16 23:00:00,348.3,341.0,341.0,20210900,20211200,20211200
2021-06-17 23:00:00,346.1,338.7,338.7,20210900,20211200,20211200
2021-06-18 23:00:00,341.1,333.7,333.7,20210900,20211200,20211200
2021-06-21 23:00:00,343.3,334.8,334.8,20210900,20211200,20211200
2021-06-22 23:00:00,344.0,335.5,335.5,20210900,20211200,20211200
2021-06-23 23:00:00,341.5,333.0,333.0,20210900,20211200,20211200
2021-06-24 23:00:00,343.7,335.2,335.2,20210900,20211200,20211200
2021-06-25 23:00:00,345.2,336.7,336.7,20210900,20211200,20211200
2021-06-28 23:00:00,342.5,334.0,334.0,20210900,20211200,20211200
2021-06-29 23:00:00,343.9,335.4,335.4,20210900,20211200,20211200
2021-06-30 23:00:00,341.4,332.9,332.9,20210900,20211200,20211200
2021-07-01 23:00:00,344.5,336.0,336.0,20210900,20211200,20211200
2021-07-02 23:00:00,345.3,336.8,336.8,20210900,20211200,20211200
2021-07-05 23:00:00,347.0,338.5,338.5,20210900,20211200,20211200
2021-07-06 23:00:00,345.6,337.1,337.1,20210900,20211200,20211200
2021-07-07 23:00:00,347.1,338.6,338.6,20210900,20211200,20211200
2021-07-08 23:00:00,341.6,333.1,333.1,20210900,20211200,20211200
2021-07-09 23:00:00,345.4,336.9,336.9,20210900,20211200,20211200
2021-07-12 23:00:00,348.1,339.6,339.6,20210900,20211200,20211200
2021-07-13 23:00:00,346.7,338.2,338.2,20210900,20211200,20211200
2021-07-14 23:00:00,346.5,338.0,338.0,20210900,20211200,20211200
2021-07-15 23:00:00,343.3,334.8,334.8,20210900,20211200,20211200
2021-07-16 23:00:00,343.1,334.6,334.6,20210900,20211200,20211200
2021-07-19 23:00:00,336.3,327.8,327.8,20210900,20211200,20211200
2021-07-20 23:00:00,339.0,330.5,330.5,20210900,20211200,20211200
2021-07-21 23:00:00,344.2,335.7,335.7,20210900,20211200,20211200
2021-07-22 23:00:00,346.2,337.7,337.7,20210900,20211200,20211200
2021-07-23 23:00:00,350.5,342.0,342.0,20210900,20211200,20211200
2021-07-26 23:00:00,349.9,341.4,341.4,20210900,20211200,20211200
2021-07-27 23:00:00,347.7,339.2,339.2,20210900,20211200,20211200
2021-07-28 23:00:00,351.8,343.3,343.3,20210900,20211200,20211200
2021-07-29 23:00:00,351.6,343.1,343.1,20210900,20211200,20211200
2021-07-30 23:00:00,350.4,341.9,341.9,20210900,20211200,20211200
2021-08-02 23:00:00,353.0,344.5,344.5,20210900,20211200,20211200
