DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-15 23:00:00,4129.0,4107.0,4107.0,20210900,20211200,20211200
2021-06-16 23:00:00,4137.0,4115.0,4115.0,20210900,20211200,20211200
2021-06-17 23:00:00,4141.0,4119.0,4119.0,20210900,20211200,20211200
2021-06-18 23:00:00,4062.0,4040.0,4040.0,20210900,20211200,20211200
2021-06-21 23:00:00,4094.0,4072.0,4072.0,20210900,20211200,20211200
2021-06-22 23:00:00,4111.5,4090.0,4090.0,20210900,20211200,20211200
2021-06-23 23:00:00,4068.0,4046.5,4046.5,20210900,20211200,20211200
2021-06-24 23:00:00,4108.5,4086.5,4086.5,20210900,20211200,20211200
2021-06-25 23:00:00,4108.5,4087.0,4087.0,20210900,20211200,20211200
2021-06-28 23:00:00,4076.0,4054.0,4054.0,20210900,20211200,20211200
2021-06-29 23:00:00,4097.5,4075.5,4075.5,20210900,20211200,20211200
2021-06-30 23:00:00,4055.5,4033.5,4033.5,20210900,20211200,20211200
2021-07-01 23:00:00,4064.0,4042.0,4042.0,20210900,20211200,20211200
2021-07-02 23:00:00,4067.5,4045.5,4045.5,20210900,20211200,20211200
2021-07-05 23:00:00,4077.5,4055.5,4055.5,20210900,20211200,20211200
2021-07-06 23:00:00,4033.0,4011.0,4011.0,20210900,20211200,20211200
2021-07-07 23:00:00,4064.5,4042.5,4042.5,20210900,20211200,20211200
2021-07-08 23:00:00,3980.0,3958.5,3958.5,20210900,20211200,20211200
2021-07-09 23:00:00,4052.0,4030.0,4030.0,20210900,20211200,20211200
2021-07-12 23:00:00,4089.0,4067.0,4067.0,20210900,20211200,20211200
2021-07-13 23:00:00,4080.5,4058.5,4058.5,20210900,20211200,20211200
2021-07-14 23:00:00,4091.5,4070.0,4070.0,20210900,20211200,20211200
2021-07-15 23:00:00,4045.5,4024.0,4024.0,20210900,20211200,20211200
2021-07-16 23:00:00,4021.5,4000.0,4000.0,20210900,20211200,20211200
2021-07-19 23:00:00,3915.0,3893.5,3893.5,20210900,20211200,20211200
2021-07-20 23:00:00,3949.5,3928.0,3928.0,20210900,20211200,20211200
2021-07-21 23:00:00,4019.0,3997.5,3997.5,20210900,20211200,20211200
2021-07-22 23:00:00,4050.0,4028.5,4028.5,20210900,20211200,20211200
2021-07-23 23:00:00,4105.5,4084.0,4084.0,20210900,20211200,20211200
