DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-19 23:00:00,21120.0,20952.5,20952.5,20210500,20210600,20210600
2021-04-26 23:00:00,20985.0,20815.0,20815.0,20210500,20210600,20210600
2021-04-27 23:00:00,20967.5,,,20210500,20210600,20210600
2021-04-28 23:00:00,21052.5,,,20210500,20210600,20210600
2021-04-29 23:00:00,21180.0,,,20210500,20210600,20210600
2021-04-30 23:00:00,20670.0,,,20210500,20210600,20210600
2021-05-01 23:00:00,20665.0,,,20210500,20210600,20210600
2021-05-03 23:00:00,20500.0,20327.5,20327.5,20210500,20210600,20210600
2021-05-04 23:00:00,20582.5,,,20210500,20210600,20210600
2021-05-05 23:00:00,20455.0,,,20210500,20210600,20210600
2021-05-06 23:00:00,20455.0,,,20210500,20210600,20210600
2021-05-07 23:00:00,20415.0,,,20210500,20210600,20210600
2021-05-10 23:00:00,20262.5,20087.5,20087.5,20210500,20210600,20210600
2021-05-17 23:00:00,19700.0,19537.5,19537.5,20210600,20210700,20210700
2021-05-21 23:00:00,20152.5,,,20210600,20210700,20210700
2021-05-24 23:00:00,19992.5,19832.5,19832.5,20210600,20210700,20210700
2021-05-25 23:00:00,20425.0,,,20210600,20210700,20210700
2021-05-26 23:00:00,20602.5,,,20210600,20210700,20210700
2021-05-27 23:00:00,20465.0,,,20210600,20210700,20210700
2021-05-28 23:00:00,20402.5,,,20210600,20210700,20210700
2021-05-29 23:00:00,20390.0,,,20210600,20210700,20210700
2021-05-31 23:00:00,20770.0,20602.5,20602.5,20210600,20210700,20210700
2021-06-01 23:00:00,21082.5,,,20210600,20210700,20210700
2021-06-02 23:00:00,20967.5,,,20210600,20210700,20210700
2021-06-03 23:00:00,20685.0,,,20210600,20210700,20210700
2021-06-04 23:00:00,20622.5,,,20210600,20210700,20210700
2021-06-07 23:00:00,20467.5,20300.0,20300.0,20210600,20210700,20210700
2021-06-14 23:00:00,20382.5,20380.0,20380.0,20210700,20210800,20210800
2021-06-21 23:00:00,20045.0,20040.0,20040.0,20210700,20210800,20210800
2021-06-24 23:00:00,20380.0,,,20210700,20210800,20210800
2021-06-25 23:00:00,20785.0,,,20210700,20210800,20210800
2021-06-28 23:00:00,20802.5,20810.0,20810.0,20210700,20210800,20210800
2021-06-29 23:00:00,20607.5,,,20210700,20210800,20210800
2021-06-30 23:00:00,20487.5,,,20210700,20210800,20210800
2021-07-02 23:00:00,20007.5,,,20210700,20210800,20210800
2021-07-05 23:00:00,19777.5,19780.0,19780.0,20210700,20210800,20210800
2021-07-06 23:00:00,19755.0,,,20210700,20210800,20210800
2021-07-07 23:00:00,19685.0,,,20210700,20210800,20210800
2021-07-08 23:00:00,18990.0,,,20210700,20210800,20210800
2021-07-09 23:00:00,19210.0,,,20210700,20210800,20210800
2021-07-10 23:00:00,19445.0,,,20210700,20210800,20210800
2021-07-12 23:00:00,19400.0,19402.5,19402.5,20210700,20210800,20210800
2021-07-13 23:00:00,19620.0,,,20210800,20210900,20210900
2021-07-14 23:00:00,19617.5,,,20210800,20210900,20210900
2021-07-15 23:00:00,19862.5,,,20210800,20210900,20210900
2021-07-16 23:00:00,19912.5,,,20210800,20210900,20210900
2021-07-19 23:00:00,19495.0,19455.0,19455.0,20210800,20210900,20210900
2021-07-20 23:00:00,19215.0,,,20210800,20210900,20210900
2021-07-21 23:00:00,22445.0,,,20210800,20210900,20210900
2021-07-22 23:00:00,19455.0,,,20210800,20210900,20210900
2021-07-23 23:00:00,19335.0,19397.5,19397.5,20210800,20210900,20210900
2021-07-24 23:00:00,18907.5,,,20210800,20210900,20210900
2021-07-26 23:00:00,18127.5,18090.0,18090.0,20210800,20210900,20210900
2021-07-27 23:00:00,16897.5,,,20210800,20210900,20210900
2021-07-28 23:00:00,17410.0,,,20210800,20210900,20210900
2021-07-29 23:00:00,18330.0,,,20210800,20210900,20210900
2021-07-30 23:00:00,17910.0,,,20210800,20210900,20210900
2021-07-31 23:00:00,18052.5,,,20210800,20210900,20210900
2021-08-02 23:00:00,18137.5,18097.5,18097.5,20210800,20210900,20210900
2021-08-03 23:00:00,18055.0,,,20210800,20210900,20210900
2021-08-04 23:00:00,18310.0,,,20210800,20210900,20210900
2021-08-05 23:00:00,18087.5,,,20210800,20210900,20210900
2021-08-06 23:00:00,18042.5,,,20210800,20210900,20210900
2021-08-07 23:00:00,17902.5,,,20210800,20210900,20210900
2021-08-09 23:00:00,18162.5,18122.5,18122.5,20210800,20210900,20210900
2021-08-16 23:00:00,18045.0,18047.5,18047.5,20210900,20211000,20211000
2021-08-23 23:00:00,17150.0,17152.5,17152.5,20210900,20211000,20211000
2021-08-24 23:00:00,17800.0,,,20210900,20211000,20211000
2021-08-25 23:00:00,17910.0,,,20210900,20211000,20211000
2021-08-26 23:00:00,17645.0,,,20210900,20211000,20211000
2021-08-27 23:00:00,17732.5,,,20210900,20211000,20211000
2021-08-28 23:00:00,17747.5,,,20210900,20211000,20211000
2021-08-30 23:00:00,17822.5,17822.5,17822.5,20210900,20211000,20211000
2021-08-31 23:00:00,18140.0,,,20210900,20211000,20211000
2021-09-01 23:00:00,18310.0,,,20210900,20211000,20211000
2021-09-02 23:00:00,18427.5,,,20210900,20211000,20211000
2021-09-03 23:00:00,18322.5,,,20210900,20211000,20211000
2021-09-04 23:00:00,18297.5,,,20210900,20211000,20211000
2021-09-06 23:00:00,18540.0,18537.5,18537.5,20210900,20211000,20211000
