DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-19 23:00:00,3062.0,3058.0,3058.0,20210500,20210600,20210600
2021-04-26 23:00:00,3019.0,3014.0,3014.0,20210500,20210600,20210600
2021-04-27 23:00:00,3015.0,,,20210500,20210600,20210600
2021-04-28 23:00:00,3003.0,,,20210500,20210600,20210600
2021-04-29 23:00:00,3024.0,,,20210500,20210600,20210600
2021-04-30 23:00:00,3014.0,,,20210500,20210600,20210600
2021-05-01 23:00:00,3012.0,,,20210500,20210600,20210600
2021-05-03 23:00:00,2987.0,2981.0,2981.0,20210500,20210600,20210600
2021-05-04 23:00:00,3009.0,,,20210500,20210600,20210600
2021-05-05 23:00:00,3010.0,,,20210500,20210600,20210600
2021-05-06 23:00:00,3001.0,,,20210500,20210600,20210600
2021-05-07 23:00:00,2955.0,,,20210500,20210600,20210600
2021-05-08 23:00:00,3003.0,,,20210500,20210600,20210600
2021-05-10 23:00:00,3001.0,2995.0,2995.0,20210500,20210600,20210600
2021-05-11 23:00:00,2972.0,,,20210500,20210600,20210600
2021-05-12 23:00:00,2955.0,,,20210500,20210600,20210600
2021-05-13 23:00:00,2918.0,,,20210500,20210600,20210600
2021-05-14 23:00:00,2955.0,,,20210500,20210600,20210600
2021-05-15 23:00:00,2969.0,,,20210500,20210600,20210600
2021-05-17 23:00:00,2939.0,2935.0,2935.0,20210500,20210600,20210600
2021-05-18 23:00:00,2944.0,,,20210500,20210600,20210600
2021-05-19 23:00:00,2886.0,,,20210500,20210600,20210600
2021-05-20 23:00:00,2931.0,,,20210500,20210600,20210600
2021-05-21 23:00:00,2912.0,2908.0,2908.0,20210500,20210600,20210600
2021-05-22 23:00:00,2905.0,,,20210500,20210600,20210600
2021-05-24 23:00:00,2928.0,2928.0,2928.0,20210500,20210600,20210600
2021-05-25 23:00:00,2921.0,,,20210600,20210700,20210700
2021-05-26 23:00:00,2928.0,,,20210600,20210700,20210700
2021-05-27 23:00:00,2946.0,,,20210600,20210700,20210700
2021-05-28 23:00:00,2958.0,,,20210600,20210700,20210700
2021-05-31 23:00:00,3005.0,3012.0,3012.0,20210600,20210700,20210700
2021-06-01 23:00:00,3003.0,,,20210600,20210700,20210700
2021-06-02 23:00:00,3052.0,,,20210600,20210700,20210700
2021-06-03 23:00:00,3098.0,,,20210600,20210700,20210700
2021-06-04 23:00:00,3093.0,,,20210600,20210700,20210700
2021-06-07 23:00:00,3063.0,3070.0,3070.0,20210600,20210700,20210700
2021-06-08 23:00:00,3018.0,,,20210600,20210700,20210700
2021-06-09 23:00:00,3054.0,,,20210600,20210700,20210700
2021-06-10 23:00:00,3083.0,,,20210600,20210700,20210700
2021-06-11 23:00:00,3061.0,,,20210600,20210700,20210700
2021-06-14 23:00:00,3043.0,3052.0,3052.0,20210600,20210700,20210700
2021-06-15 23:00:00,3035.0,,,20210600,20210700,20210700
2021-06-16 23:00:00,2990.0,,,20210600,20210700,20210700
2021-06-17 23:00:00,2970.0,,,20210600,20210700,20210700
2021-06-18 23:00:00,2930.0,,,20210600,20210700,20210700
2021-06-19 23:00:00,2911.0,,,20210600,20210700,20210700
2021-06-21 23:00:00,2918.0,2930.0,2930.0,20210600,20210700,20210700
2021-06-22 23:00:00,2950.0,2950.0,2950.0,20210600,20210700,20210700
2021-06-23 23:00:00,2923.0,,,20210700,20210800,20210800
2021-06-24 23:00:00,2911.0,,,20210700,20210800,20210800
2021-06-25 23:00:00,2904.0,,,20210700,20210800,20210800
2021-06-28 23:00:00,2827.0,2861.0,2861.0,20210700,20210800,20210800
2021-06-29 23:00:00,2845.0,,,20210700,20210800,20210800
2021-06-30 23:00:00,2848.0,,,20210700,20210800,20210800
2021-07-01 23:00:00,2853.0,,,20210700,20210800,20210800
2021-07-02 23:00:00,2881.0,,,20210700,20210800,20210800
2021-07-03 23:00:00,2888.0,,,20210700,20210800,20210800
2021-07-05 23:00:00,2863.0,2872.0,2872.0,20210700,20210800,20210800
2021-07-06 23:00:00,2859.0,2875.0,2875.0,20210700,20210800,20210800
2021-07-07 23:00:00,2832.0,,,20210700,20210800,20210800
2021-07-08 23:00:00,2822.0,,,20210700,20210800,20210800
2021-07-09 23:00:00,2835.0,,,20210700,20210800,20210800
2021-07-12 23:00:00,2861.0,2871.0,2871.0,20210700,20210800,20210800
2021-07-13 23:00:00,2821.0,,,20210700,20210800,20210800
2021-07-14 23:00:00,2793.0,,,20210700,20210800,20210800
2021-07-15 23:00:00,2833.0,2794.0,2794.0,20210700,20210800,20210800
2021-07-19 23:00:00,2850.0,2861.0,2861.0,20210800,20210900,20210900
2021-07-22 23:00:00,2884.0,,,20210800,20210900,20210900
2021-07-23 23:00:00,2860.0,,,20210800,20210900,20210900
2021-07-26 23:00:00,2847.0,2870.0,2870.0,20210800,20210900,20210900
2021-07-27 23:00:00,2845.0,,,20210800,20210900,20210900
2021-07-28 23:00:00,2818.0,,,20210800,20210900,20210900
2021-07-29 23:00:00,2832.0,,,20210800,20210900,20210900
2021-07-30 23:00:00,2806.0,2841.0,2841.0,20210800,20210900,20210900
2021-07-31 23:00:00,2812.0,,,20210800,20210900,20210900
2021-08-02 23:00:00,2830.0,2835.0,2835.0,20210800,20210900,20210900
2021-08-03 23:00:00,2876.0,,,20210800,20210900,20210900
2021-08-04 23:00:00,2874.0,,,20210800,20210900,20210900
2021-08-05 23:00:00,2911.0,,,20210800,20210900,20210900
2021-08-06 23:00:00,2892.0,,,20210800,20210900,20210900
2021-08-07 23:00:00,2888.0,,,20210800,20210900,20210900
2021-08-09 23:00:00,2860.0,2867.0,2867.0,20210800,20210900,20210900
2021-08-10 23:00:00,2854.0,,,20210800,20210900,20210900
2021-08-11 23:00:00,2853.0,,,20210800,20210900,20210900
2021-08-12 23:00:00,2901.0,2899.0,2899.0,20210800,20210900,20210900
2021-08-13 23:00:00,2909.0,,,20210800,20210900,20210900
2021-08-14 23:00:00,2909.0,,,20210800,20210900,20210900
2021-08-16 23:00:00,2920.0,2927.0,2927.0,20210800,20210900,20210900
2021-08-17 23:00:00,2917.0,,,20210800,20210900,20210900
2021-08-18 23:00:00,2986.0,,,20210800,20210900,20210900
2021-08-19 23:00:00,2922.0,,,20210800,20210900,20210900
2021-08-20 23:00:00,2940.0,,,20210800,20210900,20210900
2021-08-23 23:00:00,2961.0,2960.0,2960.0,20210800,20210900,20210900
2021-08-24 23:00:00,2928.0,,,20210900,20211000,20211000
2021-08-25 23:00:00,2957.0,,,20210900,20211000,20211000
2021-08-26 23:00:00,2923.0,,,20210900,20211000,20211000
2021-08-27 23:00:00,2923.0,,,20210900,20211000,20211000
2021-08-30 23:00:00,2976.0,2992.0,2992.0,20210900,20211000,20211000
2021-08-31 23:00:00,2984.0,2974.0,2974.0,20210900,20211000,20211000
2021-09-01 23:00:00,2959.0,,,20210900,20211000,20211000
2021-09-02 23:00:00,2964.0,,,20210900,20211000,20211000
2021-09-03 23:00:00,2999.0,3002.0,3002.0,20210900,20211000,20211000
2021-09-06 23:00:00,3009.0,3014.0,3014.0,20210900,20211000,20211000
2021-09-07 23:00:00,3012.0,,,20210900,20211000,20211000
2021-09-08 23:00:00,2949.0,,,20210900,20211000,20211000
2021-09-09 23:00:00,2994.0,2973.0,2973.0,20210900,20211000,20211000
2021-09-10 23:00:00,2990.0,,,20210900,20211000,20211000
2021-09-11 23:00:00,2981.0,,,20210900,20211000,20211000
2021-09-13 23:00:00,2978.0,2987.0,2987.0,20210900,20211000,20211000
2021-09-14 23:00:00,2996.0,,,20210900,20211000,20211000
2021-09-15 23:00:00,2973.0,,,20210900,20211000,20211000
2021-09-16 23:00:00,2971.0,2983.0,2983.0,20210900,20211000,20211000
2021-09-17 23:00:00,2963.0,,,20210900,20211000,20211000
2021-09-18 23:00:00,2946.0,,,20210900,20211000,20211000
2021-09-20 23:00:00,2944.0,2952.0,2952.0,20210900,20211000,20211000
2021-09-21 23:00:00,2935.0,,,20210900,20211000,20211000
2021-09-22 23:00:00,2967.0,2958.0,2958.0,20210900,20211000,20211000
2021-09-23 23:00:00,2981.0,2974.0,2974.0,20210900,20211000,20211000
2021-09-24 23:00:00,2967.0,,,20211000,20211100,20211100
2021-09-27 23:00:00,2963.0,2982.0,2982.0,20211000,20211100,20211100
2021-09-28 23:00:00,2943.0,,,20211000,20211100,20211100
2021-09-29 23:00:00,2991.0,,,20211000,20211100,20211100
2021-09-30 23:00:00,3075.0,,,20211000,20211100,20211100
2021-10-01 23:00:00,3064.0,,,20211000,20211100,20211100
2021-10-02 23:00:00,3060.0,,,20211000,20211100,20211100
2021-10-04 23:00:00,3138.0,3146.0,3146.0,20211000,20211100,20211100
2021-10-05 23:00:00,3110.0,,,20211000,20211100,20211100
2021-10-06 23:00:00,3200.0,,,20211000,20211100,20211100
2021-10-07 23:00:00,3208.0,,,20211000,20211100,20211100
2021-10-08 23:00:00,3255.0,,,20211000,20211100,20211100
2021-10-09 23:00:00,3265.0,,,20211000,20211100,20211100
2021-10-11 23:00:00,3252.0,3260.0,3260.0,20211000,20211100,20211100
2021-10-12 23:00:00,3288.0,,,20211000,20211100,20211100
2021-10-13 23:00:00,3344.0,,,20211000,20211100,20211100
2021-10-14 23:00:00,3385.0,,,20211000,20211100,20211100
2021-10-15 23:00:00,3372.0,,,20211000,20211100,20211100
2021-10-16 23:00:00,3378.0,,,20211000,20211100,20211100
2021-10-18 23:00:00,3388.0,3393.0,3393.0,20211000,20211100,20211100
2021-10-19 23:00:00,3374.0,,,20211000,20211100,20211100
2021-10-20 23:00:00,3381.0,,,20211000,20211100,20211100
2021-10-21 23:00:00,3358.0,3344.0,3344.0,20211000,20211100,20211100
2021-10-22 23:00:00,3373.0,,,20211000,20211100,20211100
2021-10-23 23:00:00,3365.0,,,20211000,20211100,20211100
2021-10-25 23:00:00,3329.0,3340.0,3340.0,20211000,20211100,20211100
2021-10-26 23:00:00,3345.0,,,20211100,20211200,20211200
2021-10-27 23:00:00,3304.0,,,20211100,20211200,20211200
2021-10-28 23:00:00,3269.0,,,20211100,20211200,20211200
2021-10-29 23:00:00,3299.0,,,20211100,20211200,20211200
2021-10-30 23:00:00,3288.0,,,20211100,20211200,20211200
2021-11-01 23:00:00,3282.0,3296.0,3296.0,20211100,20211200,20211200
2021-11-02 23:00:00,3249.0,,,20211100,20211200,20211200
2021-11-03 23:00:00,3282.0,,,20211100,20211200,20211200
2021-11-04 23:00:00,3299.0,,,20211100,20211200,20211200
2021-11-05 23:00:00,3274.0,,,20211100,20211200,20211200
2021-11-06 23:00:00,3285.0,,,20211100,20211200,20211200
2021-11-08 23:00:00,3294.0,3303.0,3303.0,20211100,20211200,20211200
2021-11-09 23:00:00,3309.0,,,20211100,20211200,20211200
2021-11-10 23:00:00,3318.0,,,20211100,20211200,20211200
2021-11-11 23:00:00,3312.0,,,20211100,20211200,20211200
2021-11-12 23:00:00,3308.0,,,20211100,20211200,20211200
2021-11-15 23:00:00,3272.0,3306.0,3306.0,20211100,20211200,20211200
2021-11-16 23:00:00,3280.0,,,20211100,20211200,20211200
2021-11-17 23:00:00,3277.0,,,20211100,20211200,20211200
2021-11-18 23:00:00,3256.0,,,20211100,20211200,20211200
2021-11-19 23:00:00,3317.0,,,20211100,20211200,20211200
2021-11-20 23:00:00,3306.0,,,20211100,20211200,20211200
2021-11-22 23:00:00,3331.0,3337.0,3337.0,20211100,20211200,20211200
2021-11-23 23:00:00,3307.0,3311.0,3311.0,20211100,20211200,20211200
2021-11-24 23:00:00,3305.0,,,20211200,20220100,20220100
2021-11-25 23:00:00,3330.0,,,20211200,20220100,20220100
2021-11-26 23:00:00,3245.0,,,20211200,20220100,20220100
2021-11-29 23:00:00,3285.0,3313.0,3313.0,20211200,20220100,20220100
2021-11-30 23:00:00,3229.0,,,20211200,20220100,20220100
2021-12-01 23:00:00,3225.0,,,20211200,20220100,20220100
2021-12-02 23:00:00,3298.0,,,20211200,20220100,20220100
2021-12-03 23:00:00,3275.0,,,20211200,20220100,20220100
2021-12-04 23:00:00,3244.0,,,20211200,20220100,20220100
2021-12-06 23:00:00,3268.0,3279.0,3279.0,20211200,20220100,20220100
2021-12-07 23:00:00,3311.0,,,20211200,20220100,20220100
2021-12-08 23:00:00,3278.0,,,20211200,20220100,20220100
2021-12-09 23:00:00,3289.0,,,20211200,20220100,20220100
2021-12-10 23:00:00,3283.0,,,20211200,20220100,20220100
2021-12-11 23:00:00,3289.0,,,20211200,20220100,20220100
2021-12-13 23:00:00,3270.0,3268.0,3268.0,20211200,20220100,20220100
2021-12-14 23:00:00,3256.0,3277.0,3277.0,20211200,20220100,20220100
2021-12-15 23:00:00,3276.0,,,20211200,20220100,20220100
2021-12-16 23:00:00,3246.0,,,20211200,20220100,20220100
2021-12-17 23:00:00,3262.0,,,20211200,20220100,20220100
2021-12-18 23:00:00,3245.0,,,20211200,20220100,20220100
2021-12-20 23:00:00,3220.0,3249.0,3249.0,20211200,20220100,20220100
2021-12-22 23:00:00,3233.0,,,20220100,20220200,20220200
2021-12-23 23:00:00,3213.0,,,20220100,20220200,20220200
2021-12-24 23:00:00,3207.0,,,20220100,20220200,20220200
2021-12-27 23:00:00,3222.0,3212.0,3212.0,20220100,20220200,20220200
2021-12-28 23:00:00,3238.0,,,20220100,20220200,20220200
2021-12-29 23:00:00,3243.0,,,20220100,20220200,20220200
2021-12-30 23:00:00,3233.0,,,20220100,20220200,20220200
2021-12-31 23:00:00,3235.0,,,20220100,20220200,20220200
2022-01-01 23:00:00,3233.0,,,20220100,20220200,20220200
2022-01-03 23:00:00,3255.0,3260.0,3260.0,20220100,20220200,20220200
2022-01-04 23:00:00,3290.0,,,20220100,20220200,20220200
2022-01-05 23:00:00,3233.0,,,20220100,20220200,20220200
2022-01-06 23:00:00,3265.0,,,20220100,20220200,20220200
2022-01-07 23:00:00,3275.0,,,20220100,20220200,20220200
2022-01-08 23:00:00,3288.0,,,20220100,20220200,20220200
