DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-23 23:00:00,2.884,2.91,2.818,20210700,20210800,20210600
2021-04-26 23:00:00,2.935,2.954,2.874,20210700,20210800,20210600
2021-04-27 23:00:00,2.995,3.01,2.942,20210700,20210800,20210600
2021-04-28 23:00:00,3.011,3.025,2.96,20210700,20210800,20210600
2021-04-29 23:00:00,2.961,2.973,2.911,20210700,20210800,20210600
2021-04-30 23:00:00,2.978,2.989,2.931,20210700,20210800,20210600
2021-05-03 23:00:00,3.014,3.022,2.966,20210700,20210800,20210600
2021-05-04 23:00:00,3.012,3.02,2.967,20210700,20210800,20210600
2021-05-05 23:00:00,2.982,2.992,2.938,20210700,20210800,20210600
2021-05-06 23:00:00,2.974,2.984,2.928,20210700,20210800,20210600
2021-05-07 23:00:00,3.004,3.011,2.958,20210700,20210800,20210600
2021-05-10 23:00:00,2.978,2.986,2.932,20210700,20210800,20210600
2021-05-11 23:00:00,2.999,3.007,2.955,20210700,20210800,20210600
2021-05-12 23:00:00,3.018,3.026,2.969,20210700,20210800,20210600
2021-05-13 23:00:00,3.025,3.036,2.973,20210700,20210800,20210600
2021-05-14 23:00:00,3.018,3.029,2.961,20210700,20210800,20210600
2021-05-17 23:00:00,3.164,3.17,3.109,20210700,20210800,20210600
2021-05-18 23:00:00,3.078,3.091,3.012,20210700,20210800,20210600
2021-05-19 23:00:00,3.028,3.041,2.964,20210700,20210800,20210600
2021-05-20 23:00:00,2.991,3.007,2.925,20210700,20210800,20210600
2021-05-21 23:00:00,2.977,2.996,2.906,20210700,20210800,20210600
2021-05-24 23:00:00,2.979,2.975,2.96,20210800,20210900,20210700
2021-05-25 23:00:00,2.993,2.99,2.974,20210800,20210900,20210700
2021-05-26 23:00:00,3.045,3.04,3.027,20210800,20210900,20210700
2021-05-27 23:00:00,2.978,2.975,2.958,20210800,20210900,20210700
2021-05-28 23:00:00,3.007,3.002,2.986,20210800,20210900,20210700
2021-06-01 23:00:00,3.126,3.118,3.104,20210800,20210900,20210700
2021-06-02 23:00:00,3.094,3.086,3.075,20210800,20210900,20210700
2021-06-03 23:00:00,3.059,3.052,3.041,20210800,20210900,20210700
