DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-04 23:00:00,1.4163,1.4164,1.4164,20210900,20211200,20211200
2021-06-07 23:00:00,1.4185,1.4186,1.4186,20210900,20211200,20211200
2021-06-08 23:00:00,1.4164,1.4165,1.4165,20210900,20211200,20211200
2021-06-09 23:00:00,1.4117,1.4118,1.4118,20210900,20211200,20211200
2021-06-10 23:00:00,1.4171,1.4172,1.4172,20210900,20211200,20211200
2021-06-11 23:00:00,1.4108,1.4109,1.4109,20210900,20211200,20211200
2021-06-14 23:00:00,1.4112,1.4113,1.4113,20210900,20211200,20211200
2021-06-15 23:00:00,1.4083,1.4084,1.4084,20210900,20211200,20211200
2021-06-16 23:00:00,1.4003,1.4004,1.4004,20210900,20211200,20211200
2021-06-17 23:00:00,1.3925,1.3926,1.3926,20210900,20211200,20211200
2021-06-18 23:00:00,1.382,1.3822,1.3822,20210900,20211200,20211200
2021-06-21 23:00:00,1.3932,1.3934,1.3934,20210900,20211200,20211200
2021-06-22 23:00:00,1.3943,1.3945,1.3945,20210900,20211200,20211200
2021-06-23 23:00:00,1.3965,1.3967,1.3967,20210900,20211200,20211200
2021-06-24 23:00:00,1.393,1.3932,1.3932,20210900,20211200,20211200
2021-06-25 23:00:00,1.3878,1.388,1.388,20210900,20211200,20211200
2021-06-28 23:00:00,1.3881,1.3883,1.3883,20210900,20211200,20211200
2021-06-29 23:00:00,1.3853,1.3855,1.3855,20210900,20211200,20211200
2021-06-30 23:00:00,1.3805,1.3807,1.3807,20210900,20211200,20211200
2021-07-01 23:00:00,1.3756,1.3758,1.3758,20210900,20211200,20211200
2021-07-02 23:00:00,1.3807,1.3809,1.3809,20210900,20211200,20211200
2021-07-06 23:00:00,1.3801,1.3803,1.3803,20210900,20211200,20211200
2021-07-07 23:00:00,1.3802,1.3804,1.3804,20210900,20211200,20211200
2021-07-08 23:00:00,1.3777,1.3779,1.3779,20210900,20211200,20211200
2021-07-09 23:00:00,1.3892,1.3894,1.3894,20210900,20211200,20211200
2021-07-12 23:00:00,1.3875,1.3877,1.3877,20210900,20211200,20211200
2021-07-13 23:00:00,1.3822,1.3824,1.3824,20210900,20211200,20211200
2021-07-14 23:00:00,1.3853,1.3855,1.3855,20210900,20211200,20211200
2021-07-15 23:00:00,1.3812,1.3814,1.3814,20210900,20211200,20211200
2021-07-16 23:00:00,1.377,1.3772,1.3772,20210900,20211200,20211200
2021-07-19 23:00:00,1.366,1.3662,1.3662,20210900,20211200,20211200
2021-07-20 23:00:00,1.3627,1.3629,1.3629,20210900,20211200,20211200
2021-07-21 23:00:00,1.3717,1.3719,1.3719,20210900,20211200,20211200
2021-07-22 23:00:00,1.3776,1.3778,1.3778,20210900,20211200,20211200
2021-07-23 23:00:00,1.3755,1.3757,1.3757,20210900,20211200,20211200
2021-07-26 23:00:00,1.3816,1.3818,1.3818,20210900,20211200,20211200
2021-07-27 23:00:00,1.3889,1.3891,1.3891,20210900,20211200,20211200
2021-07-28 23:00:00,1.3908,1.391,1.391,20210900,20211200,20211200
2021-07-29 23:00:00,1.3972,1.3974,1.3974,20210900,20211200,20211200
2021-07-30 23:00:00,1.3893,1.3895,1.3895,20210900,20211200,20211200
2021-08-02 23:00:00,1.3893,1.3895,1.3895,20210900,20211200,20211200
2021-08-03 23:00:00,1.3917,1.3919,1.3919,20210900,20211200,20211200
2021-08-04 23:00:00,1.389,1.3892,1.3892,20210900,20211200,20211200
2021-08-05 23:00:00,1.3934,1.3936,1.3936,20210900,20211200,20211200
2021-08-06 23:00:00,1.3875,1.3877,1.3877,20210900,20211200,20211200
2021-08-09 23:00:00,1.3855,1.3857,1.3857,20210900,20211200,20211200
2021-08-10 23:00:00,1.3842,1.3844,1.3844,20210900,20211200,20211200
2021-08-11 23:00:00,1.3866,1.3868,1.3868,20210900,20211200,20211200
2021-08-12 23:00:00,1.3801,1.3803,1.3803,20210900,20211200,20211200
2021-08-13 23:00:00,1.3869,1.3871,1.3871,20210900,20211200,20211200
2021-08-16 23:00:00,1.3838,1.384,1.384,20210900,20211200,20211200
2021-08-17 23:00:00,1.3737,1.3739,1.3739,20210900,20211200,20211200
2021-08-18 23:00:00,1.3763,1.3765,1.3765,20210900,20211200,20211200
2021-08-19 23:00:00,1.3639,1.3641,1.3641,20210900,20211200,20211200
2021-08-20 23:00:00,1.3623,1.3625,1.3625,20210900,20211200,20211200
2021-08-23 23:00:00,1.3731,1.3733,1.3733,20210900,20211200,20211200
2021-08-24 23:00:00,1.3731,1.3733,1.3733,20210900,20211200,20211200
2021-08-25 23:00:00,1.3762,1.3764,1.3764,20210900,20211200,20211200
2021-08-26 23:00:00,1.3695,1.3697,1.3697,20210900,20211200,20211200
2021-08-27 23:00:00,1.3769,1.3771,1.3771,20210900,20211200,20211200
2021-08-30 23:00:00,1.3768,1.377,1.377,20210900,20211200,20211200
2021-08-31 23:00:00,1.3758,1.376,1.376,20210900,20211200,20211200
2021-09-01 23:00:00,1.3779,1.3781,1.3781,20210900,20211200,20211200
2021-09-02 23:00:00,1.3839,1.3841,1.3841,20210900,20211200,20211200
2021-09-03 23:00:00,1.388,1.3882,1.3882,20210900,20211200,20211200
2021-09-07 23:00:00,1.3787,1.3789,1.3789,20210900,20211200,20211200
2021-09-08 23:00:00,1.3782,1.3785,1.3785,20211200,20220300,20220300
2021-09-09 23:00:00,1.384,1.3843,1.3843,20211200,20220300,20220300
2021-09-10 23:00:00,1.3847,1.3851,1.3851,20211200,20220300,20220300
2021-09-13 23:00:00,1.3834,1.3838,1.3838,20211200,20220300,20220300
2021-09-14 23:00:00,1.3816,1.382,1.382,20211200,20220300,20220300
2021-09-15 23:00:00,1.3834,1.3838,1.3838,20211200,20220300,20220300
2021-09-16 23:00:00,1.3792,1.3796,1.3796,20211200,20220300,20220300
2021-09-17 23:00:00,1.3739,1.3742,1.3742,20211200,20220300,20220300
2021-09-20 23:00:00,1.3647,1.3651,1.3651,20211200,20220300,20220300
2021-09-21 23:00:00,1.3665,1.3669,1.3669,20211200,20220300,20220300
2021-09-22 23:00:00,1.3616,1.362,1.362,20211200,20220300,20220300
2021-09-23 23:00:00,1.3734,1.3737,1.3737,20211200,20220300,20220300
2021-09-24 23:00:00,1.3661,1.3663,1.3663,20211200,20220300,20220300
2021-09-27 23:00:00,1.371,1.3712,1.3712,20211200,20220300,20220300
2021-09-28 23:00:00,1.3534,1.3536,1.3536,20211200,20220300,20220300
2021-09-29 23:00:00,1.3435,1.3436,1.3436,20211200,20220300,20220300
2021-09-30 23:00:00,1.3475,1.3475,1.3475,20211200,20220300,20220300
2021-10-01 23:00:00,1.3554,1.3554,1.3554,20211200,20220300,20220300
2021-10-04 23:00:00,1.3615,1.3616,1.3616,20211200,20220300,20220300
2021-10-05 23:00:00,1.363,1.3629,1.3629,20211200,20220300,20220300
2021-10-06 23:00:00,1.3581,1.3581,1.3581,20211200,20220300,20220300
2021-10-07 23:00:00,1.3621,1.362,1.362,20211200,20220300,20220300
2021-10-08 23:00:00,1.3621,1.362,1.362,20211200,20220300,20220300
2021-10-11 23:00:00,1.3609,1.3605,1.3605,20211200,20220300,20220300
2021-10-12 23:00:00,1.3595,1.3592,1.3592,20211200,20220300,20220300
2021-10-13 23:00:00,1.3643,1.3639,1.3639,20211200,20220300,20220300
2021-10-14 23:00:00,1.3686,1.3683,1.3683,20211200,20220300,20220300
2021-10-15 23:00:00,1.375,1.3747,1.3747,20211200,20220300,20220300
2021-10-18 23:00:00,1.3729,1.3719,1.3719,20211200,20220300,20220300
2021-10-19 23:00:00,1.3798,1.3789,1.3789,20211200,20220300,20220300
2021-10-20 23:00:00,1.3831,1.3823,1.3823,20211200,20220300,20220300
2021-10-21 23:00:00,1.3783,1.3776,1.3776,20211200,20220300,20220300
2021-10-22 23:00:00,1.3758,1.3752,1.3752,20211200,20220300,20220300
2021-10-25 23:00:00,1.3771,1.3766,1.3766,20211200,20220300,20220300
2021-10-26 23:00:00,1.3766,1.3763,1.3763,20211200,20220300,20220300
2021-10-27 23:00:00,1.3746,1.3741,1.3741,20211200,20220300,20220300
2021-10-28 23:00:00,1.3789,1.3784,1.3784,20211200,20220300,20220300
2021-10-29 23:00:00,1.3689,1.3684,1.3684,20211200,20220300,20220300
2021-11-01 23:00:00,1.3658,1.3653,1.3653,20211200,20220300,20220300
2021-11-02 23:00:00,1.3618,1.3614,1.3614,20211200,20220300,20220300
2021-11-03 23:00:00,1.3679,1.3673,1.3673,20211200,20220300,20220300
