DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-19 23:00:00,1.8976,1.9006,1.8947,20210700,20210800,20210600
2021-04-20 23:00:00,1.885,1.8884,1.882,20210700,20210800,20210600
2021-04-21 23:00:00,1.8585,1.8621,1.8555,20210700,20210800,20210600
2021-04-22 23:00:00,1.8655,1.8691,1.8629,20210700,20210800,20210600
2021-04-23 23:00:00,1.8783,1.8817,1.8757,20210700,20210800,20210600
2021-04-26 23:00:00,1.8824,1.8848,1.8808,20210700,20210800,20210600
2021-04-27 23:00:00,1.909,1.9114,1.9071,20210700,20210800,20210600
2021-04-28 23:00:00,1.9412,1.9434,1.9397,20210700,20210800,20210600
2021-04-29 23:00:00,1.9643,1.9665,1.9625,20210700,20210800,20210600
2021-04-30 23:00:00,1.9244,1.9265,1.9224,20210700,20210800,20210600
2021-05-03 23:00:00,1.9537,1.9556,1.9519,20210700,20210800,20210600
2021-05-04 23:00:00,1.9999,2.0017,1.9988,20210700,20210800,20210600
2021-05-05 23:00:00,2.0035,2.0052,2.0025,20210700,20210800,20210600
2021-05-06 23:00:00,1.9908,1.9926,1.9895,20210700,20210800,20210600
2021-05-07 23:00:00,2.0118,2.013,2.0106,20210700,20210800,20210600
2021-05-10 23:00:00,2.0162,2.0176,2.0166,20210700,20210800,20210600
2021-05-11 23:00:00,2.0396,2.0402,2.0417,20210700,20210800,20210600
2021-05-12 23:00:00,2.0652,2.0655,2.0695,20210700,20210800,20210600
2021-05-13 23:00:00,1.999,1.9998,2.0009,20210700,20210800,20210600
2021-05-14 23:00:00,2.0345,2.0351,2.0362,20210700,20210800,20210600
2021-05-17 23:00:00,2.0586,2.0594,2.0604,20210700,20210800,20210600
2021-05-18 23:00:00,2.0552,2.0571,2.0544,20210800,20210900,20210700
2021-05-19 23:00:00,2.0059,2.0079,2.0051,20210800,20210900,20210700
2021-05-20 23:00:00,1.9647,1.9667,1.9635,20210800,20210900,20210700
2021-05-21 23:00:00,1.9888,1.9911,1.9876,20210800,20210900,20210700
2021-05-24 23:00:00,2.0421,2.0441,2.0412,20210800,20210900,20210700
2021-05-25 23:00:00,2.0351,2.0373,2.0339,20210800,20210900,20210700
2021-05-26 23:00:00,2.0452,2.0475,2.0439,20210800,20210900,20210700
2021-05-27 23:00:00,2.0566,2.0589,2.0552,20210800,20210900,20210700
2021-05-28 23:00:00,2.0394,2.0409,2.0383,20210800,20210900,20210700
2021-06-01 23:00:00,2.0733,2.0755,2.0715,20210800,20210900,20210700
2021-06-02 23:00:00,2.1093,2.1118,2.1071,20210800,20210900,20210700
2021-06-03 23:00:00,2.1042,2.1071,2.1017,20210800,20210900,20210700
2021-06-04 23:00:00,2.1222,2.1248,2.1199,20210800,20210900,20210700
2021-06-07 23:00:00,2.1184,2.1212,2.1156,20210800,20210900,20210700
2021-06-08 23:00:00,2.1378,2.1408,2.135,20210800,20210900,20210700
2021-06-09 23:00:00,2.1325,2.1356,2.1295,20210800,20210900,20210700
2021-06-10 23:00:00,2.1459,2.1487,2.1434,20210800,20210900,20210700
2021-06-11 23:00:00,2.1237,2.1266,2.1207,20210800,20210900,20210700
2021-06-14 23:00:00,2.1147,2.1178,2.1116,20210800,20210900,20210700
2021-06-15 23:00:00,2.1147,2.1177,2.1123,20210800,20210900,20210700
2021-06-16 23:00:00,2.1057,2.1086,2.1034,20210800,20210900,20210700
2021-06-17 23:00:00,2.0725,2.074,2.0694,20210900,20211000,20210800
2021-06-18 23:00:00,2.1,2.1012,2.0967,20210900,20211000,20210800
2021-06-21 23:00:00,2.1325,2.1332,2.1297,20210900,20211000,20210800
2021-06-22 23:00:00,2.1576,2.1566,2.1569,20211000,20211100,20210900
2021-06-23 23:00:00,2.1663,2.1658,2.1653,20211000,20211100,20210900
2021-06-24 23:00:00,2.1681,2.1673,2.1675,20211000,20211100,20210900
2021-06-25 23:00:00,2.1543,2.1534,2.154,20211000,20211100,20210900
2021-06-28 23:00:00,2.1248,2.1242,2.1237,20211000,20211100,20210900
2021-06-29 23:00:00,2.128,2.1274,2.1271,20211000,20211100,20210900
2021-06-30 23:00:00,2.1314,2.1303,2.1307,20211000,20211100,20210900
2021-07-01 23:00:00,2.1575,2.1559,2.1579,20211000,20211100,20210900
2021-07-02 23:00:00,2.1811,2.1793,2.1814,20211000,20211100,20210900
2021-07-06 23:00:00,2.1072,2.1056,2.1074,20211000,20211100,20210900
2021-07-07 23:00:00,2.0908,2.089,2.0912,20211000,20211100,20210900
2021-07-08 23:00:00,2.1216,2.1194,2.1221,20211000,20211100,20210900
2021-07-09 23:00:00,2.1569,2.1543,2.1574,20211000,20211100,20210900
