DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-13 23:00:00,132.05,131.47,131.47,20210500,20210600,20210600
2021-04-14 23:00:00,132.53,131.93,131.93,20210500,20210600,20210600
2021-04-15 23:00:00,132.99,132.43,132.43,20210500,20210600,20210600
2021-04-16 23:00:00,133.32,132.69,132.69,20210500,20210600,20210600
2021-04-19 23:00:00,132.82,132.14,132.14,20210500,20210600,20210600
2021-04-20 23:00:00,131.88,131.03,131.03,20210500,20210600,20210600
2021-04-21 23:00:00,132.06,131.43,131.43,20210500,20210600,20210600
2021-04-22 23:00:00,132.41,131.55,131.55,20210500,20210600,20210600
2021-04-23 23:00:00,132.85,132.37,132.37,20210500,20210600,20210600
2021-04-26 23:00:00,133.17,132.53,132.53,20210500,20210600,20210600
2021-04-27 23:00:00,133.44,132.75,132.75,20210500,20210600,20210600
2021-04-28 23:00:00,133.89,133.29,133.29,20210500,20210600,20210600
2021-04-29 23:00:00,134.55,133.89,133.89,20210500,20210600,20210600
2021-04-30 23:00:00,134.33,133.62,133.62,20210500,20210600,20210600
2021-05-03 23:00:00,134.58,133.84,133.84,20210500,20210600,20210600
2021-05-04 23:00:00,134.76,133.94,133.94,20210500,20210600,20210600
2021-05-05 23:00:00,134.91,134.16,134.16,20210500,20210600,20210600
2021-05-06 23:00:00,135.45,134.77,134.77,20210500,20210600,20210600
2021-05-07 23:00:00,136.08,135.4,135.4,20210500,20210600,20210600
2021-05-10 23:00:00,135.01,134.4,134.4,20210600,20210700,20210700
2021-05-11 23:00:00,135.24,134.64,134.64,20210600,20210700,20210700
2021-05-12 23:00:00,134.74,134.07,134.07,20210600,20210700,20210700
2021-05-13 23:00:00,135.09,134.41,134.41,20210600,20210700,20210700
2021-05-14 23:00:00,135.57,134.89,134.89,20210600,20210700,20210700
2021-05-17 23:00:00,135.5,134.74,134.74,20210600,20210700,20210700
2021-05-18 23:00:00,135.87,135.19,135.19,20210600,20210700,20210700
2021-05-19 23:00:00,135.69,135.01,135.01,20210600,20210700,20210700
2021-05-20 23:00:00,136.07,135.41,135.41,20210600,20210700,20210700
2021-05-21 23:00:00,136.33,135.56,135.56,20210600,20210700,20210700
2021-05-24 23:00:00,136.39,135.72,135.72,20210600,20210700,20210700
2021-05-25 23:00:00,136.68,135.92,135.92,20210600,20210700,20210700
2021-05-26 23:00:00,136.87,136.16,136.16,20210600,20210700,20210700
2021-05-27 23:00:00,136.96,136.29,136.29,20210600,20210700,20210700
2021-05-28 23:00:00,137.46,136.81,136.81,20210600,20210700,20210700
2021-06-01 23:00:00,136.79,136.17,136.17,20210600,20210700,20210700
2021-06-02 23:00:00,136.57,135.98,135.98,20210600,20210700,20210700
2021-06-03 23:00:00,136.59,136.1,136.1,20210600,20210700,20210700
2021-06-04 23:00:00,136.88,136.38,136.38,20210600,20210700,20210700
2021-06-07 23:00:00,137.08,136.6,136.6,20210600,20210700,20210700
2021-06-08 23:00:00,136.8,136.35,136.35,20210600,20210700,20210700
2021-06-09 23:00:00,136.27,135.77,135.77,20210700,20210800,20210800
2021-06-10 23:00:00,136.24,135.76,135.76,20210700,20210800,20210800
2021-06-11 23:00:00,135.84,135.34,135.34,20210700,20210800,20210800
2021-06-14 23:00:00,135.89,135.36,135.36,20210700,20210800,20210800
2021-06-15 23:00:00,135.64,135.09,135.09,20210700,20210800,20210800
2021-06-16 23:00:00,135.2,134.73,134.73,20210700,20210800,20210800
2021-06-17 23:00:00,134.07,133.68,133.68,20210700,20210800,20210800
2021-06-18 23:00:00,134.29,133.85,133.85,20210700,20210800,20210800
2021-06-21 23:00:00,134.24,133.74,133.74,20210700,20210800,20210800
2021-06-22 23:00:00,134.08,133.6,133.6,20210700,20210800,20210800
2021-06-23 23:00:00,134.25,133.85,133.85,20210700,20210800,20210800
2021-06-24 23:00:00,134.32,133.8,133.8,20210700,20210800,20210800
2021-06-25 23:00:00,134.28,133.78,133.78,20210700,20210800,20210800
2021-06-28 23:00:00,134.22,133.75,133.75,20210700,20210800,20210800
2021-06-29 23:00:00,134.26,133.77,133.77,20210700,20210800,20210800
2021-06-30 23:00:00,134.06,133.55,133.55,20210700,20210800,20210800
2021-07-01 23:00:00,133.77,133.26,133.26,20210700,20210800,20210800
2021-07-02 23:00:00,133.82,133.32,133.32,20210700,20210800,20210800
2021-07-06 23:00:00,133.4,132.9,132.9,20210700,20210800,20210800
2021-07-07 23:00:00,133.41,132.9,132.9,20210700,20210800,20210800
2021-07-08 23:00:00,132.97,132.41,132.41,20210800,20210900,20210900
2021-07-09 23:00:00,133.4,132.9,132.9,20210800,20210900,20210900
2021-07-12 23:00:00,133.45,132.96,132.96,20210800,20210900,20210900
2021-07-13 23:00:00,133.24,132.69,132.69,20210800,20210900,20210900
2021-07-14 23:00:00,133.55,133.01,133.01,20210800,20210900,20210900
2021-07-15 23:00:00,133.47,132.96,132.96,20210800,20210900,20210900
2021-07-16 23:00:00,133.32,132.8,132.8,20210800,20210900,20210900
2021-07-19 23:00:00,132.75,132.14,132.14,20210800,20210900,20210900
