DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-05-29 23:00:00,151.32,151.22,151.22,20210900,20211200,20211200
2021-05-31 23:00:00,151.27,151.22,151.22,20210900,20211200,20211200
2021-06-01 23:00:00,151.29,151.21,151.21,20210900,20211200,20211200
2021-06-02 23:00:00,151.27,151.2,151.2,20210900,20211200,20211200
2021-06-03 23:00:00,151.28,151.22,151.22,20210900,20211200,20211200
2021-06-04 23:00:00,151.23,151.16,151.16,20210900,20211200,20211200
2021-06-05 23:00:00,151.35,151.26,151.26,20210900,20211200,20211200
2021-06-07 23:00:00,151.33,151.26,151.26,20210900,20211200,20211200
2021-06-08 23:00:00,151.42,151.36,151.36,20210900,20211200,20211200
2021-06-09 23:00:00,151.52,151.44,151.44,20210900,20211200,20211200
2021-06-10 23:00:00,151.71,151.63,151.63,20210900,20211200,20211200
2021-06-11 23:00:00,151.89,151.76,151.76,20210900,20211200,20211200
2021-06-12 23:00:00,151.89,151.75,151.75,20210900,20211200,20211200
2021-06-14 23:00:00,151.87,151.75,151.75,20210900,20211200,20211200
2021-06-15 23:00:00,151.8,151.68,151.68,20210900,20211200,20211200
2021-06-16 23:00:00,151.77,151.65,151.65,20210900,20211200,20211200
2021-06-17 23:00:00,151.53,151.45,151.45,20210900,20211200,20211200
2021-06-18 23:00:00,151.62,151.55,151.55,20210900,20211200,20211200
2021-06-19 23:00:00,151.68,151.7,151.7,20210900,20211200,20211200
2021-06-21 23:00:00,151.81,151.7,151.7,20210900,20211200,20211200
2021-06-22 23:00:00,151.65,151.53,151.53,20210900,20211200,20211200
2021-06-23 23:00:00,151.68,151.55,151.55,20210900,20211200,20211200
2021-06-24 23:00:00,151.65,151.52,151.52,20210900,20211200,20211200
2021-06-25 23:00:00,151.72,151.61,151.61,20210900,20211200,20211200
2021-06-26 23:00:00,151.68,151.59,151.59,20210900,20211200,20211200
2021-06-28 23:00:00,151.65,151.59,151.59,20210900,20211200,20211200
2021-06-29 23:00:00,151.69,151.61,151.61,20210900,20211200,20211200
2021-06-30 23:00:00,151.69,151.57,151.57,20210900,20211200,20211200
2021-07-01 23:00:00,151.84,151.73,151.73,20210900,20211200,20211200
2021-07-02 23:00:00,151.92,151.8,151.8,20210900,20211200,20211200
2021-07-03 23:00:00,152.09,152.0,152.0,20210900,20211200,20211200
2021-07-05 23:00:00,152.12,152.0,152.0,20210900,20211200,20211200
2021-07-06 23:00:00,152.01,151.92,151.92,20210900,20211200,20211200
2021-07-07 23:00:00,152.2,152.13,152.13,20210900,20211200,20211200
2021-07-08 23:00:00,152.34,152.23,152.23,20210900,20211200,20211200
2021-07-09 23:00:00,152.22,152.12,152.12,20210900,20211200,20211200
2021-07-10 23:00:00,152.15,152.12,152.12,20210900,20211200,20211200
2021-07-12 23:00:00,152.19,152.12,152.12,20210900,20211200,20211200
2021-07-13 23:00:00,152.25,152.18,152.18,20210900,20211200,20211200
2021-07-14 23:00:00,152.3,152.24,152.24,20210900,20211200,20211200
2021-07-15 23:00:00,152.34,152.29,152.29,20210900,20211200,20211200
2021-07-16 23:00:00,152.26,152.2,152.2,20210900,20211200,20211200
2021-07-17 23:00:00,152.33,152.3,152.3,20210900,20211200,20211200
2021-07-19 23:00:00,152.36,152.3,152.3,20210900,20211200,20211200
2021-07-20 23:00:00,152.46,152.4,152.4,20210900,20211200,20211200
2021-07-21 23:00:00,152.4,152.34,152.34,20210900,20211200,20211200
2021-07-22 23:00:00,152.32,,,20210900,20211200,20211200
2021-07-26 23:00:00,152.41,152.36,152.36,20210900,20211200,20211200
2021-07-27 23:00:00,152.29,152.24,152.24,20210900,20211200,20211200
2021-07-28 23:00:00,152.35,152.3,152.3,20210900,20211200,20211200
2021-07-29 23:00:00,152.32,152.28,152.28,20210900,20211200,20211200
2021-07-30 23:00:00,152.3,152.26,152.26,20210900,20211200,20211200
2021-07-31 23:00:00,152.27,152.26,152.26,20210900,20211200,20211200
2021-08-02 23:00:00,152.31,152.26,152.26,20210900,20211200,20211200
2021-08-03 23:00:00,152.44,152.39,152.39,20210900,20211200,20211200
2021-08-04 23:00:00,152.49,152.45,152.45,20210900,20211200,20211200
2021-08-05 23:00:00,152.38,152.34,152.34,20210900,20211200,20211200
2021-08-06 23:00:00,152.3,152.26,152.26,20210900,20211200,20211200
2021-08-07 23:00:00,152.13,152.24,152.24,20210900,20211200,20211200
2021-08-10 23:00:00,152.14,152.09,152.09,20210900,20211200,20211200
2021-08-11 23:00:00,152.04,152.0,152.0,20210900,20211200,20211200
2021-08-12 23:00:00,152.2,152.14,152.14,20210900,20211200,20211200
2021-08-13 23:00:00,152.2,152.14,152.14,20210900,20211200,20211200
2021-08-14 23:00:00,152.3,152.29,152.29,20210900,20211200,20211200
2021-08-16 23:00:00,152.36,152.29,152.29,20210900,20211200,20211200
2021-08-17 23:00:00,152.39,152.33,152.33,20210900,20211200,20211200
2021-08-18 23:00:00,152.33,152.28,152.28,20210900,20211200,20211200
2021-08-19 23:00:00,152.35,152.3,152.3,20210900,20211200,20211200
2021-08-20 23:00:00,152.39,152.36,152.36,20210900,20211200,20211200
2021-08-21 23:00:00,152.31,152.34,152.34,20210900,20211200,20211200
2021-08-23 23:00:00,152.28,152.26,152.26,20210900,20211200,20211200
2021-08-24 23:00:00,152.26,152.24,152.24,20210900,20211200,20211200
2021-08-25 23:00:00,152.23,152.19,152.19,20210900,20211200,20211200
2021-08-26 23:00:00,152.21,152.16,152.16,20210900,20211200,20211200
2021-08-27 23:00:00,152.12,152.08,152.08,20210900,20211200,20211200
2021-08-28 23:00:00,152.21,152.13,152.13,20210900,20211200,20211200
2021-08-30 23:00:00,152.21,152.18,152.18,20210900,20211200,20211200
2021-08-31 23:00:00,152.16,152.13,152.13,20210900,20211200,20211200
2021-09-01 23:00:00,152.05,152.0,152.0,20210900,20211200,20211200
2021-09-02 23:00:00,152.06,152.02,152.02,20210900,20211200,20211200
2021-09-03 23:00:00,151.98,151.92,151.92,20210900,20211200,20211200
2021-09-04 23:00:00,151.94,151.89,151.89,20210900,20211200,20211200
2021-09-06 23:00:00,151.88,151.82,151.82,20210900,20211200,20211200
2021-09-07 23:00:00,151.93,151.87,151.87,20210900,20211200,20211200
2021-09-08 23:00:00,151.85,151.81,151.81,20210900,20211200,20211200
2021-09-09 23:00:00,151.88,151.84,151.84,20210900,20211200,20211200
2021-09-10 23:00:00,151.86,151.82,151.82,20210900,20211200,20211200
2021-09-11 23:00:00,151.77,151.72,151.72,20210900,20211200,20211200
2021-09-13 23:00:00,151.86,151.79,151.79,20210900,20211200,20211200
2021-09-14 23:00:00,151.86,151.74,151.74,20210900,20211200,20211200
2021-09-15 23:00:00,151.86,151.86,151.86,20210900,20211200,20211200
2021-09-16 23:00:00,151.86,151.78,151.78,20210900,20211200,20211200
2021-09-17 23:00:00,151.86,151.71,151.71,20210900,20211200,20211200
2021-09-21 23:00:00,151.83,151.75,151.75,20211200,20220300,20220300
2021-09-22 23:00:00,151.86,151.78,151.78,20211200,20220300,20220300
2021-09-23 23:00:00,151.87,,,20211200,20220300,20220300
2021-09-24 23:00:00,151.62,151.54,151.54,20211200,20220300,20220300
2021-09-25 23:00:00,151.53,151.54,151.54,20211200,20220300,20220300
2021-09-27 23:00:00,151.62,151.54,151.54,20211200,20220300,20220300
2021-09-28 23:00:00,151.37,151.29,151.29,20211200,20220300,20220300
2021-09-29 23:00:00,151.42,151.34,151.34,20211200,20220300,20220300
2021-09-30 23:00:00,151.37,151.29,151.29,20211200,20220300,20220300
2021-10-01 23:00:00,151.57,151.46,151.46,20211200,20220300,20220300
2021-10-02 23:00:00,151.53,151.53,151.53,20211200,20220300,20220300
2021-10-04 23:00:00,151.61,151.53,151.53,20211200,20220300,20220300
2021-10-05 23:00:00,151.51,151.44,151.44,20211200,20220300,20220300
2021-10-06 23:00:00,151.3,151.22,151.22,20211200,20220300,20220300
2021-10-07 23:00:00,151.4,151.29,151.29,20211200,20220300,20220300
2021-10-08 23:00:00,151.32,151.23,151.23,20211200,20220300,20220300
2021-10-09 23:00:00,151.24,151.1,151.1,20211200,20220300,20220300
2021-10-11 23:00:00,151.2,151.1,151.1,20211200,20220300,20220300
2021-10-12 23:00:00,151.25,151.15,151.15,20211200,20220300,20220300
2021-10-13 23:00:00,151.25,151.11,151.11,20211200,20220300,20220300
2021-10-14 23:00:00,151.37,151.23,151.23,20211200,20220300,20220300
2021-10-15 23:00:00,151.45,151.31,151.31,20211200,20220300,20220300
2021-10-16 23:00:00,151.37,151.14,151.14,20211200,20220300,20220300
