DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-04 23:00:00,431.85,432.6,432.6,20210900,20211200,20211200
2021-06-07 23:00:00,433.15,432.5,432.5,20210900,20211200,20211200
2021-06-08 23:00:00,432.2,431.75,431.75,20210900,20211200,20211200
2021-06-09 23:00:00,427.4,427.0,427.0,20210900,20211200,20211200
2021-06-10 23:00:00,428.85,428.85,428.85,20210900,20211200,20211200
2021-06-11 23:00:00,432.05,431.8,431.8,20210900,20211200,20211200
2021-06-14 23:00:00,432.3,431.75,431.75,20210900,20211200,20211200
2021-06-15 23:00:00,433.45,432.95,432.95,20210900,20211200,20211200
2021-06-16 23:00:00,436.15,435.6,435.6,20210900,20211200,20211200
2021-06-17 23:00:00,432.85,432.8,432.8,20210900,20211200,20211200
2021-06-18 23:00:00,434.5,434.0,434.0,20210900,20211200,20211200
2021-06-21 23:00:00,430.35,429.8,429.8,20210900,20211200,20211200
2021-06-22 23:00:00,433.4,432.85,432.85,20210900,20211200,20211200
2021-06-23 23:00:00,435.85,435.35,435.35,20210900,20211200,20211200
2021-06-24 23:00:00,437.7,437.05,437.05,20210900,20211200,20211200
2021-06-25 23:00:00,439.7,439.25,439.25,20210900,20211200,20211200
2021-06-28 23:00:00,438.85,438.65,438.65,20210900,20211200,20211200
2021-06-29 23:00:00,437.05,436.7,436.7,20210900,20211200,20211200
2021-06-30 23:00:00,438.85,438.3,438.3,20210900,20211200,20211200
2021-07-01 23:00:00,435.9,435.4,435.4,20210900,20211200,20211200
2021-07-02 23:00:00,435.7,435.05,435.05,20210900,20211200,20211200
2021-07-05 23:00:00,438.25,437.5,437.5,20210900,20211200,20211200
2021-07-06 23:00:00,439.15,438.7,438.7,20210900,20211200,20211200
2021-07-07 23:00:00,436.45,435.85,435.85,20210900,20211200,20211200
2021-07-08 23:00:00,430.85,430.7,430.7,20210900,20211200,20211200
2021-07-09 23:00:00,426.25,425.7,425.7,20210900,20211200,20211200
2021-07-12 23:00:00,431.5,430.8,430.8,20210900,20211200,20211200
2021-07-13 23:00:00,434.6,434.05,434.05,20210900,20211200,20211200
2021-07-14 23:00:00,433.65,432.85,432.85,20210900,20211200,20211200
2021-07-15 23:00:00,436.25,435.85,435.85,20210900,20211200,20211200
2021-07-16 23:00:00,434.1,433.65,433.65,20210900,20211200,20211200
2021-07-19 23:00:00,429.3,428.8,428.8,20210900,20211200,20211200
2021-07-20 23:00:00,428.5,428.0,428.0,20210900,20211200,20211200
2021-07-21 23:00:00,425.65,425.15,425.15,20210900,20211200,20211200
2021-07-22 23:00:00,431.5,430.55,430.55,20210900,20211200,20211200
2021-07-23 23:00:00,431.5,430.9,430.9,20210900,20211200,20211200
2021-07-26 23:00:00,428.0,427.45,427.45,20210900,20211200,20211200
2021-07-27 23:00:00,428.15,427.65,427.65,20210900,20211200,20211200
2021-07-28 23:00:00,428.65,428.25,428.25,20210900,20211200,20211200
2021-07-29 23:00:00,429.4,428.95,428.95,20210900,20211200,20211200
2021-07-30 23:00:00,424.4,423.7,423.7,20210900,20211200,20211200
2021-08-02 23:00:00,426.45,426.2,426.2,20210900,20211200,20211200
2021-08-03 23:00:00,430.3,429.65,429.65,20210900,20211200,20211200
2021-08-04 23:00:00,436.2,435.75,435.75,20210900,20211200,20211200
2021-08-05 23:00:00,435.2,435.15,435.15,20210900,20211200,20211200
2021-08-06 23:00:00,433.55,433.15,433.15,20210900,20211200,20211200
2021-08-09 23:00:00,432.0,431.45,431.45,20210900,20211200,20211200
