DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-05-14 23:00:00,419.85,419.02,419.02,20210600,20210700,20210700
2021-05-17 23:00:00,418.1,417.1,417.1,20210600,20210700,20210700
2021-05-18 23:00:00,422.9,422.5,422.5,20210600,20210700,20210700
2021-05-20 23:00:00,421.4,420.9,420.9,20210600,20210700,20210700
2021-05-21 23:00:00,421.6,421.3,421.3,20210600,20210700,20210700
2021-05-24 23:00:00,419.65,419.46,419.46,20210600,20210700,20210700
2021-05-25 23:00:00,424.95,424.06,424.06,20210600,20210700,20210700
2021-05-26 23:00:00,423.4,422.8,422.8,20210600,20210700,20210700
2021-05-27 23:00:00,422.6,422.1,422.1,20210600,20210700,20210700
2021-05-28 23:00:00,426.35,425.14,425.14,20210600,20210700,20210700
2021-05-31 23:00:00,427.7,427.14,427.14,20210600,20210700,20210700
2021-06-01 23:00:00,430.1,429.6,429.6,20210600,20210700,20210700
2021-06-02 23:00:00,429.5,429.06,429.06,20210600,20210700,20210700
2021-06-03 23:00:00,433.45,433.08,433.08,20210600,20210700,20210700
2021-06-04 23:00:00,432.45,431.5,431.5,20210600,20210700,20210700
2021-06-07 23:00:00,433.65,432.7,432.7,20210600,20210700,20210700
2021-06-08 23:00:00,432.95,432.0,432.0,20210600,20210700,20210700
2021-06-09 23:00:00,428.3,427.22,427.22,20210600,20210700,20210700
2021-06-10 23:00:00,429.35,428.58,428.58,20210600,20210700,20210700
2021-06-11 23:00:00,431.8,432.06,432.06,20210700,20210800,20210800
2021-06-14 23:00:00,432.22,432.26,432.26,20210700,20210800,20210800
2021-06-15 23:00:00,433.44,433.16,433.16,20210700,20210800,20210800
2021-06-16 23:00:00,435.84,435.8,435.8,20210700,20210800,20210800
2021-06-17 23:00:00,432.76,433.4,433.4,20210700,20210800,20210800
2021-06-18 23:00:00,434.3,434.22,434.22,20210700,20210800,20210800
2021-06-21 23:00:00,430.1,430.18,430.18,20210700,20210800,20210800
2021-06-22 23:00:00,433.2,433.38,433.38,20210700,20210800,20210800
2021-06-23 23:00:00,435.62,435.5,435.5,20210700,20210800,20210800
2021-06-24 23:00:00,437.36,437.26,437.26,20210700,20210800,20210800
2021-06-25 23:00:00,439.36,439.48,439.48,20210700,20210800,20210800
2021-06-28 23:00:00,438.72,438.9,438.9,20210700,20210800,20210800
2021-06-29 23:00:00,436.98,436.9,436.9,20210700,20210800,20210800
2021-06-30 23:00:00,438.72,438.7,438.7,20210700,20210800,20210800
2021-07-01 23:00:00,435.9,435.72,435.72,20210700,20210800,20210800
2021-07-02 23:00:00,435.6,435.46,435.46,20210700,20210800,20210800
2021-07-05 23:00:00,438.14,437.88,437.88,20210700,20210800,20210800
2021-07-06 23:00:00,439.2,439.34,439.34,20210700,20210800,20210800
