DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-16 23:00:00,110.34,,,20210900,20211200,20211200
2021-06-17 23:00:00,110.17,110.12,110.12,20210900,20211200,20211200
2021-06-18 23:00:00,110.3,110.04,110.04,20210900,20211200,20211200
2021-06-21 23:00:00,110.18,110.08,110.08,20210900,20211200,20211200
2021-06-22 23:00:00,110.26,110.01,110.01,20210900,20211200,20211200
2021-06-23 23:00:00,110.3,110.12,110.12,20210900,20211200,20211200
2021-06-24 23:00:00,110.14,110.25,110.25,20210900,20211200,20211200
2021-06-25 23:00:00,109.9,109.54,109.54,20210900,20211200,20211200
2021-06-28 23:00:00,109.81,109.44,109.44,20210900,20211200,20211200
2021-06-29 23:00:00,109.95,109.6,109.6,20210900,20211200,20211200
2021-06-30 23:00:00,109.97,109.61,109.61,20210900,20211200,20211200
2021-07-01 23:00:00,109.91,109.54,109.54,20210900,20211200,20211200
2021-07-02 23:00:00,109.87,109.48,109.48,20210900,20211200,20211200
2021-07-05 23:00:00,110.0,109.61,109.61,20210900,20211200,20211200
2021-07-06 23:00:00,110.0,109.62,109.62,20210900,20211200,20211200
2021-07-07 23:00:00,110.19,109.82,109.82,20210900,20211200,20211200
2021-07-08 23:00:00,110.37,110.0,110.0,20210900,20211200,20211200
2021-07-09 23:00:00,110.32,109.94,109.94,20210900,20211200,20211200
2021-07-12 23:00:00,110.3,109.9,109.9,20210900,20211200,20211200
2021-07-13 23:00:00,110.2,109.78,109.78,20210900,20211200,20211200
2021-07-14 23:00:00,110.32,109.89,109.89,20210900,20211200,20211200
2021-07-15 23:00:00,109.99,109.58,109.58,20210900,20211200,20211200
2021-07-16 23:00:00,110.01,109.65,109.65,20210900,20211200,20211200
2021-07-19 23:00:00,110.05,109.69,109.69,20210900,20211200,20211200
2021-07-20 23:00:00,110.19,109.85,109.85,20210900,20211200,20211200
2021-07-21 23:00:00,110.3,109.98,109.98,20210900,20211200,20211200
2021-07-22 23:00:00,110.26,109.93,109.93,20210900,20211200,20211200
2021-07-23 23:00:00,110.3,109.96,109.96,20210900,20211200,20211200
2021-07-26 23:00:00,110.39,110.06,110.06,20210900,20211200,20211200
2021-07-27 23:00:00,110.33,110.3,110.3,20210900,20211200,20211200
2021-07-28 23:00:00,110.25,109.89,109.89,20210900,20211200,20211200
2021-07-29 23:00:00,110.18,109.81,109.81,20210900,20211200,20211200
2021-07-30 23:00:00,110.25,109.87,109.87,20210900,20211200,20211200
2021-08-02 23:00:00,110.17,109.8,109.8,20210900,20211200,20211200
2021-08-03 23:00:00,110.19,109.82,109.82,20210900,20211200,20211200
2021-08-04 23:00:00,110.3,110.0,110.0,20210900,20211200,20211200
2021-08-05 23:00:00,110.31,109.93,109.93,20210900,20211200,20211200
2021-08-06 23:00:00,110.23,109.85,109.85,20210900,20211200,20211200
2021-08-09 23:00:00,110.27,109.88,109.88,20210900,20211200,20211200
2021-08-10 23:00:00,110.3,109.9,109.9,20210900,20211200,20211200
2021-08-11 23:00:00,110.34,109.95,109.95,20210900,20211200,20211200
2021-08-12 23:00:00,110.35,109.96,109.96,20210900,20211200,20211200
2021-08-13 23:00:00,110.37,109.99,109.99,20210900,20211200,20211200
2021-08-17 23:00:00,110.43,110.3,110.3,20210900,20211200,20211200
2021-08-18 23:00:00,110.45,110.35,110.35,20210900,20211200,20211200
2021-08-19 23:00:00,110.54,110.5,110.5,20210900,20211200,20211200
