DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-16 23:00:00,99.7,96.15,101.7,20210700,20210800,20210600
2021-04-19 23:00:00,101.975,98.55,104.325,20210700,20210800,20210600
2021-04-20 23:00:00,104.25,100.25,106.35,20210700,20210800,20210600
2021-04-21 23:00:00,103.0,99.325,104.525,20210700,20210800,20210600
2021-04-22 23:00:00,102.25,98.925,103.55,20210700,20210800,20210600
2021-04-23 23:00:00,104.525,101.15,105.725,20210700,20210800,20210600
2021-04-26 23:00:00,105.675,102.3,106.85,20210700,20210800,20210600
2021-04-27 23:00:00,105.325,102.075,106.675,20210700,20210800,20210600
2021-04-28 23:00:00,107.95,103.925,109.125,20210700,20210800,20210600
2021-04-29 23:00:00,106.25,102.675,106.725,20210700,20210800,20210600
2021-04-30 23:00:00,109.25,105.5,109.725,20210700,20210800,20210600
2021-05-03 23:00:00,112.075,107.425,112.65,20210700,20210800,20210600
2021-05-04 23:00:00,113.425,108.475,113.55,20210700,20210800,20210600
2021-05-05 23:00:00,114.475,109.8,114.425,20210700,20210800,20210600
2021-05-06 23:00:00,114.65,109.925,114.475,20210700,20210800,20210600
2021-05-07 23:00:00,113.55,109.025,112.85,20210700,20210800,20210600
2021-05-10 23:00:00,112.7,108.1,112.1,20210700,20210800,20210600
2021-05-11 23:00:00,111.425,106.75,111.175,20210700,20210800,20210600
2021-05-12 23:00:00,111.925,107.65,112.025,20210700,20210800,20210600
2021-05-13 23:00:00,110.1,105.725,110.1,20210700,20210800,20210600
2021-05-14 23:00:00,109.0,104.775,108.725,20210700,20210800,20210600
2021-05-17 23:00:00,105.325,89.0,108.95,20210800,20211000,20210700
2021-05-18 23:00:00,107.75,90.725,111.5,20210800,20211000,20210700
2021-05-19 23:00:00,107.5,89.775,111.4,20210800,20211000,20210700
2021-05-20 23:00:00,109.325,90.875,113.55,20210800,20211000,20210700
2021-05-21 23:00:00,112.025,92.275,116.55,20210800,20211000,20210700
2021-05-24 23:00:00,111.55,92.375,115.325,20210800,20211000,20210700
2021-05-25 23:00:00,113.65,93.375,117.5,20210800,20211000,20210700
2021-05-26 23:00:00,113.6,93.375,116.4,20210800,20211000,20210700
2021-05-27 23:00:00,113.825,93.075,116.7,20210800,20211000,20210700
2021-05-28 23:00:00,116.225,94.075,119.35,20210800,20211000,20210700
