DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-13 23:00:00,1039.9,987.6,987.6,20210700,20210900,20210900
2021-04-14 23:00:00,1071.9,1005.3,1005.3,20210700,20210900,20210900
2021-04-15 23:00:00,1119.9,1049.0,1049.0,20210700,20210900,20210900
2021-04-16 23:00:00,1167.9,1090.5,1090.5,20210700,20210900,20210900
2021-04-19 23:00:00,1199.9,1122.5,1122.5,20210700,20210900,20210900
2021-04-20 23:00:00,1151.9,1074.5,1074.5,20210700,20210900,20210900
2021-04-21 23:00:00,1158.6,1051.8,1051.8,20210700,20210900,20210900
2021-04-22 23:00:00,1190.6,1083.8,1083.8,20210700,20210900,20210900
2021-04-23 23:00:00,1238.6,1131.7,1131.7,20210700,20210900,20210900
2021-04-26 23:00:00,1286.6,1179.7,1179.7,20210700,20210900,20210900
2021-04-27 23:00:00,1281.0,1151.2,1151.2,20210700,20210900,20210900
2021-04-28 23:00:00,1296.5,1155.0,1155.0,20210700,20210900,20210900
2021-04-29 23:00:00,1328.5,1187.0,1187.0,20210700,20210900,20210900
2021-04-30 23:00:00,1376.5,1235.0,1235.0,20210700,20210900,20210900
2021-05-03 23:00:00,1418.5,1277.0,1277.0,20210700,20210900,20210900
2021-05-04 23:00:00,1481.5,1340.0,1340.0,20210700,20210900,20210900
2021-05-05 23:00:00,1544.5,1403.0,1403.0,20210700,20210900,20210900
2021-05-06 23:00:00,1607.5,1466.0,1466.0,20210700,20210900,20210900
2021-05-07 23:00:00,1670.5,1528.3,1528.3,20210700,20210900,20210900
2021-05-10 23:00:00,1607.5,1465.3,1465.3,20210700,20210900,20210900
2021-05-11 23:00:00,1544.5,1402.3,1402.3,20210700,20210900,20210900
2021-05-12 23:00:00,1495.0,1339.3,1339.3,20210700,20210900,20210900
2021-05-13 23:00:00,1453.0,1297.3,1297.3,20210700,20210900,20210900
2021-05-14 23:00:00,1390.0,1240.0,1240.0,20210700,20210900,20210900
2021-05-17 23:00:00,1327.0,1177.0,1177.0,20210700,20210900,20210900
2021-05-18 23:00:00,1264.0,1114.0,1114.0,20210700,20210900,20210900
2021-05-19 23:00:00,1327.0,1177.0,1177.0,20210700,20210900,20210900
2021-05-20 23:00:00,1390.0,1240.0,1240.0,20210700,20210900,20210900
2021-05-21 23:00:00,1453.0,1303.0,1303.0,20210700,20210900,20210900
2021-05-24 23:00:00,1439.0,1304.2,1304.2,20210700,20210900,20210900
2021-05-25 23:00:00,1397.0,1262.2,1262.2,20210700,20210900,20210900
2021-05-26 23:00:00,1339.4,1199.2,1199.2,20210700,20210900,20210900
2021-05-27 23:00:00,1323.0,1163.7,1163.7,20210700,20210900,20210900
2021-05-28 23:00:00,1158.1,1005.0,1005.0,20210900,20211100,20211100
2021-06-01 23:00:00,1116.1,963.0,963.0,20210900,20211100,20211100
2021-06-02 23:00:00,1179.1,1026.0,1026.0,20210900,20211100,20211100
2021-06-03 23:00:00,1183.5,1029.8,1029.8,20210900,20211100,20211100
2021-06-04 23:00:00,1141.5,987.8,987.8,20210900,20211100,20211100
2021-06-07 23:00:00,1078.5,924.8,924.8,20210900,20211100,20211100
2021-06-08 23:00:00,1025.0,896.3,896.3,20210900,20211100,20211100
2021-06-09 23:00:00,1020.0,881.3,881.3,20210900,20211100,20211100
2021-06-10 23:00:00,978.0,839.3,839.3,20210900,20211100,20211100
2021-06-11 23:00:00,915.0,777.3,777.3,20210900,20211100,20211100
2021-06-14 23:00:00,852.0,715.0,715.0,20210900,20211100,20211100
2021-06-15 23:00:00,907.0,778.0,778.0,20210900,20211100,20211100
2021-06-16 23:00:00,865.0,750.0,750.0,20210900,20211100,20211100
2021-06-17 23:00:00,835.0,729.7,729.7,20210900,20211100,20211100
2021-06-18 23:00:00,844.5,754.5,754.5,20210900,20211100,20211100
2021-06-21 23:00:00,886.5,796.5,796.5,20210900,20211100,20211100
2021-06-22 23:00:00,866.4,804.3,804.3,20210900,20211100,20211100
2021-06-23 23:00:00,879.0,815.0,815.0,20210900,20211100,20211100
2021-06-24 23:00:00,837.0,796.0,796.0,20210900,20211100,20211100
2021-06-25 23:00:00,774.0,733.0,733.0,20210900,20211100,20211100
2021-06-28 23:00:00,797.3,759.9,759.9,20210900,20211100,20211100
2021-06-29 23:00:00,783.6,747.9,747.9,20210900,20211100,20211100
2021-06-30 23:00:00,737.4,710.0,710.0,20210900,20211100,20211100
2021-07-01 23:00:00,764.3,737.0,737.0,20210900,20211100,20211100
2021-07-02 23:00:00,787.3,758.5,758.5,20210900,20211100,20211100
2021-07-06 23:00:00,820.4,784.9,784.9,20210900,20211100,20211100
2021-07-07 23:00:00,816.6,790.4,790.4,20210900,20211100,20211100
2021-07-08 23:00:00,774.6,748.4,748.4,20210900,20211100,20211100
