DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-05-19 23:00:00,17.94,,17.77,20210900,20211000,20210800
2021-05-20 23:00:00,17.75,,17.66,20210900,20211000,20210800
2021-05-21 23:00:00,17.75,,17.66,20210900,20211000,20210800
2021-05-24 23:00:00,17.49,,17.28,20210900,20211000,20210800
2021-05-25 23:00:00,17.49,,17.28,20210900,20211000,20210800
2021-05-26 23:00:00,17.47,,17.24,20210900,20211000,20210800
2021-05-27 23:00:00,17.35,,17.18,20210900,20211000,20210800
2021-05-28 23:00:00,17.62,,17.39,20210900,20211000,20210800
2021-06-01 23:00:00,17.55,,17.25,20210900,20211000,20210800
2021-06-02 23:00:00,17.45,,17.25,20210900,20211000,20210800
2021-06-03 23:00:00,17.1,,16.9,20210900,20211000,20210800
2021-06-04 23:00:00,17.1,,16.95,20210900,20211000,20210800
2021-06-07 23:00:00,17.25,,17.04,20210900,20211000,20210800
2021-06-08 23:00:00,17.45,,17.18,20210900,20211000,20210800
2021-06-09 23:00:00,17.52,,17.22,20210900,20211000,20210800
2021-06-10 23:00:00,17.41,,17.12,20210900,20211000,20210800
2021-06-11 23:00:00,17.37,,17.01,20210900,20211000,20210800
2021-06-14 23:00:00,17.37,,17.12,20210900,20211000,20210800
2021-06-15 23:00:00,17.19,,16.9,20210900,20211000,20210800
2021-06-16 23:00:00,17.0,,16.83,20210900,20211000,20210800
2021-06-17 23:00:00,16.85,,16.64,20210900,20211000,20210800
2021-06-18 23:00:00,17.12,,16.64,20210900,20211000,20210800
2021-06-21 23:00:00,16.93,,16.59,20210900,20211000,20210800
2021-06-22 23:00:00,16.73,,16.4,20210900,20211000,20210800
2021-06-23 23:00:00,16.61,,16.34,20210900,20211000,20210800
2021-06-24 23:00:00,16.4,,16.14,20210900,20211000,20210800
2021-06-25 23:00:00,16.4,,16.14,20210900,20211000,20210800
2021-06-28 23:00:00,16.47,,16.2,20210900,20211000,20210800
2021-06-29 23:00:00,16.44,,16.17,20210900,20211000,20210800
2021-06-30 23:00:00,16.33,,16.17,20210900,20211000,20210800
2021-07-01 23:00:00,16.33,,16.09,20210900,20211000,20210800
2021-07-02 23:00:00,16.31,,16.0,20210900,20211000,20210800
2021-07-06 23:00:00,15.85,,15.84,20210900,20211000,20210800
2021-07-07 23:00:00,15.84,,15.7,20210900,20211000,20210800
2021-07-08 23:00:00,15.82,,15.7,20210900,20211000,20210800
2021-07-09 23:00:00,15.93,,15.86,20210900,20211000,20210800
2021-07-12 23:00:00,15.93,,15.86,20210900,20211000,20210800
2021-07-13 23:00:00,16.13,,15.96,20210900,20211000,20210800
2021-07-14 23:00:00,16.15,,16.03,20210900,20211000,20210800
2021-07-15 23:00:00,15.97,,15.85,20210900,20211000,20210800
2021-07-16 23:00:00,16.0,,15.89,20210900,20211000,20210800
2021-07-19 23:00:00,16.0,,15.88,20210900,20211000,20210800
2021-07-20 23:00:00,15.86,,15.81,20210900,20211000,20210800
2021-07-21 23:00:00,15.86,,15.78,20210900,20211000,20210800
2021-07-22 23:00:00,15.86,,15.86,20210900,20211000,20210800
2021-07-23 23:00:00,15.82,,15.82,20210900,20211000,20210800
2021-07-26 23:00:00,15.55,,15.68,20210900,20211000,20210800
2021-07-27 23:00:00,15.45,,15.53,20210900,20211000,20210800
2021-07-28 23:00:00,15.43,,15.35,20210900,20211000,20210800
2021-07-29 23:00:00,15.45,,15.44,20210900,20211000,20210800
2021-07-30 23:00:00,15.58,,15.5,20210900,20211000,20210800
2021-08-02 23:00:00,15.84,,15.55,20210900,20211000,20210800
2021-08-03 23:00:00,15.63,,15.55,20210900,20211000,20210800
2021-08-04 23:00:00,15.63,,15.55,20210900,20211000,20210800
2021-08-05 23:00:00,15.63,,15.55,20210900,20211000,20210800
2021-08-06 23:00:00,15.63,,15.55,20210900,20211000,20210800
