DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-24 23:00:00,358.95,,,20210500,20210600,20210600
2021-04-26 23:00:00,360.8,360.5,360.5,20210500,20210600,20210600
2021-04-27 23:00:00,361.55,,,20210500,20210600,20210600
2021-04-28 23:00:00,362.25,,,20210500,20210600,20210600
2021-04-29 23:00:00,361.95,,,20210500,20210600,20210600
2021-04-30 23:00:00,361.75,,,20210500,20210600,20210600
2021-05-01 23:00:00,362.0,362.0,362.0,20210500,20210600,20210600
2021-05-03 23:00:00,356.35,356.9,356.9,20210500,20210600,20210600
2021-05-04 23:00:00,357.7,,,20210500,20210600,20210600
2021-05-05 23:00:00,355.05,353.7,353.7,20210500,20210600,20210600
2021-05-06 23:00:00,357.3,357.95,357.95,20210500,20210600,20210600
2021-05-07 23:00:00,363.25,363.35,363.35,20210500,20210600,20210600
2021-05-08 23:00:00,364.1,363.8,363.8,20210500,20210600,20210600
2021-05-10 23:00:00,361.05,361.2,361.2,20210500,20210600,20210600
2021-05-11 23:00:00,355.0,354.95,354.95,20210500,20210600,20210600
2021-05-12 23:00:00,352.75,352.75,352.75,20210500,20210600,20210600
2021-05-13 23:00:00,342.85,343.25,343.25,20210500,20210600,20210600
2021-05-14 23:00:00,345.2,345.8,345.8,20210500,20210600,20210600
2021-05-15 23:00:00,347.25,345.85,345.85,20210500,20210600,20210600
2021-05-17 23:00:00,347.8,347.9,347.9,20210500,20210600,20210600
2021-05-18 23:00:00,356.75,356.45,356.45,20210500,20210600,20210600
2021-05-19 23:00:00,351.3,350.65,350.65,20210500,20210600,20210600
2021-05-20 23:00:00,351.3,353.0,353.0,20210500,20210600,20210600
2021-05-21 23:00:00,353.05,353.3,353.3,20210500,20210600,20210600
2021-05-22 23:00:00,353.75,353.25,353.25,20210500,20210600,20210600
2021-05-24 23:00:00,355.4,354.45,354.45,20210600,20210700,20210700
2021-05-25 23:00:00,357.3,,,20210600,20210700,20210700
2021-05-26 23:00:00,354.9,,,20210600,20210700,20210700
2021-05-27 23:00:00,358.6,,,20210600,20210700,20210700
2021-05-28 23:00:00,361.5,,,20210600,20210700,20210700
2021-05-29 23:00:00,361.3,,,20210600,20210700,20210700
2021-05-31 23:00:00,359.55,359.25,359.25,20210600,20210700,20210700
2021-06-01 23:00:00,362.65,361.0,361.0,20210600,20210700,20210700
2021-06-02 23:00:00,358.75,358.2,358.2,20210600,20210700,20210700
2021-06-03 23:00:00,359.25,360.45,360.45,20210600,20210700,20210700
2021-06-04 23:00:00,356.95,357.25,357.25,20210600,20210700,20210700
2021-06-05 23:00:00,359.0,,,20210600,20210700,20210700
2021-06-07 23:00:00,360.7,360.4,360.4,20210600,20210700,20210700
2021-06-08 23:00:00,360.95,,,20210600,20210700,20210700
2021-06-09 23:00:00,358.65,358.8,358.8,20210600,20210700,20210700
2021-06-10 23:00:00,360.35,359.5,359.5,20210600,20210700,20210700
2021-06-11 23:00:00,359.35,360.0,360.0,20210600,20210700,20210700
2021-06-12 23:00:00,359.85,,,20210600,20210700,20210700
2021-06-14 23:00:00,357.85,357.55,357.55,20210600,20210700,20210700
2021-06-15 23:00:00,362.55,362.9,362.9,20210600,20210700,20210700
2021-06-16 23:00:00,357.25,357.15,357.15,20210600,20210700,20210700
2021-06-17 23:00:00,356.35,356.15,356.15,20210600,20210700,20210700
