DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-03 23:00:00,158.28,164.61,164.61,20210900,20211200,20211200
2021-06-04 23:00:00,158.58,164.89,164.89,20210900,20211200,20211200
2021-06-07 23:00:00,158.36,164.66,164.66,20210900,20211200,20211200
2021-06-08 23:00:00,158.69,164.99,164.99,20210900,20211200,20211200
2021-06-09 23:00:00,159.13,166.29,166.29,20210900,20211200,20211200
2021-06-10 23:00:00,159.04,166.2,166.2,20210900,20211200,20211200
2021-06-11 23:00:00,159.39,165.65,165.65,20210900,20211200,20211200
2021-06-14 23:00:00,159.09,165.35,165.35,20210900,20211200,20211200
2021-06-15 23:00:00,158.81,165.07,165.07,20210900,20211200,20211200
2021-06-16 23:00:00,158.94,165.2,165.2,20210900,20211200,20211200
2021-06-17 23:00:00,158.65,164.91,164.91,20210900,20211200,20211200
2021-06-18 23:00:00,158.57,164.83,164.83,20210900,20211200,20211200
2021-06-21 23:00:00,158.48,164.74,164.74,20210900,20211200,20211200
2021-06-22 23:00:00,158.41,164.67,164.67,20210900,20211200,20211200
2021-06-23 23:00:00,158.58,164.84,164.84,20210900,20211200,20211200
2021-06-24 23:00:00,158.72,164.98,164.98,20210900,20211200,20211200
2021-06-25 23:00:00,158.11,164.61,164.61,20210900,20211200,20211200
2021-06-28 23:00:00,158.63,165.13,165.13,20210900,20211200,20211200
2021-06-29 23:00:00,158.57,165.07,165.07,20210900,20211200,20211200
2021-06-30 23:00:00,159.04,165.84,165.84,20210900,20211200,20211200
2021-07-01 23:00:00,159.07,165.87,165.87,20210900,20211200,20211200
2021-07-02 23:00:00,159.49,166.29,166.29,20210900,20211200,20211200
2021-07-05 23:00:00,159.13,165.93,165.93,20210900,20211200,20211200
2021-07-06 23:00:00,159.9,166.7,166.7,20210900,20211200,20211200
2021-07-07 23:00:00,160.21,167.01,167.01,20210900,20211200,20211200
2021-07-08 23:00:00,160.29,167.09,167.09,20210900,20211200,20211200
2021-07-09 23:00:00,159.99,166.79,166.79,20210900,20211200,20211200
2021-07-12 23:00:00,160.13,166.93,166.93,20210900,20211200,20211200
2021-07-13 23:00:00,160.32,167.62,167.62,20210900,20211200,20211200
2021-07-14 23:00:00,160.47,167.77,167.77,20210900,20211200,20211200
2021-07-15 23:00:00,160.67,167.97,167.97,20210900,20211200,20211200
2021-07-16 23:00:00,160.93,168.23,168.23,20210900,20211200,20211200
2021-07-19 23:00:00,161.29,168.59,168.59,20210900,20211200,20211200
2021-07-20 23:00:00,161.5,168.8,168.8,20210900,20211200,20211200
2021-07-21 23:00:00,161.26,168.72,168.72,20210900,20211200,20211200
2021-07-22 23:00:00,161.75,169.25,169.25,20210900,20211200,20211200
2021-07-23 23:00:00,161.76,169.31,169.31,20210900,20211200,20211200
2021-07-26 23:00:00,161.67,169.22,169.22,20210900,20211200,20211200
2021-07-27 23:00:00,161.83,169.38,169.38,20210900,20211200,20211200
2021-07-28 23:00:00,161.86,169.39,169.39,20210900,20211200,20211200
2021-07-29 23:00:00,162.04,169.57,169.57,20210900,20211200,20211200
2021-07-30 23:00:00,162.08,169.69,169.69,20210900,20211200,20211200
2021-08-02 23:00:00,162.4,170.04,170.04,20210900,20211200,20211200
2021-08-03 23:00:00,162.47,170.12,170.12,20210900,20211200,20211200
2021-08-04 23:00:00,162.48,170.17,170.17,20210900,20211200,20211200
2021-08-05 23:00:00,162.88,170.58,170.58,20210900,20211200,20211200
2021-08-06 23:00:00,162.23,169.89,169.89,20210900,20211200,20211200
2021-08-09 23:00:00,162.28,169.94,169.94,20210900,20211200,20211200
2021-08-10 23:00:00,162.38,170.04,170.04,20210900,20211200,20211200
2021-08-11 23:00:00,162.24,169.88,169.88,20210900,20211200,20211200
2021-08-12 23:00:00,162.31,169.95,169.95,20210900,20211200,20211200
2021-08-13 23:00:00,162.29,169.98,169.98,20210900,20211200,20211200
2021-08-16 23:00:00,162.35,170.06,170.06,20210900,20211200,20211200
2021-08-17 23:00:00,162.3,170.01,170.01,20210900,20211200,20211200
2021-08-18 23:00:00,162.44,170.17,170.17,20210900,20211200,20211200
2021-08-19 23:00:00,162.57,170.33,170.33,20210900,20211200,20211200
2021-08-20 23:00:00,162.69,170.48,170.48,20210900,20211200,20211200
2021-08-23 23:00:00,162.45,170.2,170.2,20210900,20211200,20211200
2021-08-24 23:00:00,162.42,170.17,170.17,20210900,20211200,20211200
2021-08-25 23:00:00,161.61,169.16,169.16,20210900,20211200,20211200
2021-08-26 23:00:00,161.55,169.07,169.07,20210900,20211200,20211200
2021-08-27 23:00:00,161.63,169.12,169.12,20210900,20211200,20211200
2021-08-30 23:00:00,161.93,169.48,169.48,20210900,20211200,20211200
2021-08-31 23:00:00,161.18,168.62,168.62,20210900,20211200,20211200
2021-09-01 23:00:00,161.13,168.5,168.5,20210900,20211200,20211200
2021-09-02 23:00:00,161.42,168.83,168.83,20210900,20211200,20211200
2021-09-03 23:00:00,168.62,166.13,166.13,20211200,20220300,20220300
2021-09-06 23:00:00,168.71,166.26,166.26,20211200,20220300,20220300
2021-09-07 23:00:00,167.85,165.56,165.56,20211200,20220300,20220300
2021-09-08 23:00:00,168.0,165.71,165.71,20211200,20220300,20220300
2021-09-09 23:00:00,168.83,166.54,166.54,20211200,20220300,20220300
2021-09-10 23:00:00,168.29,165.9,165.9,20211200,20220300,20220300
2021-09-13 23:00:00,168.24,165.85,165.85,20211200,20220300,20220300
2021-09-14 23:00:00,168.42,166.03,166.03,20211200,20220300,20220300
2021-09-15 23:00:00,167.95,165.56,165.56,20211200,20220300,20220300
2021-09-16 23:00:00,167.85,165.47,165.47,20211200,20220300,20220300
2021-09-17 23:00:00,167.45,165.07,165.07,20211200,20220300,20220300
2021-09-20 23:00:00,167.85,165.47,165.47,20211200,20220300,20220300
2021-09-21 23:00:00,168.09,165.71,165.71,20211200,20220300,20220300
2021-09-22 23:00:00,168.14,165.76,165.76,20211200,20220300,20220300
2021-09-23 23:00:00,167.11,164.73,164.73,20211200,20220300,20220300
2021-09-24 23:00:00,166.6,164.23,164.23,20211200,20220300,20220300
2021-09-27 23:00:00,166.44,164.07,164.07,20211200,20220300,20220300
2021-09-28 23:00:00,165.97,163.59,163.59,20211200,20220300,20220300
2021-09-29 23:00:00,166.29,163.91,163.91,20211200,20220300,20220300
2021-09-30 23:00:00,165.95,163.57,163.57,20211200,20220300,20220300
2021-10-01 23:00:00,166.39,164.01,164.01,20211200,20220300,20220300
2021-10-04 23:00:00,166.26,163.87,163.87,20211200,20220300,20220300
2021-10-05 23:00:00,165.86,163.47,163.47,20211200,20220300,20220300
2021-10-06 23:00:00,165.81,163.42,163.42,20211200,20220300,20220300
2021-10-07 23:00:00,165.97,163.58,163.58,20211200,20220300,20220300
2021-10-08 23:00:00,165.5,163.11,163.11,20211200,20220300,20220300
2021-10-11 23:00:00,165.1,162.71,162.71,20211200,20220300,20220300
2021-10-12 23:00:00,164.8,162.41,162.41,20211200,20220300,20220300
2021-10-13 23:00:00,165.32,162.93,162.93,20211200,20220300,20220300
2021-10-14 23:00:00,166.06,163.67,163.67,20211200,20220300,20220300
2021-10-15 23:00:00,165.85,163.46,163.46,20211200,20220300,20220300
2021-10-18 23:00:00,165.41,163.02,163.02,20211200,20220300,20220300
2021-10-19 23:00:00,164.83,162.44,162.44,20211200,20220300,20220300
2021-10-20 23:00:00,165.08,162.69,162.69,20211200,20220300,20220300
2021-10-21 23:00:00,164.67,162.28,162.28,20211200,20220300,20220300
2021-10-22 23:00:00,164.64,162.25,162.25,20211200,20220300,20220300
2021-10-25 23:00:00,165.05,162.66,162.66,20211200,20220300,20220300
2021-10-26 23:00:00,165.01,162.62,162.62,20211200,20220300,20220300
2021-10-27 23:00:00,165.85,163.46,163.46,20211200,20220300,20220300
2021-10-28 23:00:00,165.31,162.91,162.91,20211200,20220300,20220300
2021-10-29 23:00:00,164.0,161.6,161.6,20211200,20220300,20220300
2021-11-01 23:00:00,164.05,161.65,161.65,20211200,20220300,20220300
2021-11-02 23:00:00,165.57,163.16,163.16,20211200,20220300,20220300
2021-11-03 23:00:00,165.65,163.24,163.24,20211200,20220300,20220300
2021-11-04 23:00:00,166.6,164.17,164.17,20211200,20220300,20220300
2021-11-05 23:00:00,167.42,164.98,164.98,20211200,20220300,20220300
2021-11-08 23:00:00,167.09,164.65,164.65,20211200,20220300,20220300
2021-11-09 23:00:00,167.62,165.17,165.17,20211200,20220300,20220300
2021-11-10 23:00:00,166.88,164.42,164.42,20211200,20220300,20220300
2021-11-11 23:00:00,166.54,164.04,164.04,20211200,20220300,20220300
2021-11-12 23:00:00,166.89,164.36,164.36,20211200,20220300,20220300
2021-11-15 23:00:00,166.8,164.29,164.29,20211200,20220300,20220300
2021-11-16 23:00:00,166.86,164.35,164.35,20211200,20220300,20220300
2021-11-17 23:00:00,166.78,164.28,164.28,20211200,20220300,20220300
2021-11-18 23:00:00,167.39,164.9,164.9,20211200,20220300,20220300
2021-11-19 23:00:00,168.44,165.95,165.95,20211200,20220300,20220300
2021-11-22 23:00:00,167.88,165.39,165.39,20211200,20220300,20220300
2021-11-23 23:00:00,166.68,164.16,164.16,20211200,20220300,20220300
