DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-19 23:00:00,13.24,,13.155,20210900,20211100,20210700
2021-04-20 23:00:00,13.205,,13.125,20210900,20211100,20210700
2021-04-21 23:00:00,13.23,,13.18,20210900,20211100,20210700
2021-04-22 23:00:00,13.36,13.5,13.71,20210900,20211100,20210700
2021-04-23 23:00:00,13.425,13.555,13.73,20210900,20211100,20210700
2021-04-26 23:00:00,13.58,,13.565,20210900,20211100,20210700
2021-04-27 23:00:00,13.49,13.69,13.41,20210900,20211100,20210700
2021-04-28 23:00:00,13.5,13.6,13.5,20210900,20211100,20210700
2021-04-29 23:00:00,13.745,13.85,13.74,20210900,20211100,20210700
2021-04-30 23:00:00,13.655,13.765,13.695,20210900,20211100,20210700
2021-05-03 23:00:00,13.68,13.78,13.755,20210900,20211100,20210700
2021-05-04 23:00:00,14.0,14.0,14.09,20210900,20211100,20210700
2021-05-05 23:00:00,14.055,13.97,14.42,20210900,20211100,20210700
2021-05-06 23:00:00,13.95,14.18,14.14,20210900,20211100,20210700
2021-05-07 23:00:00,14.145,14.29,14.49,20210900,20211100,20210700
2021-05-10 23:00:00,14.03,14.005,14.195,20210900,20211100,20210700
2021-05-11 23:00:00,13.995,14.11,14.11,20210900,20211100,20210700
2021-05-12 23:00:00,14.045,,14.095,20210900,20211100,20210700
2021-05-13 23:00:00,13.68,13.95,13.655,20210900,20211100,20210700
2021-05-14 23:00:00,13.665,13.765,13.605,20210900,20211100,20210700
2021-05-17 23:00:00,13.665,13.74,13.46,20210900,20211100,20210700
2021-05-18 23:00:00,13.55,,13.35,20210900,20211100,20210700
2021-05-19 23:00:00,13.54,,13.405,20210900,20211100,20210700
2021-05-20 23:00:00,13.47,13.8,13.27,20210900,20211100,20210700
2021-05-21 23:00:00,13.42,13.555,13.185,20210900,20211100,20210700
2021-05-24 23:00:00,13.39,,13.15,20210900,20211100,20210700
2021-05-25 23:00:00,13.42,,13.25,20210900,20211100,20210700
2021-05-26 23:00:00,13.46,13.59,13.19,20210900,20211100,20210700
2021-05-27 23:00:00,13.49,13.55,13.215,20210900,20211100,20210700
2021-05-28 23:00:00,13.545,13.645,13.3,20210900,20211100,20210700
2021-06-01 23:00:00,13.57,13.66,13.315,20210900,20211100,20210700
