DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-16 23:00:00,1.34085,1.33515,1.33515,20210500,20210600,20210600
2021-04-19 23:00:00,1.33085,1.33095,1.33095,20210500,20210600,20210600
2021-04-21 23:00:00,1.33035,,,20210500,20210600,20210600
2021-04-22 23:00:00,1.32785,,,20210500,20210600,20210600
2021-04-23 23:00:00,1.328,,,20210500,20210600,20210600
2021-04-24 23:00:00,1.3277,,,20210500,20210600,20210600
2021-04-26 23:00:00,1.3259,1.326,1.326,20210500,20210600,20210600
2021-04-27 23:00:00,1.3257,,,20210500,20210600,20210600
2021-04-28 23:00:00,1.3267,,,20210500,20210600,20210600
2021-04-29 23:00:00,1.3254,,,20210500,20210600,20210600
2021-04-30 23:00:00,1.32745,1.3268,1.3268,20210500,20210600,20210600
2021-05-01 23:00:00,1.3282,,,20210500,20210600,20210600
2021-05-03 23:00:00,1.33165,1.3318,1.3318,20210500,20210600,20210600
2021-05-04 23:00:00,1.33655,1.33735,1.33735,20210500,20210600,20210600
2021-05-05 23:00:00,1.3355,1.34205,1.34205,20210500,20210600,20210600
2021-05-06 23:00:00,1.33625,,,20210500,20210600,20210600
2021-05-07 23:00:00,1.3323,1.3395,1.3395,20210500,20210600,20210600
2021-05-10 23:00:00,1.3247,1.3248,1.3248,20210600,20210700,20210700
2021-05-17 23:00:00,1.33565,1.3358,1.3358,20210600,20210700,20210700
2021-05-18 23:00:00,1.33055,1.3415,1.3415,20210600,20210700,20210700
2021-05-19 23:00:00,1.33235,,,20210600,20210700,20210700
2021-05-20 23:00:00,1.33275,1.33975,1.33975,20210600,20210700,20210700
2021-05-21 23:00:00,1.3301,,,20210600,20210700,20210700
2021-05-24 23:00:00,1.3301,1.33025,1.33025,20210600,20210700,20210700
2021-05-25 23:00:00,1.3253,,,20210600,20210700,20210700
2021-05-26 23:00:00,1.3234,,,20210600,20210700,20210700
2021-05-27 23:00:00,1.32315,,,20210600,20210700,20210700
2021-05-28 23:00:00,1.3234,1.33555,1.33555,20210600,20210700,20210700
2021-05-31 23:00:00,1.32255,1.32265,1.32265,20210600,20210700,20210700
2021-06-01 23:00:00,1.3225,,,20210600,20210700,20210700
2021-06-02 23:00:00,1.32405,1.3237,1.3237,20210600,20210700,20210700
2021-06-03 23:00:00,1.3235,,,20210600,20210700,20210700
2021-06-04 23:00:00,1.32905,,,20210600,20210700,20210700
2021-06-05 23:00:00,1.32585,,,20210600,20210700,20210700
2021-06-07 23:00:00,1.3232,1.32335,1.32335,20210600,20210700,20210700
2021-06-08 23:00:00,1.3238,,,20210600,20210700,20210700
2021-06-09 23:00:00,1.3234,,,20210600,20210700,20210700
2021-06-10 23:00:00,1.32465,,,20210600,20210700,20210700
2021-06-11 23:00:00,1.3228,1.3229,1.3229,20210600,20210700,20210700
2021-06-14 23:00:00,1.32685,1.32695,1.32695,20210700,20210800,20210800
2021-06-15 23:00:00,1.32695,1.32675,1.32675,20210700,20210800,20210800
2021-06-16 23:00:00,1.32635,1.3279,1.3279,20210700,20210800,20210800
2021-06-17 23:00:00,1.3399,1.33875,1.33875,20210700,20210800,20210800
2021-06-18 23:00:00,1.3416,,,20210700,20210800,20210800
2021-06-19 23:00:00,1.34445,1.3444,1.3444,20210700,20210800,20210800
2021-06-21 23:00:00,1.34455,1.3447,1.3447,20210700,20210800,20210800
2021-06-22 23:00:00,1.3462,1.3473,1.3473,20210700,20210800,20210800
2021-06-23 23:00:00,1.34535,1.34555,1.34555,20210700,20210800,20210800
2021-06-24 23:00:00,1.34345,1.34305,1.34305,20210700,20210800,20210800
2021-06-25 23:00:00,1.3419,,,20210700,20210800,20210800
2021-06-28 23:00:00,1.34405,1.3442,1.3442,20210700,20210800,20210800
2021-06-29 23:00:00,1.3444,,,20210700,20210800,20210800
2021-06-30 23:00:00,1.3438,,,20210700,20210800,20210800
2021-07-02 23:00:00,1.34555,1.3503,1.3503,20210700,20210800,20210800
2021-07-05 23:00:00,1.34505,1.3451,1.3451,20210700,20210800,20210800
2021-07-06 23:00:00,,1.34355,1.34355,20210700,20210800,20210800
2021-07-07 23:00:00,1.3474,1.34795,1.34795,20210700,20210800,20210800
2021-07-08 23:00:00,1.3524,,,20210700,20210800,20210800
2021-07-09 23:00:00,1.35405,1.35495,1.35495,20210700,20210800,20210800
2021-07-12 23:00:00,1.3527,1.3528,1.3528,20210800,20210900,20210900
2021-07-14 23:00:00,1.3551,,,20210800,20210900,20210900
2021-07-15 23:00:00,1.35405,1.35405,1.35405,20210800,20210900,20210900
2021-07-16 23:00:00,1.3551,1.35485,1.35485,20210800,20210900,20210900
2021-07-17 23:00:00,1.3566,1.3562,1.3562,20210800,20210900,20210900
2021-07-19 23:00:00,1.3625,1.36255,1.36255,20210800,20210900,20210900
2021-07-20 23:00:00,1.3663,,,20210800,20210900,20210900
2021-07-22 23:00:00,1.3624,,,20210800,20210900,20210900
2021-07-23 23:00:00,1.3594,,,20210800,20210900,20210900
2021-07-26 23:00:00,1.35985,1.3599,1.3599,20210800,20210900,20210900
2021-07-27 23:00:00,1.36065,,,20210800,20210900,20210900
2021-07-28 23:00:00,1.36005,,,20210800,20210900,20210900
2021-07-30 23:00:00,1.3544,1.353,1.353,20210800,20210900,20210900
2021-08-02 23:00:00,1.352,1.35205,1.35205,20210800,20210900,20210900
2021-08-03 23:00:00,,1.351,1.351,20210800,20210900,20210900
2021-08-04 23:00:00,1.3481,,,20210800,20210900,20210900
2021-08-05 23:00:00,1.35105,1.35095,1.35095,20210800,20210900,20210900
2021-08-06 23:00:00,1.35105,,,20210900,20211000,20211000
2021-08-07 23:00:00,1.35495,,,20210900,20211000,20211000
2021-08-09 23:00:00,1.35535,1.35545,1.35545,20210900,20211000,20211000
2021-08-10 23:00:00,1.3574,,,20210900,20211000,20211000
2021-08-11 23:00:00,1.3595,,,20210900,20211000,20211000
2021-08-12 23:00:00,1.35745,,,20210900,20211000,20211000
2021-08-13 23:00:00,1.358,1.35795,1.35795,20210900,20211000,20211000
2021-08-14 23:00:00,1.35535,,,20210900,20211000,20211000
