DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-22 23:00:00,3154.0,,,20210500,20210600,20210600
2021-04-23 23:00:00,3162.0,,,20210500,20210600,20210600
2021-04-26 23:00:00,3174.0,3176.0,3176.0,20210500,20210600,20210600
2021-04-28 23:00:00,3191.0,,,20210500,20210600,20210600
2021-04-29 23:00:00,3202.0,,,20210500,20210600,20210600
2021-04-30 23:00:00,3197.0,,,20210500,20210600,20210600
2021-05-03 23:00:00,3160.0,3162.0,3162.0,20210500,20210600,20210600
2021-05-10 23:00:00,3173.0,3166.0,3166.0,20210600,20210700,20210700
2021-05-17 23:00:00,3074.0,3066.0,3066.0,20210600,20210700,20210700
2021-05-21 23:00:00,3115.0,,,20210600,20210700,20210700
2021-05-24 23:00:00,3123.0,3116.0,3116.0,20210600,20210700,20210700
2021-05-25 23:00:00,3139.0,,,20210600,20210700,20210700
2021-05-27 23:00:00,3172.0,,,20210600,20210700,20210700
2021-05-28 23:00:00,3188.0,,,20210600,20210700,20210700
2021-05-31 23:00:00,3165.0,3162.0,3162.0,20210600,20210700,20210700
2021-06-01 23:00:00,3191.0,,,20210600,20210700,20210700
2021-06-02 23:00:00,3157.0,,,20210600,20210700,20210700
2021-06-03 23:00:00,3166.0,,,20210600,20210700,20210700
2021-06-04 23:00:00,3146.0,,,20210600,20210700,20210700
2021-06-07 23:00:00,3176.0,3174.0,3174.0,20210600,20210700,20210700
2021-06-14 23:00:00,3151.0,3126.0,3126.0,20210700,20210800,20210800
2021-06-21 23:00:00,3115.0,3091.0,3091.0,20210700,20210800,20210800
2021-06-22 23:00:00,3099.0,,,20210700,20210800,20210800
2021-06-28 23:00:00,3124.0,3099.0,3099.0,20210700,20210800,20210800
2021-06-29 23:00:00,3088.0,,,20210700,20210800,20210800
2021-06-30 23:00:00,3133.0,,,20210700,20210800,20210800
2021-07-01 23:00:00,3124.0,,,20210700,20210800,20210800
2021-07-02 23:00:00,3127.0,,,20210700,20210800,20210800
2021-07-05 23:00:00,3138.0,3113.0,3113.0,20210700,20210800,20210800
2021-07-12 23:00:00,3119.0,3119.0,3119.0,20210800,20210900,20210900
2021-07-19 23:00:00,3082.0,3083.0,3083.0,20210800,20210900,20210900
2021-07-22 23:00:00,3142.0,,,20210800,20210900,20210900
2021-07-23 23:00:00,3130.0,,,20210800,20210900,20210900
2021-07-26 23:00:00,3109.0,3110.0,3110.0,20210800,20210900,20210900
2021-07-27 23:00:00,3108.0,,,20210800,20210900,20210900
2021-07-28 23:00:00,3115.0,,,20210800,20210900,20210900
