DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-19 23:00:00,408.0,402.7,411.3,20210800,20210900,20210700
2021-04-20 23:00:00,411.9,406.8,414.7,20210800,20210900,20210700
2021-04-21 23:00:00,413.0,407.5,416.1,20210800,20210900,20210700
2021-04-22 23:00:00,421.7,415.6,425.3,20210800,20210900,20210700
2021-04-23 23:00:00,422.6,416.8,425.8,20210800,20210900,20210700
2021-04-26 23:00:00,427.6,421.4,431.5,20210800,20210900,20210700
2021-04-27 23:00:00,422.0,415.9,426.8,20210800,20210900,20210700
2021-04-28 23:00:00,416.1,409.9,421.8,20210800,20210900,20210700
2021-04-29 23:00:00,416.9,410.3,423.0,20210800,20210900,20210700
2021-04-30 23:00:00,419.7,411.9,426.1,20210800,20210900,20210700
2021-05-03 23:00:00,410.8,405.5,415.1,20210800,20210900,20210700
2021-05-04 23:00:00,416.4,410.4,421.5,20210800,20210900,20210700
2021-05-05 23:00:00,419.1,412.9,424.4,20210800,20210900,20210700
2021-05-06 23:00:00,421.6,415.4,427.3,20210800,20210900,20210700
2021-05-07 23:00:00,435.8,429.0,441.8,20210800,20210900,20210700
2021-05-10 23:00:00,435.6,427.4,442.3,20210800,20210900,20210700
2021-05-11 23:00:00,440.7,432.3,447.0,20210800,20210900,20210700
2021-05-12 23:00:00,442.0,433.8,448.8,20210800,20210900,20210700
2021-05-13 23:00:00,416.7,411.0,421.4,20210800,20210900,20210700
2021-05-14 23:00:00,414.0,408.5,418.5,20210800,20210900,20210700
2021-05-17 23:00:00,410.8,405.6,414.9,20210800,20210900,20210700
2021-05-18 23:00:00,405.0,400.6,408.4,20210900,20211000,20210800
2021-05-19 23:00:00,397.7,393.6,400.9,20210900,20211000,20210800
2021-05-20 23:00:00,397.4,393.8,399.8,20210900,20211000,20210800
2021-05-21 23:00:00,396.1,392.8,398.0,20210900,20211000,20210800
2021-05-24 23:00:00,397.5,393.9,399.3,20210900,20211000,20210800
2021-05-25 23:00:00,385.5,382.8,386.4,20210900,20211000,20210800
2021-05-26 23:00:00,384.6,382.8,384.6,20210900,20211000,20210800
2021-05-27 23:00:00,391.7,390.0,391.8,20210900,20211000,20210800
2021-05-28 23:00:00,395.4,392.3,396.5,20210900,20211000,20210800
2021-06-01 23:00:00,398.7,395.5,399.5,20210900,20211000,20210800
2021-06-02 23:00:00,394.9,392.1,395.3,20210900,20211000,20210800
2021-06-03 23:00:00,392.8,389.6,392.9,20210900,20211000,20210800
2021-06-04 23:00:00,396.8,393.3,397.3,20210900,20211000,20210800
2021-06-07 23:00:00,390.7,389.5,389.2,20210900,20211000,20210800
2021-06-08 23:00:00,393.5,392.3,391.7,20210900,20211000,20210800
2021-06-09 23:00:00,390.9,390.7,388.4,20210900,20211000,20210800
2021-06-10 23:00:00,386.9,388.6,384.0,20210900,20211000,20210800
2021-06-11 23:00:00,388.8,390.3,386.0,20210900,20211000,20210800
2021-06-14 23:00:00,379.4,380.7,376.7,20210900,20211000,20210800
2021-06-15 23:00:00,375.7,375.8,373.8,20210900,20211000,20210800
2021-06-16 23:00:00,380.6,380.1,379.7,20210900,20211000,20210800
2021-06-17 23:00:00,364.7,365.8,362.8,20210900,20211000,20210800
2021-06-18 23:00:00,375.5,379.1,375.2,20211000,20211200,20210900
2021-06-21 23:00:00,371.6,374.9,372.5,20211000,20211200,20210900
2021-06-22 23:00:00,363.3,366.7,364.3,20211000,20211200,20210900
