DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-19 23:00:00,51.48,49.72,53.87,20210800,20210900,20210700
2021-04-20 23:00:00,52.34,50.43,55.14,20210800,20210900,20210700
2021-04-21 23:00:00,53.87,51.75,56.94,20210800,20210900,20210700
2021-04-22 23:00:00,55.44,53.09,58.95,20210800,20210900,20210700
2021-04-23 23:00:00,55.1,52.83,58.78,20210800,20210900,20210700
2021-04-26 23:00:00,56.38,54.0,60.89,20210800,20210900,20210700
2021-04-27 23:00:00,56.3,53.57,60.88,20210800,20210900,20210700
2021-04-28 23:00:00,56.24,53.28,61.16,20210800,20210900,20210700
2021-04-29 23:00:00,55.0,52.27,59.89,20210800,20210900,20210700
2021-04-30 23:00:00,57.47,54.44,62.39,20210800,20210900,20210700
2021-05-03 23:00:00,58.43,55.62,63.06,20210800,20210900,20210700
2021-05-04 23:00:00,59.45,56.9,63.58,20210800,20210900,20210700
2021-05-05 23:00:00,59.79,57.81,63.46,20210800,20210900,20210700
2021-05-06 23:00:00,61.09,59.45,64.35,20210800,20210900,20210700
2021-05-07 23:00:00,61.23,59.63,64.48,20210800,20210900,20210700
2021-05-10 23:00:00,60.47,58.9,63.84,20210800,20210900,20210700
2021-05-11 23:00:00,61.65,59.93,64.8,20210800,20210900,20210700
2021-05-12 23:00:00,63.21,61.32,66.4,20210800,20210900,20210700
2021-05-13 23:00:00,62.58,60.74,65.78,20210800,20210900,20210700
2021-05-14 23:00:00,64.1,62.1,67.58,20210800,20210900,20210700
2021-05-17 23:00:00,64.8,62.4,68.97,20210800,20210900,20210700
2021-05-18 23:00:00,62.43,60.69,64.88,20210900,20211000,20210800
2021-05-19 23:00:00,60.51,58.77,62.81,20210900,20211000,20210800
2021-05-20 23:00:00,59.96,58.46,62.02,20210900,20211000,20210800
2021-05-21 23:00:00,59.52,58.15,61.52,20210900,20211000,20210800
2021-05-24 23:00:00,59.62,58.39,61.29,20210900,20211000,20210800
2021-05-25 23:00:00,60.61,59.26,62.54,20210900,20211000,20210800
2021-05-26 23:00:00,60.13,58.83,61.9,20210900,20211000,20210800
2021-05-27 23:00:00,61.65,60.32,63.23,20210900,20211000,20210800
2021-05-28 23:00:00,61.01,59.72,62.33,20210900,20211000,20210800
2021-06-01 23:00:00,62.39,61.21,63.75,20210900,20211000,20210800
2021-06-02 23:00:00,64.96,63.58,66.69,20210900,20211000,20210800
2021-06-03 23:00:00,63.98,62.79,65.38,20210900,20211000,20210800
2021-06-04 23:00:00,66.51,65.25,67.97,20210900,20211000,20210800
2021-06-07 23:00:00,67.24,66.24,68.17,20210900,20211000,20210800
2021-06-08 23:00:00,68.43,67.43,69.3,20210900,20211000,20210800
2021-06-09 23:00:00,67.98,66.9,68.97,20210900,20211000,20210800
2021-06-10 23:00:00,68.03,67.27,68.68,20210900,20211000,20210800
2021-06-11 23:00:00,65.01,64.3,65.65,20210900,20211000,20210800
2021-06-14 23:00:00,63.14,62.38,63.93,20210900,20211000,20210800
2021-06-15 23:00:00,62.56,61.85,63.34,20210900,20211000,20210800
2021-06-16 23:00:00,59.06,58.35,59.84,20210900,20211000,20210800
2021-06-17 23:00:00,53.56,52.85,54.34,20210900,20211000,20210800
2021-06-18 23:00:00,56.09,56.01,56.36,20211000,20211200,20210900
2021-06-21 23:00:00,58.01,57.93,58.25,20211000,20211200,20210900
2021-06-22 23:00:00,58.15,57.99,58.5,20211000,20211200,20210900
2021-06-23 23:00:00,59.77,59.54,60.19,20211000,20211200,20210900
2021-06-24 23:00:00,60.46,60.16,60.89,20211000,20211200,20210900
2021-06-25 23:00:00,57.52,57.24,57.89,20211000,20211200,20210900
2021-06-28 23:00:00,60.11,60.03,60.28,20211000,20211200,20210900
2021-06-29 23:00:00,61.52,61.29,61.81,20211000,20211200,20210900
2021-06-30 23:00:00,62.89,62.76,63.11,20211000,20211200,20210900
2021-07-01 23:00:00,61.69,61.49,62.06,20211000,20211200,20210900
2021-07-02 23:00:00,62.47,62.28,62.87,20211000,20211200,20210900
2021-07-06 23:00:00,59.07,58.78,59.6,20211000,20211200,20210900
2021-07-07 23:00:00,59.93,59.69,60.36,20211000,20211200,20210900
2021-07-08 23:00:00,59.39,59.18,59.82,20211000,20211200,20210900
2021-07-09 23:00:00,61.18,60.94,61.63,20211000,20211200,20210900
2021-07-12 23:00:00,62.65,62.36,63.14,20211000,20211200,20210900
2021-07-13 23:00:00,63.79,63.48,64.31,20211000,20211200,20210900
2021-07-14 23:00:00,64.13,63.75,64.77,20211000,20211200,20210900
2021-07-15 23:00:00,65.04,64.49,65.9,20211000,20211200,20210900
2021-07-16 23:00:00,65.83,65.22,66.76,20211000,20211200,20210900
2021-07-19 23:00:00,63.08,62.2,63.82,20211200,20220100,20211000
2021-07-20 23:00:00,63.93,63.1,64.54,20211200,20220100,20211000
2021-07-21 23:00:00,62.78,62.06,63.28,20211200,20220100,20211000
2021-07-22 23:00:00,61.96,61.33,62.43,20211200,20220100,20211000
2021-07-23 23:00:00,63.23,62.68,63.58,20211200,20220100,20211000
2021-07-26 23:00:00,64.07,63.48,64.41,20211200,20220100,20211000
2021-07-27 23:00:00,62.91,62.24,63.32,20211200,20220100,20211000
2021-07-28 23:00:00,63.4,62.67,63.88,20211200,20220100,20211000
2021-07-29 23:00:00,64.71,63.89,65.24,20211200,20220100,20211000
2021-07-30 23:00:00,63.04,62.3,63.54,20211200,20220100,20211000
2021-08-02 23:00:00,62.59,61.98,62.97,20211200,20220100,20211000
2021-08-03 23:00:00,61.8,61.35,61.98,20211200,20220100,20211000
2021-08-04 23:00:00,61.54,61.08,61.76,20211200,20220100,20211000
2021-08-05 23:00:00,60.86,60.54,60.97,20211200,20220100,20211000
2021-08-06 23:00:00,61.27,61.07,61.31,20211200,20220100,20211000
2021-08-09 23:00:00,59.94,59.69,60.07,20211200,20220100,20211000
2021-08-10 23:00:00,60.62,60.45,60.7,20211200,20220100,20211000
2021-08-11 23:00:00,61.6,61.4,61.72,20211200,20220100,20211000
2021-08-12 23:00:00,61.58,61.33,61.72,20211200,20220100,20211000
