DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-14 23:00:00,455.55,458.6,458.6,20210900,20211200,20211200
2021-06-15 23:00:00,456.2,459.4,459.4,20210900,20211200,20211200
2021-06-16 23:00:00,455.95,459.3,459.3,20210900,20211200,20211200
2021-06-17 23:00:00,442.45,445.75,445.75,20210900,20211200,20211200
2021-06-18 23:00:00,430.85,434.55,434.55,20210900,20211200,20211200
2021-06-21 23:00:00,441.4,444.9,444.9,20210900,20211200,20211200
2021-06-22 23:00:00,442.25,445.5,445.5,20210900,20211200,20211200
2021-06-23 23:00:00,443.35,446.7,446.7,20210900,20211200,20211200
2021-06-24 23:00:00,448.65,451.8,451.8,20210900,20211200,20211200
2021-06-25 23:00:00,454.3,457.7,457.7,20210900,20211200,20211200
2021-06-28 23:00:00,450.6,453.95,453.95,20210900,20211200,20211200
2021-06-29 23:00:00,449.0,452.4,452.4,20210900,20211200,20211200
2021-06-30 23:00:00,451.3,454.65,454.65,20210900,20211200,20211200
2021-07-01 23:00:00,454.65,457.75,457.75,20210900,20211200,20211200
2021-07-02 23:00:00,454.05,457.05,457.05,20210900,20211200,20211200
2021-07-06 23:00:00,446.9,449.95,449.95,20210900,20211200,20211200
2021-07-07 23:00:00,447.25,450.1,450.1,20210900,20211200,20211200
2021-07-08 23:00:00,438.15,441.35,441.35,20210900,20211200,20211200
2021-07-09 23:00:00,451.05,453.95,453.95,20210900,20211200,20211200
2021-07-12 23:00:00,455.35,458.2,458.2,20210900,20211200,20211200
2021-07-13 23:00:00,450.7,453.5,453.5,20210900,20211200,20211200
2021-07-14 23:00:00,448.6,451.5,451.5,20210900,20211200,20211200
2021-07-15 23:00:00,450.1,452.95,452.95,20210900,20211200,20211200
2021-07-16 23:00:00,444.05,446.85,446.85,20210900,20211200,20211200
2021-07-19 23:00:00,431.7,434.35,434.35,20210900,20211200,20211200
2021-07-20 23:00:00,442.1,444.8,444.8,20210900,20211200,20211200
2021-07-21 23:00:00,449.7,452.4,452.4,20210900,20211200,20211200
2021-07-22 23:00:00,444.75,447.55,447.55,20210900,20211200,20211200
2021-07-23 23:00:00,445.45,448.25,448.25,20210900,20211200,20211200
2021-07-26 23:00:00,447.8,450.6,450.6,20210900,20211200,20211200
2021-07-27 23:00:00,448.15,450.8,450.8,20210900,20211200,20211200
2021-07-28 23:00:00,447.3,449.95,449.95,20210900,20211200,20211200
2021-07-29 23:00:00,452.1,454.75,454.75,20210900,20211200,20211200
2021-07-30 23:00:00,449.05,451.5,451.5,20210900,20211200,20211200
2021-08-02 23:00:00,448.6,450.75,450.75,20210900,20211200,20211200
2021-08-03 23:00:00,453.4,455.85,455.85,20210900,20211200,20211200
2021-08-04 23:00:00,450.2,452.7,452.7,20210900,20211200,20211200
2021-08-05 23:00:00,455.75,458.1,458.1,20210900,20211200,20211200
2021-08-06 23:00:00,465.2,467.5,467.5,20210900,20211200,20211200
2021-08-09 23:00:00,466.6,468.65,468.65,20210900,20211200,20211200
2021-08-10 23:00:00,471.35,473.55,473.55,20210900,20211200,20211200
2021-08-11 23:00:00,476.7,479.0,479.0,20210900,20211200,20211200
2021-08-12 23:00:00,477.45,479.6,479.6,20210900,20211200,20211200
2021-08-13 23:00:00,474.05,476.15,476.15,20210900,20211200,20211200
2021-08-16 23:00:00,473.3,475.2,475.2,20210900,20211200,20211200
2021-08-17 23:00:00,469.3,471.2,471.2,20210900,20211200,20211200
2021-08-18 23:00:00,463.45,465.55,465.55,20210900,20211200,20211200
2021-08-19 23:00:00,460.2,461.85,461.85,20210900,20211200,20211200
2021-08-20 23:00:00,463.05,465.05,465.05,20210900,20211200,20211200
2021-08-23 23:00:00,466.6,468.5,468.5,20210900,20211200,20211200
2021-08-24 23:00:00,469.85,471.75,471.75,20210900,20211200,20211200
2021-08-25 23:00:00,475.7,477.5,477.5,20210900,20211200,20211200
2021-08-26 23:00:00,473.15,475.0,475.0,20210900,20211200,20211200
2021-08-27 23:00:00,479.2,481.2,481.2,20210900,20211200,20211200
2021-08-30 23:00:00,472.35,474.05,474.05,20210900,20211200,20211200
2021-08-31 23:00:00,471.9,473.35,473.35,20210900,20211200,20211200
2021-09-01 23:00:00,468.85,470.3,470.3,20210900,20211200,20211200
2021-09-02 23:00:00,470.5,471.9,471.9,20210900,20211200,20211200
2021-09-03 23:00:00,467.9,469.25,469.25,20210900,20211200,20211200
2021-09-07 23:00:00,465.2,466.55,466.55,20210900,20211200,20211200
2021-09-08 23:00:00,463.4,462.2,462.2,20210900,20211200,20211200
2021-09-09 23:00:00,464.8,463.55,463.55,20210900,20211200,20211200
2021-09-10 23:00:00,461.65,460.35,460.35,20210900,20211200,20211200
2021-09-13 23:00:00,465.8,469.35,469.35,20211200,20220300,20220300
2021-09-14 23:00:00,459.2,462.6,462.6,20211200,20220300,20220300
2021-09-15 23:00:00,463.4,466.9,466.9,20211200,20220300,20220300
2021-09-16 23:00:00,462.5,465.95,465.95,20211200,20220300,20220300
2021-09-17 23:00:00,459.9,463.75,463.75,20211200,20220300,20220300
2021-09-20 23:00:00,449.85,453.5,453.5,20211200,20220300,20220300
2021-09-21 23:00:00,449.05,452.85,452.85,20211200,20220300,20220300
2021-09-22 23:00:00,456.15,459.85,459.85,20211200,20220300,20220300
2021-09-23 23:00:00,467.6,471.25,471.25,20211200,20220300,20220300
2021-09-24 23:00:00,470.05,473.75,473.75,20211200,20220300,20220300
2021-09-27 23:00:00,476.4,479.85,479.85,20211200,20220300,20220300
2021-09-28 23:00:00,468.85,472.3,472.3,20211200,20220300,20220300
2021-09-29 23:00:00,469.1,472.55,472.55,20211200,20220300,20220300
2021-09-30 23:00:00,461.75,465.25,465.25,20211200,20220300,20220300
2021-10-01 23:00:00,468.5,471.95,471.95,20211200,20220300,20220300
2021-10-04 23:00:00,465.45,468.75,468.75,20211200,20220300,20220300
2021-10-05 23:00:00,474.15,477.1,477.1,20211200,20220300,20220300
2021-10-06 23:00:00,474.75,478.0,478.0,20211200,20220300,20220300
2021-10-07 23:00:00,477.7,480.6,480.6,20211200,20220300,20220300
2021-10-08 23:00:00,479.9,482.85,482.85,20211200,20220300,20220300
2021-10-11 23:00:00,475.0,477.95,477.95,20211200,20220300,20220300
2021-10-12 23:00:00,473.6,476.65,476.65,20211200,20220300,20220300
2021-10-13 23:00:00,470.5,473.5,473.5,20211200,20220300,20220300
2021-10-14 23:00:00,478.6,481.4,481.4,20211200,20220300,20220300
2021-10-15 23:00:00,485.95,488.85,488.85,20211200,20220300,20220300
2021-10-18 23:00:00,485.8,488.7,488.7,20211200,20220300,20220300
2021-10-19 23:00:00,490.5,493.5,493.5,20211200,20220300,20220300
2021-10-20 23:00:00,494.55,497.4,497.4,20211200,20220300,20220300
2021-10-21 23:00:00,492.75,495.65,495.65,20211200,20220300,20220300
2021-10-22 23:00:00,499.4,502.35,502.35,20211200,20220300,20220300
2021-10-25 23:00:00,498.6,501.3,501.3,20211200,20220300,20220300
2021-10-26 23:00:00,499.3,502.4,502.4,20211200,20220300,20220300
2021-10-27 23:00:00,490.95,493.65,493.65,20211200,20220300,20220300
2021-10-28 23:00:00,497.2,499.85,499.85,20211200,20220300,20220300
2021-10-29 23:00:00,495.15,497.7,497.7,20211200,20220300,20220300
2021-11-01 23:00:00,495.55,498.1,498.1,20211200,20220300,20220300
2021-11-02 23:00:00,496.3,498.8,498.8,20211200,20220300,20220300
2021-11-03 23:00:00,498.25,500.7,500.7,20211200,20220300,20220300
2021-11-04 23:00:00,491.9,494.15,494.15,20211200,20220300,20220300
2021-11-05 23:00:00,491.95,494.3,494.3,20211200,20220300,20220300
2021-11-08 23:00:00,494.7,496.9,496.9,20211200,20220300,20220300
2021-11-09 23:00:00,491.95,494.2,494.2,20211200,20220300,20220300
2021-11-10 23:00:00,491.15,493.45,493.45,20211200,20220300,20220300
2021-11-11 23:00:00,492.55,494.7,494.7,20211200,20220300,20220300
2021-11-12 23:00:00,493.55,495.6,495.6,20211200,20220300,20220300
2021-11-15 23:00:00,493.6,495.65,495.65,20211200,20220300,20220300
2021-11-16 23:00:00,492.8,494.85,494.85,20211200,20220300,20220300
2021-11-17 23:00:00,487.3,489.35,489.35,20211200,20220300,20220300
2021-11-18 23:00:00,484.85,487.0,487.0,20211200,20220300,20220300
2021-11-19 23:00:00,479.5,481.7,481.7,20211200,20220300,20220300
2021-11-22 23:00:00,486.55,488.5,488.5,20211200,20220300,20220300
2021-11-23 23:00:00,494.05,496.05,496.05,20211200,20220300,20220300
2021-11-24 23:00:00,492.95,494.75,494.75,20211200,20220300,20220300
2021-11-26 23:00:00,476.85,478.55,478.55,20211200,20220300,20220300
2021-11-29 23:00:00,478.05,480.2,480.2,20211200,20220300,20220300
2021-11-30 23:00:00,466.65,468.5,468.5,20211200,20220300,20220300
2021-12-01 23:00:00,461.6,463.35,463.35,20211200,20220300,20220300
2021-12-02 23:00:00,474.9,476.2,476.2,20211200,20220300,20220300
2021-12-03 23:00:00,467.55,469.35,469.35,20211200,20220300,20220300
2021-12-06 23:00:00,474.25,474.7,474.7,20211200,20220300,20220300
2021-12-07 23:00:00,482.95,483.3,483.3,20211200,20220300,20220300
2021-12-08 23:00:00,480.55,479.2,479.2,20211200,20220300,20220300
2021-12-09 23:00:00,479.5,477.9,477.9,20211200,20220300,20220300
2021-12-10 23:00:00,480.1,478.7,478.7,20211200,20220300,20220300
2021-12-13 23:00:00,473.15,476.75,476.75,20220300,20220600,20220600
2021-12-14 23:00:00,476.0,479.75,479.75,20220300,20220600,20220600
2021-12-15 23:00:00,477.6,481.3,481.3,20220300,20220600,20220600
2021-12-16 23:00:00,483.65,487.3,487.3,20220300,20220600,20220600
2021-12-17 23:00:00,472.25,475.9,475.9,20220300,20220600,20220600
2021-12-20 23:00:00,463.5,467.0,467.0,20220300,20220600,20220600
2021-12-21 23:00:00,472.8,476.45,476.45,20220300,20220600,20220600
2021-12-22 23:00:00,475.05,478.65,478.65,20220300,20220600,20220600
2021-12-23 23:00:00,477.8,481.35,481.35,20220300,20220600,20220600
2021-12-27 23:00:00,482.4,485.7,485.7,20220300,20220600,20220600
2021-12-28 23:00:00,482.35,485.85,485.85,20220300,20220600,20220600
2021-12-29 23:00:00,482.35,485.65,485.65,20220300,20220600,20220600
2021-12-30 23:00:00,481.1,484.45,484.45,20220300,20220600,20220600
2021-12-31 23:00:00,480.5,483.8,483.8,20220300,20220600,20220600
2022-01-03 23:00:00,486.25,489.7,489.7,20220300,20220600,20220600
2022-01-04 23:00:00,499.3,502.55,502.55,20220300,20220600,20220600
2022-01-05 23:00:00,493.35,496.3,496.3,20220300,20220600,20220600
2022-01-06 23:00:00,500.85,503.9,503.9,20220300,20220600,20220600
2022-01-07 23:00:00,506.75,509.7,509.7,20220300,20220600,20220600
2022-01-10 23:00:00,505.2,508.25,508.25,20220300,20220600,20220600
2022-01-11 23:00:00,509.3,512.3,512.3,20220300,20220600,20220600
2022-01-12 23:00:00,509.35,512.45,512.45,20220300,20220600,20220600
2022-01-13 23:00:00,507.0,510.0,510.0,20220300,20220600,20220600
2022-01-14 23:00:00,502.4,505.45,505.45,20220300,20220600,20220600
2022-01-18 23:00:00,490.95,493.65,493.65,20220300,20220600,20220600
2022-01-19 23:00:00,482.5,485.35,485.35,20220300,20220600,20220600
2022-01-20 23:00:00,479.95,482.9,482.9,20220300,20220600,20220600
2022-01-21 23:00:00,470.1,473.25,473.25,20220300,20220600,20220600
2022-01-24 23:00:00,470.8,473.65,473.65,20220300,20220600,20220600
2022-01-25 23:00:00,473.1,476.1,476.1,20220300,20220600,20220600
2022-01-26 23:00:00,474.3,477.65,477.65,20220300,20220600,20220600
2022-01-27 23:00:00,470.1,473.0,473.0,20220300,20220600,20220600
2022-01-28 23:00:00,476.1,478.7,478.7,20220300,20220600,20220600
2022-01-31 23:00:00,480.35,483.05,483.05,20220300,20220600,20220600
2022-02-01 23:00:00,487.15,490.1,490.1,20220300,20220600,20220600
2022-02-02 23:00:00,490.3,493.1,493.1,20220300,20220600,20220600
2022-02-03 23:00:00,484.6,487.15,487.15,20220300,20220600,20220600
2022-02-04 23:00:00,493.2,495.8,495.8,20220300,20220600,20220600
2022-02-07 23:00:00,494.7,496.95,496.95,20220300,20220600,20220600
2022-02-08 23:00:00,501.55,503.9,503.9,20220300,20220600,20220600
2022-02-09 23:00:00,504.45,506.7,506.7,20220300,20220600,20220600
2022-02-10 23:00:00,500.6,502.9,502.9,20220300,20220600,20220600
2022-02-11 23:00:00,493.45,495.3,495.3,20220300,20220600,20220600
2022-02-14 23:00:00,487.65,489.85,489.85,20220300,20220600,20220600
2022-02-15 23:00:00,494.4,496.6,496.6,20220300,20220600,20220600
2022-02-16 23:00:00,494.5,496.5,496.5,20220300,20220600,20220600
2022-02-17 23:00:00,482.45,484.6,484.6,20220300,20220600,20220600
2022-02-18 23:00:00,481.8,483.85,483.85,20220300,20220600,20220600
2022-02-22 23:00:00,479.8,481.75,481.75,20220300,20220600,20220600
2022-02-23 23:00:00,471.25,473.2,473.2,20220300,20220600,20220600
2022-02-24 23:00:00,465.8,468.1,468.1,20220300,20220600,20220600
2022-02-25 23:00:00,480.5,482.5,482.5,20220300,20220600,20220600
2022-02-28 23:00:00,473.55,475.75,475.75,20220300,20220600,20220600
2022-03-01 23:00:00,456.3,458.05,458.05,20220300,20220600,20220600
2022-03-02 23:00:00,467.7,469.45,469.45,20220300,20220600,20220600
2022-03-03 23:00:00,466.25,467.9,467.9,20220300,20220600,20220600
2022-03-04 23:00:00,457.75,459.05,459.05,20220300,20220600,20220600
2022-03-07 23:00:00,440.8,442.2,442.2,20220300,20220600,20220600
2022-03-08 23:00:00,438.25,439.95,439.95,20220300,20220600,20220600
2022-03-09 23:00:00,454.35,453.15,453.15,20220300,20220600,20220600
2022-03-10 23:00:00,450.7,449.4,449.4,20220300,20220600,20220600
2022-03-11 23:00:00,447.3,446.05,446.05,20220300,20220600,20220600
2022-03-14 23:00:00,451.9,455.3,455.3,20220600,20220900,20220900
2022-03-15 23:00:00,457.45,460.8,460.8,20220600,20220900,20220900
2022-03-16 23:00:00,471.3,474.5,474.5,20220600,20220900,20220900
2022-03-17 23:00:00,477.1,480.05,480.05,20220600,20220900,20220900
2022-03-18 23:00:00,478.4,481.7,481.7,20220600,20220900,20220900
2022-03-21 23:00:00,477.9,481.15,481.15,20220600,20220900,20220900
2022-03-22 23:00:00,485.5,488.8,488.8,20220600,20220900,20220900
2022-03-23 23:00:00,476.6,479.75,479.75,20220600,20220900,20220900
2022-03-24 23:00:00,480.25,483.3,483.3,20220600,20220900,20220900
