DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-14 23:00:00,707.8,708.8,708.8,20210900,20211200,20211200
2021-06-15 23:00:00,705.4,706.7,706.7,20210900,20211200,20211200
2021-06-16 23:00:00,696.3,698.1,698.1,20210900,20211200,20211200
2021-06-17 23:00:00,698.9,700.3,700.3,20210900,20211200,20211200
2021-06-18 23:00:00,686.4,688.5,688.5,20210900,20211200,20211200
2021-06-21 23:00:00,694.1,696.0,696.0,20210900,20211200,20211200
2021-06-22 23:00:00,695.0,697.0,697.0,20210900,20211200,20211200
2021-06-23 23:00:00,690.5,692.9,692.9,20210900,20211200,20211200
2021-06-24 23:00:00,693.8,695.4,695.4,20210900,20211200,20211200
2021-06-25 23:00:00,699.7,701.1,701.1,20210900,20211200,20211200
2021-06-28 23:00:00,699.8,701.5,701.5,20210900,20211200,20211200
2021-06-29 23:00:00,696.9,698.5,698.5,20210900,20211200,20211200
2021-06-30 23:00:00,702.2,703.9,703.9,20210900,20211200,20211200
2021-07-01 23:00:00,699.7,701.0,701.0,20210900,20211200,20211200
2021-07-02 23:00:00,701.6,702.9,702.9,20210900,20211200,20211200
2021-07-06 23:00:00,698.6,700.6,700.6,20210900,20211200,20211200
2021-07-07 23:00:00,702.2,703.8,703.8,20210900,20211200,20211200
2021-07-08 23:00:00,700.3,701.3,701.3,20210900,20211200,20211200
2021-07-09 23:00:00,703.9,705.3,705.3,20210900,20211200,20211200
2021-07-12 23:00:00,702.8,704.3,704.3,20210900,20211200,20211200
2021-07-13 23:00:00,702.3,703.9,703.9,20210900,20211200,20211200
2021-07-14 23:00:00,708.7,710.1,710.1,20210900,20211200,20211200
2021-07-15 23:00:00,711.9,713.3,713.3,20210900,20211200,20211200
2021-07-16 23:00:00,713.3,714.6,714.6,20210900,20211200,20211200
2021-07-19 23:00:00,710.8,712.0,712.0,20210900,20211200,20211200
2021-07-20 23:00:00,711.3,712.5,712.5,20210900,20211200,20211200
2021-07-21 23:00:00,709.4,711.0,711.0,20210900,20211200,20211200
2021-07-22 23:00:00,707.8,708.4,708.4,20210900,20211200,20211200
2021-07-23 23:00:00,716.6,717.2,717.2,20210900,20211200,20211200
2021-07-26 23:00:00,717.8,718.6,718.6,20210900,20211200,20211200
2021-07-27 23:00:00,719.4,720.0,720.0,20210900,20211200,20211200
2021-07-28 23:00:00,713.1,713.8,713.8,20210900,20211200,20211200
2021-07-29 23:00:00,717.0,717.4,717.4,20210900,20211200,20211200
2021-07-30 23:00:00,717.1,717.9,717.9,20210900,20211200,20211200
2021-08-02 23:00:00,715.1,715.6,715.6,20210900,20211200,20211200
2021-08-03 23:00:00,718.0,718.5,718.5,20210900,20211200,20211200
2021-08-04 23:00:00,708.6,709.2,709.2,20210900,20211200,20211200
2021-08-05 23:00:00,712.0,712.8,712.8,20210900,20211200,20211200
2021-08-06 23:00:00,712.2,713.0,713.0,20210900,20211200,20211200
2021-08-09 23:00:00,714.8,715.4,715.4,20210900,20211200,20211200
2021-08-10 23:00:00,719.9,720.7,720.7,20210900,20211200,20211200
2021-08-11 23:00:00,722.3,723.2,723.2,20210900,20211200,20211200
2021-08-12 23:00:00,721.6,722.1,722.1,20210900,20211200,20211200
2021-08-13 23:00:00,727.6,728.1,728.1,20210900,20211200,20211200
2021-08-16 23:00:00,731.9,732.3,732.3,20210900,20211200,20211200
2021-08-17 23:00:00,732.5,732.6,732.6,20210900,20211200,20211200
2021-08-18 23:00:00,723.3,723.3,723.3,20210900,20211200,20211200
2021-08-19 23:00:00,728.8,729.2,729.2,20210900,20211200,20211200
2021-08-20 23:00:00,730.2,730.7,730.7,20210900,20211200,20211200
2021-08-23 23:00:00,727.6,728.2,728.2,20210900,20211200,20211200
2021-08-24 23:00:00,722.3,722.7,722.7,20210900,20211200,20211200
2021-08-25 23:00:00,721.1,721.9,721.9,20210900,20211200,20211200
2021-08-26 23:00:00,717.5,718.1,718.1,20210900,20211200,20211200
2021-08-27 23:00:00,719.9,720.6,720.6,20210900,20211200,20211200
2021-08-30 23:00:00,723.4,724.2,724.2,20210900,20211200,20211200
2021-08-31 23:00:00,724.9,725.3,725.3,20210900,20211200,20211200
2021-09-01 23:00:00,728.8,729.1,729.1,20210900,20211200,20211200
2021-09-02 23:00:00,731.6,731.3,731.3,20210900,20211200,20211200
2021-09-03 23:00:00,730.8,730.6,730.6,20210900,20211200,20211200
2021-09-07 23:00:00,722.4,722.5,722.5,20210900,20211200,20211200
2021-09-08 23:00:00,728.5,728.5,728.5,20210900,20211200,20211200
2021-09-09 23:00:00,724.2,721.1,721.1,20210900,20211200,20211200
2021-09-10 23:00:00,721.1,718.0,718.0,20210900,20211200,20211200
2021-09-13 23:00:00,720.1,722.1,722.1,20211200,20220300,20220300
2021-09-14 23:00:00,716.4,717.2,717.2,20211200,20220300,20220300
2021-09-15 23:00:00,719.0,719.8,719.8,20211200,20220300,20220300
2021-09-16 23:00:00,716.2,717.5,717.5,20211200,20220300,20220300
2021-09-17 23:00:00,712.5,714.3,714.3,20211200,20220300,20220300
2021-09-20 23:00:00,705.5,707.1,707.1,20211200,20220300,20220300
2021-09-21 23:00:00,704.6,706.1,706.1,20211200,20220300,20220300
2021-09-22 23:00:00,706.4,707.8,707.8,20211200,20220300,20220300
2021-09-23 23:00:00,709.1,710.8,710.8,20211200,20220300,20220300
2021-09-24 23:00:00,709.3,710.9,710.9,20211200,20220300,20220300
2021-09-27 23:00:00,705.7,707.3,707.3,20211200,20220300,20220300
2021-09-28 23:00:00,697.8,698.9,698.9,20211200,20220300,20220300
2021-09-29 23:00:00,704.3,705.3,705.3,20211200,20220300,20220300
2021-09-30 23:00:00,691.1,692.5,692.5,20211200,20220300,20220300
2021-10-01 23:00:00,692.2,693.5,693.5,20211200,20220300,20220300
2021-10-04 23:00:00,690.9,692.2,692.2,20211200,20220300,20220300
2021-10-05 23:00:00,693.9,695.3,695.3,20211200,20220300,20220300
2021-10-06 23:00:00,701.2,702.6,702.6,20211200,20220300,20220300
2021-10-07 23:00:00,704.2,705.4,705.4,20211200,20220300,20220300
