DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-14 23:00:00,662.0,662.2,662.2,20210900,20211200,20211200
2021-06-15 23:00:00,664.2,664.3,664.3,20210900,20211200,20211200
2021-06-16 23:00:00,654.4,654.9,654.9,20210900,20211200,20211200
2021-06-17 23:00:00,657.2,658.0,658.0,20210900,20211200,20211200
2021-06-18 23:00:00,639.2,640.5,640.5,20210900,20211200,20211200
2021-06-21 23:00:00,648.5,649.3,649.3,20210900,20211200,20211200
2021-06-22 23:00:00,644.3,645.2,645.2,20210900,20211200,20211200
2021-06-23 23:00:00,637.3,638.5,638.5,20210900,20211200,20211200
2021-06-24 23:00:00,636.9,637.8,637.8,20210900,20211200,20211200
2021-06-25 23:00:00,644.3,645.0,645.0,20210900,20211200,20211200
2021-06-28 23:00:00,647.9,648.8,648.8,20210900,20211200,20211200
2021-06-29 23:00:00,637.5,638.6,638.6,20210900,20211200,20211200
2021-06-30 23:00:00,636.1,637.4,637.4,20210900,20211200,20211200
2021-07-01 23:00:00,643.4,644.0,644.0,20210900,20211200,20211200
2021-07-02 23:00:00,644.0,644.8,644.8,20210900,20211200,20211200
2021-07-06 23:00:00,647.3,648.0,648.0,20210900,20211200,20211200
2021-07-07 23:00:00,650.9,651.6,651.6,20210900,20211200,20211200
2021-07-08 23:00:00,649.2,650.0,650.0,20210900,20211200,20211200
2021-07-09 23:00:00,650.7,651.1,651.1,20210900,20211200,20211200
2021-07-12 23:00:00,652.5,653.2,653.2,20210900,20211200,20211200
2021-07-13 23:00:00,647.4,648.2,648.2,20210900,20211200,20211200
2021-07-14 23:00:00,652.6,653.7,653.7,20210900,20211200,20211200
2021-07-15 23:00:00,660.6,661.6,661.6,20210900,20211200,20211200
2021-07-16 23:00:00,667.1,667.9,667.9,20210900,20211200,20211200
2021-07-19 23:00:00,656.5,657.4,657.4,20210900,20211200,20211200
2021-07-20 23:00:00,659.6,660.1,660.1,20210900,20211200,20211200
2021-07-21 23:00:00,651.8,652.9,652.9,20210900,20211200,20211200
2021-07-22 23:00:00,652.8,654.0,654.0,20210900,20211200,20211200
2021-07-23 23:00:00,661.5,662.4,662.4,20210900,20211200,20211200
2021-07-26 23:00:00,661.3,662.4,662.4,20210900,20211200,20211200
2021-07-27 23:00:00,672.8,673.8,673.8,20210900,20211200,20211200
2021-07-28 23:00:00,668.3,669.5,669.5,20210900,20211200,20211200
2021-07-29 23:00:00,669.9,670.6,670.6,20210900,20211200,20211200
2021-07-30 23:00:00,663.7,664.7,664.7,20210900,20211200,20211200
2021-08-02 23:00:00,669.1,669.6,669.6,20210900,20211200,20211200
2021-08-03 23:00:00,673.4,674.0,674.0,20210900,20211200,20211200
2021-08-04 23:00:00,672.2,673.2,673.2,20210900,20211200,20211200
2021-08-05 23:00:00,680.1,680.5,680.5,20210900,20211200,20211200
2021-08-06 23:00:00,679.5,680.3,680.3,20210900,20211200,20211200
2021-08-09 23:00:00,679.1,679.7,679.7,20210900,20211200,20211200
2021-08-10 23:00:00,679.6,680.3,680.3,20210900,20211200,20211200
2021-08-11 23:00:00,686.2,686.4,686.4,20210900,20211200,20211200
2021-08-12 23:00:00,687.1,686.5,686.5,20210900,20211200,20211200
2021-08-13 23:00:00,691.6,690.3,690.3,20210900,20211200,20211200
2021-08-16 23:00:00,696.0,694.9,694.9,20210900,20211200,20211200
2021-08-17 23:00:00,696.3,694.8,694.8,20210900,20211200,20211200
2021-08-18 23:00:00,692.7,691.6,691.6,20210900,20211200,20211200
2021-08-19 23:00:00,695.5,694.0,694.0,20210900,20211200,20211200
2021-08-20 23:00:00,704.5,703.2,703.2,20210900,20211200,20211200
2021-08-23 23:00:00,695.1,693.8,693.8,20210900,20211200,20211200
2021-08-24 23:00:00,690.6,689.4,689.4,20210900,20211200,20211200
2021-08-25 23:00:00,692.0,690.8,690.8,20210900,20211200,20211200
2021-08-26 23:00:00,689.9,688.4,688.4,20210900,20211200,20211200
