DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-13 23:00:00,22.15,23.25,20.5,20210600,20210700,20210500
2021-04-14 23:00:00,22.25,23.35,20.8,20210600,20210700,20210500
2021-04-15 23:00:00,22.0,23.2,20.3,20210600,20210700,20210500
2021-04-16 23:00:00,21.55,22.75,20.0,20210600,20210700,20210500
2021-04-19 23:00:00,22.15,23.3,20.6,20210600,20210700,20210500
2021-04-20 23:00:00,22.7,23.9,21.2,20210600,20210700,20210500
2021-04-21 23:00:00,22.0,23.35,20.15,20210600,20210700,20210500
2021-04-22 23:00:00,22.8,24.0,21.2,20210600,20210700,20210500
2021-04-23 23:00:00,22.25,23.5,20.45,20210600,20210700,20210500
2021-04-26 23:00:00,22.05,23.3,20.2,20210600,20210700,20210500
2021-04-27 23:00:00,21.65,23.0,19.8,20210600,20210700,20210500
2021-04-28 23:00:00,21.7,22.95,19.75,20210600,20210700,20210500
2021-04-29 23:00:00,21.65,23.05,19.65,20210600,20210700,20210500
2021-04-30 23:00:00,22.2,23.4,20.4,20210600,20210700,20210500
2021-05-03 23:00:00,21.55,22.85,19.75,20210600,20210700,20210500
2021-05-04 23:00:00,22.35,23.45,20.8,20210600,20210700,20210500
2021-05-05 23:00:00,21.8,23.05,20.1,20210600,20210700,20210500
2021-05-06 23:00:00,21.7,23.0,19.8,20210600,20210700,20210500
2021-05-07 23:00:00,20.6,22.2,18.35,20210600,20210700,20210500
2021-05-10 23:00:00,21.35,22.7,19.55,20210600,20210700,20210500
2021-05-11 23:00:00,23.0,24.1,21.6,20210600,20210700,20210500
2021-05-12 23:00:00,26.3,26.6,26.05,20210600,20210700,20210500
2021-05-13 23:00:00,24.15,25.05,22.75,20210600,20210700,20210500
2021-05-14 23:00:00,21.2,22.7,19.05,20210600,20210700,20210500
2021-05-17 23:00:00,23.15,23.65,21.9,20210700,20210800,20210600
2021-05-18 23:00:00,24.4,24.85,23.8,20210800,20210900,20210700
2021-05-19 23:00:00,25.0,25.4,24.65,20210800,20210900,20210700
2021-05-20 23:00:00,24.2,24.65,23.6,20210800,20210900,20210700
2021-05-21 23:00:00,23.8,24.35,23.3,20210800,20210900,20210700
2021-05-24 23:00:00,23.05,23.6,22.45,20210800,20210900,20210700
2021-05-25 23:00:00,23.15,23.75,22.5,20210800,20210900,20210700
2021-05-26 23:00:00,22.5,23.2,21.6,20210800,20210900,20210700
2021-05-27 23:00:00,21.65,22.5,20.65,20210800,20210900,20210700
2021-05-28 23:00:00,21.8,22.65,20.85,20210800,20210900,20210700
2021-06-01 23:00:00,22.1,22.75,21.15,20210800,20210900,20210700
2021-06-02 23:00:00,22.25,22.95,21.15,20210800,20210900,20210700
2021-06-03 23:00:00,22.35,23.1,21.4,20210800,20210900,20210700
2021-06-04 23:00:00,21.7,22.6,20.45,20210800,20210900,20210700
2021-06-07 23:00:00,21.3,22.2,20.05,20210800,20210900,20210700
2021-06-08 23:00:00,21.4,22.35,20.2,20210800,20210900,20210700
2021-06-09 23:00:00,21.65,22.6,20.45,20210800,20210900,20210700
2021-06-10 23:00:00,20.8,21.7,19.55,20210800,20210900,20210700
2021-06-11 23:00:00,20.25,21.3,18.8,20210800,20210900,20210700
2021-06-14 23:00:00,20.5,21.5,19.05,20210800,20210900,20210700
2021-06-15 23:00:00,20.9,21.8,19.4,20210800,20210900,20210700
2021-06-16 23:00:00,21.1,22.05,19.7,20210800,20210900,20210700
2021-06-17 23:00:00,21.05,21.95,19.6,20210800,20210900,20210700
2021-06-18 23:00:00,22.15,22.85,21.25,20210800,20210900,20210700
2021-06-21 23:00:00,21.4,22.25,20.1,20210800,20210900,20210700
2021-06-22 23:00:00,20.45,21.5,18.8,20210800,20210900,20210700
2021-06-23 23:00:00,20.05,21.2,18.4,20210800,20210900,20210700
2021-06-24 23:00:00,19.85,20.9,18.15,20210800,20210900,20210700
2021-06-25 23:00:00,19.6,20.75,17.7,20210800,20210900,20210700
2021-06-28 23:00:00,19.5,20.65,17.7,20210800,20210900,20210700
2021-06-29 23:00:00,19.8,21.0,18.0,20210800,20210900,20210700
2021-06-30 23:00:00,19.75,21.0,17.9,20210800,20210900,20210700
2021-07-01 23:00:00,19.6,20.9,17.6,20210800,20210900,20210700
2021-07-02 23:00:00,19.5,20.8,17.45,20210800,20210900,20210700
2021-07-06 23:00:00,19.85,21.05,18.1,20210800,20210900,20210700
2021-07-07 23:00:00,20.0,21.15,18.05,20210800,20210900,20210700
2021-07-08 23:00:00,21.1,22.0,19.7,20210800,20210900,20210700
2021-07-09 23:00:00,19.9,21.2,17.85,20210800,20210900,20210700
2021-07-12 23:00:00,19.65,21.1,17.3,20210800,20210900,20210700
2021-07-13 23:00:00,19.95,21.4,17.8,20210800,20210900,20210700
2021-07-14 23:00:00,19.6,21.15,17.05,20210800,20210900,20210700
2021-07-15 23:00:00,21.25,22.25,19.9,20210900,20211000,20210800
2021-07-16 23:00:00,21.65,22.55,20.6,20210900,20211000,20210800
2021-07-19 23:00:00,23.6,23.8,23.4,20210900,20211000,20210800
2021-07-20 23:00:00,22.6,23.45,21.35,20210900,20211000,20210800
2021-07-21 23:00:00,21.55,22.4,20.1,20210900,20211000,20210800
2021-07-22 23:00:00,21.65,22.4,20.35,20210900,20211000,20210800
2021-07-23 23:00:00,21.7,22.45,20.4,20210900,20211000,20210800
2021-07-26 23:00:00,21.55,22.35,20.0,20210900,20211000,20210800
2021-07-27 23:00:00,22.4,23.0,20.95,20210900,20211000,20210800
2021-07-28 23:00:00,21.95,22.75,20.35,20210900,20211000,20210800
2021-07-29 23:00:00,21.65,22.45,19.85,20210900,20211000,20210800
2021-07-30 23:00:00,22.05,22.85,20.25,20210900,20211000,20210800
2021-08-02 23:00:00,22.6,23.3,21.0,20210900,20211000,20210800
2021-08-03 23:00:00,22.0,22.95,20.0,20210900,20211000,20210800
2021-08-04 23:00:00,21.75,22.75,19.9,20210900,20211000,20210800
2021-08-05 23:00:00,21.3,22.4,19.35,20210900,20211000,20210800
2021-08-06 23:00:00,20.8,21.85,18.75,20210900,20211000,20210800
2021-08-09 23:00:00,20.55,21.7,18.35,20210900,20211000,20210800
2021-08-10 23:00:00,20.45,21.7,18.1,20210900,20211000,20210800
