DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-04-16 23:00:00,22.05,,20.2,20210600,20210700,20210500
2021-04-19 23:00:00,21.85,,19.7,20210600,20210700,20210500
2021-04-20 23:00:00,22.7,,21.1,20210600,20210700,20210500
2021-04-21 23:00:00,23.4,,20.95,20210600,20210700,20210500
2021-04-22 23:00:00,22.3,,19.95,20210600,20210700,20210500
2021-04-23 23:00:00,22.45,,20.3,20210600,20210700,20210500
2021-04-26 23:00:00,22.0,,19.75,20210600,20210700,20210500
2021-04-27 23:00:00,21.85,,19.75,20210600,20210700,20210500
2021-04-28 23:00:00,21.9,,19.35,20210600,20210700,20210500
2021-04-30 23:00:00,22.0,,19.75,20210600,20210700,20210500
2021-05-06 23:00:00,21.8,,20.4,20210600,20210700,20210500
2021-05-07 23:00:00,20.85,,18.45,20210600,20210700,20210500
2021-05-10 23:00:00,20.1,,17.8,20210600,20210700,20210500
2021-05-11 23:00:00,22.4,22.1,22.45,20210600,20210700,20210500
2021-05-12 23:00:00,22.85,,22.1,20210700,20210800,20210600
2021-05-13 23:00:00,23.35,,23.95,20210700,20210800,20210600
2021-05-14 23:00:00,22.45,,21.7,20210700,20210800,20210600
2021-05-17 23:00:00,23.4,,22.45,20210700,20210800,20210600
2021-05-18 23:00:00,22.45,,21.05,20210700,20210800,20210600
2021-05-19 23:00:00,22.85,,21.9,20210700,20210800,20210600
2021-05-20 23:00:00,23.95,,23.45,20210700,20210800,20210600
2021-05-21 23:00:00,22.9,,21.3,20210700,20210800,20210600
2021-05-24 23:00:00,22.4,,21.1,20210700,20210800,20210600
2021-05-25 23:00:00,22.15,,20.3,20210700,20210800,20210600
2021-05-26 23:00:00,21.8,,19.15,20210700,20210800,20210600
2021-05-27 23:00:00,21.7,,19.95,20210700,20210800,20210600
2021-05-28 23:00:00,21.4,,19.0,20210700,20210800,20210600
2021-05-31 23:00:00,21.35,,19.1,20210700,20210800,20210600
2021-06-01 23:00:00,21.25,,19.2,20210700,20210800,20210600
2021-06-02 23:00:00,20.8,,19.4,20210700,20210800,20210600
2021-06-03 23:00:00,20.75,,19.85,20210700,20210800,20210600
2021-06-04 23:00:00,21.6,,19.4,20210700,20210800,20210600
2021-06-07 23:00:00,21.55,,19.5,20210700,20210800,20210600
2021-06-08 23:00:00,20.85,22.0,19.5,20210700,20210800,20210600
2021-06-09 23:00:00,23.0,,20.65,20210800,20210900,20210700
2021-06-10 23:00:00,22.65,,20.35,20210800,20210900,20210700
2021-06-11 23:00:00,22.4,,19.3,20210800,20210900,20210700
2021-06-14 23:00:00,21.9,,18.55,20210800,20210900,20210700
2021-06-15 23:00:00,21.95,,18.3,20210800,20210900,20210700
2021-06-16 23:00:00,21.5,,18.35,20210800,20210900,20210700
2021-06-17 23:00:00,21.5,,18.3,20210800,20210900,20210700
2021-06-18 23:00:00,21.2,,18.6,20210800,20210900,20210700
2021-06-21 23:00:00,22.5,,20.8,20210800,20210900,20210700
2021-06-22 23:00:00,21.55,,19.25,20210800,20210900,20210700
2021-06-23 23:00:00,21.5,,18.25,20210800,20210900,20210700
2021-06-24 23:00:00,22.4,,18.15,20210800,20210900,20210700
2021-06-25 23:00:00,22.0,,17.8,20210800,20210900,20210700
2021-06-28 23:00:00,21.1,,17.35,20210800,20210900,20210700
2021-06-29 23:00:00,21.1,,17.2,20210800,20210900,20210700
2021-06-30 23:00:00,20.65,,17.7,20210800,20210900,20210700
2021-07-01 23:00:00,20.8,,18.15,20210800,20210900,20210700
2021-07-02 23:00:00,20.3,,16.95,20210800,20210900,20210700
2021-07-05 23:00:00,20.4,,16.85,20210800,20210900,20210700
2021-07-06 23:00:00,20.15,,16.75,20210800,20210900,20210700
2021-07-07 23:00:00,20.95,,17.85,20210800,20210900,20210700
2021-07-08 23:00:00,22.55,,19.0,20210800,20210900,20210700
2021-07-09 23:00:00,21.35,,18.0,20210800,20210900,20210700
2021-07-12 23:00:00,20.5,22.0,17.6,20210800,20210900,20210700
2021-07-13 23:00:00,,,19.7,20210900,20211000,20210800
