DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-06-14 23:00:00,133.56,133.69,133.69,20210900,20211200,20211200
2021-06-15 23:00:00,133.64,133.77,133.77,20210900,20211200,20211200
2021-06-16 23:00:00,132.93,133.07,133.07,20210900,20211200,20211200
2021-06-17 23:00:00,131.45,131.59,131.59,20210900,20211200,20211200
2021-06-18 23:00:00,130.89,131.03,131.03,20210900,20211200,20211200
2021-06-21 23:00:00,131.46,131.6,131.6,20210900,20211200,20211200
2021-06-22 23:00:00,132.17,132.3,132.3,20210900,20211200,20211200
2021-06-23 23:00:00,132.5,132.64,132.64,20210900,20211200,20211200
2021-06-24 23:00:00,132.39,132.52,132.52,20210900,20211200,20211200
2021-06-25 23:00:00,132.36,132.5,132.5,20210900,20211200,20211200
2021-06-28 23:00:00,131.92,132.06,132.06,20210900,20211200,20211200
2021-06-29 23:00:00,131.63,131.77,131.77,20210900,20211200,20211200
2021-06-30 23:00:00,131.73,131.87,131.87,20210900,20211200,20211200
2021-07-01 23:00:00,132.29,132.43,132.43,20210900,20211200,20211200
2021-07-02 23:00:00,131.84,131.98,131.98,20210900,20211200,20211200
2021-07-06 23:00:00,130.9,131.04,131.04,20210900,20211200,20211200
2021-07-07 23:00:00,130.7,130.83,130.83,20210900,20211200,20211200
2021-07-08 23:00:00,130.11,130.25,130.25,20210900,20211200,20211200
2021-07-09 23:00:00,130.93,131.07,131.07,20210900,20211200,20211200
2021-07-12 23:00:00,130.93,131.06,131.06,20210900,20211200,20211200
2021-07-13 23:00:00,130.4,130.54,130.54,20210900,20211200,20211200
2021-07-14 23:00:00,130.23,130.37,130.37,20210900,20211200,20211200
2021-07-15 23:00:00,129.75,129.89,129.89,20210900,20211200,20211200
2021-07-16 23:00:00,130.07,130.21,130.21,20210900,20211200,20211200
2021-07-19 23:00:00,129.17,129.31,129.31,20210900,20211200,20211200
2021-07-20 23:00:00,129.47,129.62,129.62,20210900,20211200,20211200
2021-07-21 23:00:00,130.2,130.34,130.34,20210900,20211200,20211200
2021-07-22 23:00:00,129.74,129.88,129.88,20210900,20211200,20211200
2021-07-23 23:00:00,130.22,130.36,130.36,20210900,20211200,20211200
2021-07-26 23:00:00,130.34,130.48,130.48,20210900,20211200,20211200
2021-07-27 23:00:00,129.79,129.93,129.93,20210900,20211200,20211200
2021-07-28 23:00:00,130.28,130.41,130.41,20210900,20211200,20211200
2021-07-29 23:00:00,130.24,130.37,130.37,20210900,20211200,20211200
2021-07-30 23:00:00,130.2,130.35,130.35,20210900,20211200,20211200
2021-08-02 23:00:00,129.77,129.91,129.91,20210900,20211200,20211200
2021-08-03 23:00:00,129.49,129.64,129.64,20210900,20211200,20211200
2021-08-04 23:00:00,129.66,129.8,129.8,20210900,20211200,20211200
2021-08-05 23:00:00,129.96,130.1,130.1,20210900,20211200,20211200
2021-08-06 23:00:00,129.65,129.79,129.79,20210900,20211200,20211200
2021-08-09 23:00:00,129.54,129.68,129.68,20210900,20211200,20211200
2021-08-10 23:00:00,129.67,129.81,129.81,20210900,20211200,20211200
2021-08-11 23:00:00,129.71,129.84,129.84,20210900,20211200,20211200
2021-08-12 23:00:00,129.61,129.75,129.75,20210900,20211200,20211200
2021-08-13 23:00:00,129.32,129.46,129.46,20210900,20211200,20211200
2021-08-16 23:00:00,128.67,128.8,128.8,20210900,20211200,20211200
