DATE_TIME,current_contract,next_contract,carry_contract
2018-01-24 01:00:00,20180200,20180300,20180300
2018-02-21 13:00:00,20180300,20180400,20180400
2018-03-23 20:00:00,20180400,20180500,20180500
2018-04-23 03:00:00,20180500,20180600,20180600
2018-05-24 11:00:00,20180600,20180700,20180700
2018-06-25 09:00:00,20180700,20180800,20180800
2018-07-24 01:00:00,20180800,20180900,20180900
2018-08-24 19:00:00,20180900,20181000,20181000
2018-09-21 08:00:00,20181000,20181100,20181100
2018-10-24 05:00:00,20181100,20181200,20181200
2018-11-23 05:00:00,20181200,20190100,20190100
2018-12-24 01:00:00,20190100,20190200,20190200
2019-01-24 10:00:00,20190200,20190300,20190300
2019-02-21 05:00:00,20190300,20190400,20190400
2019-03-25 02:00:00,20190400,20190500,20190500
2019-04-23 05:00:00,20190500,20190600,20190600
2019-05-24 02:00:00,20190600,20190700,20190700
2019-06-24 00:00:00,20190700,20190800,20190800
2019-07-24 01:00:00,20190800,20190900,20190900
2019-08-23 17:00:00,20190900,20191000,20191000
2019-09-23 01:00:00,20191000,20191100,20191100
2019-10-24 01:00:00,20191100,20191200,20191200
2019-11-22 02:00:00,20191200,20200100,20200100
2019-12-24 10:00:00,20200100,20200200,20200200
2020-01-24 01:00:00,20200200,20200300,20200300
2020-02-21 03:00:00,20200300,20200400,20200400
2020-03-24 02:00:00,20200400,20200500,20200500
2020-04-23 01:00:00,20200500,20200600,20200600
2020-05-25 01:00:00,20200600,20200700,20200700
2020-06-23 03:00:00,20200700,20200800,20200800
2020-07-24 01:00:00,20200800,20200900,20200900
2020-08-24 01:00:00,20200900,20201000,20201000
2020-09-23 14:00:00,20201000,20201100,20201100
2020-10-23 04:00:00,20201100,20201200,20201200
2020-11-23 01:00:00,20201200,20210100,20210100
2020-12-24 01:00:00,20210100,20210200,20210200
2021-01-25 00:00:00,20210200,20210300,20210300
2021-02-22 00:00:00,20210300,20210400,20210400
2021-03-24 01:00:00,20210400,20210500,20210500
2021-05-17 20:00:01,20210500,20210600,20210600
2021-06-10 20:00:01,20210600,20210700,20210700
2021-08-06 07:00:02,20210700,20210800,20210800
2021-08-26 18:00:01,20210800,20210900,20210900
2021-09-20 17:00:01,20210900,20211000,20211000
2021-11-02 17:00:02,20211000,20211100,20211100
2021-11-26 17:00:02,20211100,20211200,20211200
2021-12-10 17:00:02,20211200,20220100,20220100
2022-01-21 17:00:01,20220100,20220200,20220200
2022-02-11 17:00:01,20220200,20220300,20220300
2022-02-28 18:00:00,20220300,20220400,20220400
