DATE_TIME,current_contract,next_contract,carry_contract
2020-09-22 23:00:00,20201200,20210100,20201100
2020-10-22 23:00:00,20210100,20210200,20201200
2020-11-23 23:00:00,20210200,20210300,20210100
2020-12-21 23:00:00,20210300,20210400,20210200
2021-01-20 23:00:00,20210400,20210500,20210300
2021-02-19 23:00:00,20210500,20210600,20210400
2021-03-23 23:00:00,20210600,20210700,20210500
2021-04-21 23:00:00,20210700,20210800,20210600
2021-05-24 23:00:00,20210800,20210900,20210700
2021-06-22 23:00:00,20210900,20211000,20210800
2021-07-22 23:00:00,20211000,20211100,20210900
2021-08-23 23:00:00,20211100,20211200,20211000
2021-09-21 17:00:01,20211200,20220100,20211100
2021-11-12 17:00:01,20220100,20220200,20211200
2021-11-23 17:00:01,20220200,20220300,20220100
2021-12-10 17:00:02,20220300,20220400,20220200
2022-01-18 17:00:01,20220400,20220500,20220300
2022-02-17 17:00:01,20220500,20220600,20220400
2022-02-28 17:00:00,20220600,20220700,20220500
