DATE_TIME,current_contract,next_contract,carry_contract
2020-11-23 23:00:00,20201100,20201200,20201200
2020-12-23 23:00:00,20201200,20210100,20210100
2021-01-18 23:00:00,20210100,20210200,20210200
2021-02-10 23:00:00,20210200,20210300,20210300
2021-03-18 23:00:00,20210300,20210400,20210400
2021-04-14 23:00:00,20210400,20210500,20210500
2021-05-24 23:00:00,20210500,20210600,20210600
2021-06-22 23:00:00,20210600,20210700,20210700
2021-07-15 23:00:00,20210700,20210800,20210800
2021-08-23 23:00:00,20210800,20210900,20210900
2021-09-23 23:00:00,20210900,20211000,20211000
2021-10-25 14:00:02,20211000,20211100,20211100
2021-11-23 08:00:02,20211100,20211200,20211200
2021-12-20 19:00:02,20211200,20220100,20220100
2022-01-25 08:00:01,20220100,20220200,20220200
2022-02-21 18:00:02,20220200,20220300,20220300
2022-02-28 18:00:00,20220300,20220400,20220400
