DATE_TIME,current_contract,next_contract,carry_contract
2018-09-11 23:00:00,20180900,20181200,20181200
2018-12-11 23:00:00,20181200,20190300,20190300
2019-03-08 23:00:00,20190300,20190600,20190600
2019-06-11 23:00:00,20190600,20190900,20190900
2019-09-11 23:00:00,20190900,20191200,20191200
2019-12-11 23:00:00,20191200,20200300,20200300
2020-03-11 23:00:00,20200300,20200600,20200600
2020-06-11 23:00:00,20200600,20200900,20200900
2020-09-11 23:00:00,20200900,20201200,20201200
2020-12-11 23:00:00,20201200,20210300,20210300
2021-03-11 23:00:00,20210300,20210600,20210600
2021-06-11 23:00:00,20210600,20210900,20210900
2021-09-10 23:00:00,20210900,20211200,20211200
2021-12-06 19:00:01,20211200,20220300,20220300
2022-02-22 23:00:01,20220300,20220600,20220600
2022-02-28 19:00:00,20220600,20220900,20220900
