DATE_TIME,current_contract,next_contract,carry_contract
2020-03-11 17:00:00,20200300,20200600,20200600
2020-06-11 14:00:00,20200600,20200900,20200900
2020-09-11 15:00:00,20200900,20201200,20201200
2020-12-11 15:00:00,20201200,20210300,20210300
2021-03-12 15:00:00,20210300,20210600,20210600
2021-06-07 20:00:02,20210600,20210900,20210900
2021-09-03 23:00:01,20210900,20211200,20211200
2021-12-10 16:00:01,20211200,20220300,20220300
2022-02-23 17:00:01,20220300,20220600,20220600
2022-04-06 23:00:00,20220600,20220900,20220900
