DATE_TIME,current_contract,next_contract,carry_contract
2021-06-10 20:00:01,20210600,20210700,20210700
2021-08-06 07:00:02,20210700,20210800,20210800
2021-08-26 18:00:01,20210800,20210900,20210900
2021-09-20 17:00:01,20210900,20211000,20211000
2021-11-02 17:00:02,20211000,20211100,20211100
2021-11-26 17:00:02,20211100,20211200,20211200
2021-12-10 17:00:02,20211200,20220100,20220100
2022-01-21 17:00:01,20220100,20220200,20220200
2022-02-11 17:00:01,20220200,20220300,20220300
2022-02-28 18:00:00,20220300,20220400,20220400
2022-03-24 23:00:00,20220400,20220500,20220500
2022-04-06 23:00:00,20220500,20220600,20220600
